Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																				
Дата голосования: 07.12.2003 0:00:00																																																				
																																																				
Наименование Избирательной комиссии:    Красногвардейская																																																				
																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																				
																																																				
		Сумма	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594					
1	"Число избирателей, внесенных в списки"	18137	767	272	48	231	576	60	109	136	557	226	295	262	196	245	1287	319	509	77	391	383	188	258	369	372	442	764	132	298	574	258	120	599	266	537	188	142	341	844	666	1432	1185	285	252	253	426					
2	"Число бюллетеней, полученных участковыми комиссиями"	18150	770	269	46	236	583	63	113	142	570	227	303	272	211	253	1255	321	492	78	391	389	190	260	359	375	444	762	133	301	586	267	122	583	268	529	189	148	332	834	655	1378	1188	287	286	258	432					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11119	371	145	38	148	305	45	86	103	322	157	203	142	129	177	786	223	255	60	218	260	105	176	260	236	325	481	91	181	319	192	100	380	170	326	126	92	224	499	391	844	683	165	150	160	270					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	620	31	14	0	8	18	0	7	0	16	27	8	0	0	6	33	0	30	0	27	7	0	0	21	20	18	30	0	37	39	7	0	32	15	12	0	6	6	13	17	41	13	17	11	0	33					
6	Число погашенных бюллетеней	6411	368	110	8	80	260	18	20	39	232	43	92	130	82	70	436	98	207	18	146	122	85	84	78	119	101	251	42	83	228	68	22	171	83	191	63	50	102	322	247	493	492	105	125	98	129					
7	Число бюллетеней в переносных ящиках для голосования	620	31	14	0	8	18	0	7	0	16	27	8	0	0	6	33	0	30	0	27	7	0	0	21	20	18	30	0	37	39	7	0	32	15	12	0	6	6	13	17	41	13	17	11	0	33					
8	Число бюллетеней в стационарных ящиках для голосования	11119	371	145	38	148	305	45	86	103	322	157	203	142	129	177	786	223	255	60	218	260	105	176	260	236	325	481	91	181	319	192	100	380	170	326	126	92	224	499	391	844	683	165	150	160	270					
9	Число недействительных бюллетеней	196	9	0	1	3	9	1	6	1	10	7	0	4	1	4	3	2	6	1	7	5	3	2	11	4	11	16	1	3	4	0	0	9	5	2	4	0	2	7	2	8	3	1	4	6	8					
10	Число действительных бюллетеней	11543	393	159	37	153	314	44	87	102	328	177	211	138	128	179	816	221	279	59	238	262	102	174	270	252	332	495	90	215	354	199	100	403	180	336	122	98	228	505	406	877	693	181	157	154	295					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	549	15	11	8	11	15	8	11	11	15	11	11	11	11	11	20	11	11	8	11	11	11	11	11	11	11	15	11	11	15	11	11	15	11	15	11	11	11	15	15	20	20	11	11	11	11					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	53	2	0	0	0	2	0	0	0	0	0	0	0	3	1	5	0	0	0	1	3	0	0	1	0	1	2	0	1	2	0	0	1	0	1	0	0	2	3	3	8	5	0	0	0	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	76	0	0	0	0	3	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	46	1	0	1	0	0	1	0	0	6	1	0	0	0	2	2	1	5	1	0	0	1	0					
14	Число погашенных открепительных удостоверений	496	13	11	8	11	13	8	11	11	15	11	11	11	8	10	15	11	11	8	10	8	11	11	10	11	10	13	11	10	13	11	11	14	11	14	11	11	9	12	12	12	15	11	11	11	5					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																				
18	"1. ""ЕДИНЕНИЕ"""	186	11	1	0	2	7	2	2	1	8	7	7	1	3	3	9	5	5	1	4	3	3	11	5	0	2	7	3	1	5	0	1	0	1	10	4	3	5	6	12	10	9	3	1	0	2					
		1.58%	2.73%	0.62%	0.0%	1.28%	2.16%	4.44%	2.15%	0.97%	2.36%	3.80%	3.31%	0.70%	2.32%	1.63%	1.09%	2.24%	1.75%	1.66%	1.63%	1.12%	2.85%	6.25%	1.77%	0.0%	0.58%	1.36%	3.29%	0.45%	1.39%	0.0%	1.0%	0.0%	0.54%	2.95%	3.17%	3.06%	2.17%	1.17%	2.94%	1.12%	1.29%	1.64%	0.62%	0.0%	0.66%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	194	5	2	2	0	10	0	1	1	2	0	1	3	2	3	14	3	4	0	1	4	0	4	4	5	1	11	0	0	3	2	2	1	0	1	3	11	6	14	8	36	15	1	3	0	5					
		1.65%	1.24%	1.25%	5.26%	0.0%	3.09%	0.0%	1.07%	0.97%	0.59%	0.0%	0.47%	2.11%	1.55%	1.63%	1.70%	1.34%	1.40%	0.0%	0.40%	1.49%	0.0%	2.27%	1.42%	1.95%	0.29%	2.15%	0.0%	0.0%	0.83%	1.00%	2.0%	0.24%	0.0%	0.29%	2.38%	11.22%	2.60%	2.73%	1.96%	4.06%	2.15%	0.54%	1.86%	0.0%	1.65%					
