Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																										
Дата голосования: 07.12.2003 0:00:00																																																										
																																																										
"Наименование Избирательной комиссии:    Ижевск, Индустриальная"																																																										
																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																										
																																																										
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151					
1	"Число избирателей, внесенных в списки"	89760	1529	2163	2133	2188	1453	2175	2009	1614	857	2432	2514	1288	1326	1974	1633	1883	1547	2072	1984	1807	1849	1845	2027	1894	1614	2425	1614	1881	2417	2418	2312	2271	1454	2125	1928	2330	2257	2080	2141	1456	2746	686	1123	787	2321	59	1526	1633	1406	127	427					
2	"Число бюллетеней, полученных участковыми комиссиями"	78090	1300	1900	1800	1900	1200	1900	1800	1400	1000	2000	2200	1100	1100	1700	1400	1600	1300	1800	1700	1600	1600	1600	1800	1600	1400	2100	1400	1600	2100	2100	2000	2000	1200	1900	1700	2000	2000	1800	1900	1300	2400	600	1000	850	2000	100	1300	1400	1200	140	300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	45544	865	1127	987	1104	727	1189	1061	898	622	1327	1196	667	815	830	546	671	578	990	965	880	987	969	975	959	860	1118	869	904	1186	1124	1287	1090	805	1023	987	1232	1168	1151	1092	849	1225	329	615	787	1239	59	543	958	810	114	185					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	635	20	13	27	16	22	6	4	14	1	4	28	2	5	18	6	1	12	4	10	28	22	16	21	28	14	15	3	13	6	19	19	15	13	20	12	16	17	7	20	7	15	10	35	0	9	0	8	4	7	0	3					
6	Число погашенных бюллетеней	31911	415	760	786	780	451	705	735	488	377	669	976	431	280	852	848	928	710	806	725	692	591	615	804	613	526	967	528	683	908	957	694	895	382	857	701	752	815	642	788	444	1160	261	350	63	752	41	749	438	383	26	112					
7	Число бюллетеней в переносных ящиках для голосования	635	20	13	27	16	22	6	4	14	1	4	28	2	5	18	6	1	12	4	10	28	22	16	21	28	14	15	3	13	6	19	19	15	13	20	12	16	17	7	20	7	15	10	35	0	9	0	8	4	7	0	3					
8	Число бюллетеней в стационарных ящиках для голосования	45497	865	1127	985	1104	727	1189	1061	895	622	1326	1186	667	815	828	546	670	578	990	964	879	987	969	975	959	860	1118	868	904	1186	1124	1265	1090	805	1022	986	1232	1168	1151	1092	849	1225	328	615	787	1239	59	543	958	810	114	185					
9	Число недействительных бюллетеней	861	11	20	13	19	10	7	20	13	8	13	18	12	8	12	13	21	22	13	12	9	14	15	26	36	19	18	25	18	26	29	20	32	6	33	27	17	17	22	32	10	24	11	14	54	10	1	7	11	7	2	4					
10	Число действительных бюллетеней	45271	874	1120	999	1101	739	1188	1045	896	615	1317	1196	657	812	834	539	650	568	981	962	898	995	970	970	951	855	1115	846	899	1166	1114	1264	1073	812	1009	971	1231	1168	1136	1080	846	1216	327	636	733	1238	58	544	951	810	112	184					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1070	20	40	40	20	20	20	20	20	20	70	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	40	0	20	0	20	20	20	0	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	495	5	16	21	13	11	9	13	14	9	47	12	8	9	11	6	4	9	11	7	8	3	6	7	4	9	8	11	8	9	11	12	13	6	7	10	16	14	9	12	9	5	5	20	0	13	0	4	14	5	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1288	15	7	17	41	8	13	3	4	205	9	9	6	4	3	5	11	3	4	4	6	14	1	2	4	4	4	7	2	5	6	11	2	88	7	2	6	13	10	13	4	8	5	20	524	4	18	7	6	4	108	2					
14	Число погашенных открепительных удостоверений	575	15	24	19	7	9	11	7	6	11	23	8	12	11	9	14	16	11	9	13	12	17	14	13	16	11	12	9	12	11	9	8	7	14	13	10	4	6	11	8	11	15	15	20	0	7	0	16	6	15	0	18					
15	Число открепительных удостоверений выданных ТИК	72	0	2	0	1	0	2	1	0	1	2	0	3	3	1	0	5	1	0	0	2	3	0	1	1	0	5	1	2	2	3	3	0	0	3	0	4	2	3	2	0	1	3	0	0	2	0	4	2	1	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																										
18	"1. ""ЕДИНЕНИЕ"""	493	7	9	7	10	12	11	16	14	7	17	11	3	6	7	3	10	6	10	1	10	13	8	11	14	9	17	11	14	11	11	12	14	3	14	8	6	11	8	13	7	12	7	14	30	8	0	6	6	9	3	6					
		1.06%	0.79%	0.78%	0.69%	0.89%	1.60%	0.92%	1.50%	1.54%	1.12%	1.27%	0.90%	0.44%	0.73%	0.82%	0.54%	1.49%	1.01%	1.00%	0.10%	1.10%	1.28%	0.81%	1.10%	1.41%	1.02%	1.50%	1.26%	1.52%	0.92%	0.96%	0.93%	1.26%	0.36%	1.34%	0.80%	0.48%	0.92%	0.69%	1.16%	0.81%	0.96%	2.07%	2.15%	3.81%	0.64%	0.0%	1.08%	0.62%	1.10%	2.63%	3.19%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3719	82	110	101	78	74	105	94	76	45	122	88	40	64	66	42	55	43	104	59	76	98	63	97	91	52	83	71	83	101	55	127	85	65	79	80	84	98	79	106	55	114	24	45	45	135	3	29	71	57	7	13					
		8.06%	9.26%	9.64%	9.98%	6.96%	9.87%	8.78%	8.82%	8.36%	7.22%	9.17%	7.24%	5.97%	7.80%	7.80%	7.60%	8.19%	7.28%	10.46%	6.05%	8.37%	9.71%	6.39%	9.73%	9.21%	5.94%	7.32%	8.15%	9.05%	8.47%	4.81%	9.89%	7.69%	7.94%	7.58%	8.01%	6.73%	8.27%	6.82%	9.53%	6.42%	9.19%	7.10%	6.92%	5.71%	10.81%	5.08%	5.26%	7.38%	6.97%	6.14%	6.91%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1200	44	23	20	36	17	37	17	30	14	33	29	14	13	14	14	15	18	17	20	26	30	30	29	23	30	32	25	20	23	30	32	37	23	26	22	27	40	19	32	34	41	8	13	28	16	2	18	20	24	7	8					
		2.60%	4.97%	2.01%	1.97%	3.21%	2.26%	3.09%	1.59%	3.30%	2.24%	2.48%	2.38%	2.09%	1.58%	1.65%	2.53%	2.23%	3.05%	1.71%	2.05%	2.86%	2.97%	3.04%	2.91%	2.33%	3.43%	2.82%	2.87%	2.18%	1.92%	2.62%	2.49%	3.34%	2.81%	2.49%	2.20%	2.16%	3.37%	1.64%	2.87%	3.97%	3.30%	2.36%	2.0%	3.55%	1.28%	3.38%	3.26%	2.07%	2.93%	6.14%	4.25%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1778	32	62	25	52	46	67	57	33	11	46	58	28	51	27	8	18	15	31	46	30	39	39	43	33	18	35	31	25	47	43	51	42	36	44	22	37	40	53	37	31	63	3	19	29	63	1	15	62	30	2	2					
		3.85%	3.61%	5.43%	2.47%	4.64%	6.14%	5.60%	5.35%	3.63%	1.76%	3.45%	4.77%	4.18%	6.21%	3.19%	1.44%	2.68%	2.54%	3.11%	4.72%	3.30%	3.86%	3.95%	4.31%	3.34%	2.05%	3.08%	3.55%	2.72%	3.94%	3.76%	3.97%	3.80%	4.40%	4.22%	2.20%	2.96%	3.37%	4.57%	3.32%	3.62%	5.08%	0.88%	2.92%	3.68%	5.04%	1.69%	2.72%	6.44%	3.67%	1.75%	1.06%					
22	"5. ""За Русь Святую"""	196	3	5	3	3	5	6	0	1	1	8	6	1	2	7	4	5	5	4	4	6	7	4	4	3	1	5	2	4	9	2	4	5	0	6	7	4	6	5	3	5	7	1	4	6	6	0	1	0	1	2	3					
		0.42%	0.33%	0.43%	0.29%	0.26%	0.66%	0.50%	0.0%	0.11%	0.16%	0.60%	0.49%	0.14%	0.24%	0.82%	0.72%	0.74%	0.84%	0.40%	0.41%	0.66%	0.69%	0.40%	0.40%	0.30%	0.11%	0.44%	0.22%	0.43%	0.75%	0.17%	0.31%	0.45%	0.0%	0.57%	0.70%	0.32%	0.50%	0.43%	0.26%	0.58%	0.56%	0.29%	0.61%	0.76%	0.48%	0.0%	0.18%	0.0%	0.12%	1.75%	1.59%					
23	"6. ""Объединенная Российская партия ""Русь"""	128	2	6	4	4	2	8	4	1	2	2	6	2	4	3	2	1	3	3	1	2	2	1	1	0	1	4	1	2	1	1	8	2	1	1	4	1	5	4	1	5	4	1	0	3	4	0	1	4	2	0	1					
