Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																
Дата голосования: 02.12.2007																
																
Наименование Избирательной комиссии:    Ягоднинская																
																
Сводная таблица результатов выборов																
																
		Сумма	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110					
1	"Число избирателей, внесенных в списки избирателей"	7500	105	295	1386	1498	188	553	2419	124	932					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	8316	129	326	1324	1585	226	596	2489	228	1413					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	128	0	0	0	0	0	0	128	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4943	98	188	810	1002	126	360	1536	85	738					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	204	0	30	23	59	12	39	32	2	7					
6	Число погашенных избирательных бюллетеней	3041	31	108	491	524	88	197	793	141	668					
7	Число избирательных бюллетеней в переносных ящиках для голосования	332	0	30	23	59	12	39	160	2	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4942	98	188	809	1002	126	360	1536	85	738					
9	Число недействительных избирательных бюллетеней	41	0	2	10	9	1	2	13	0	4					
10	Число действительных избирательных бюллетеней	5233	98	216	822	1052	137	397	1683	87	741					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	44	0	3	4	6	2	3	12	4	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	27	0	1	4	6	1	0	4	1	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	13	0	0	2	4	0	3	1	0	3					
14	Число погашенных неиспользованных открепительных удостоверений	17	0	2	0	0	1	3	8	3	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	1	0	2	2	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
																
18	1.Политическая партия «Аграрная партия России»	113	0	1	18	19	3	8	50	2	12					
		2.14%	0.00%	0.46%	2.16%	1.79%	2.17%	2.01%	2.95%	2.30%	1.61%					
19	2.Всероссийская политическая партия «Гражданская Сила»	51	0	0	10	9	1	2	21	0	8					
		0.97%	0.00%	0.00%	1.20%	0.85%	0.72%	0.50%	1.24%	0.00%	1.07%					
20	3.Политическая партия «Демократическая партия России»	8	0	2	0	1	0	0	3	1	1					
		0.15%	0.00%	0.92%	0.00%	0.09%	0.00%	0.00%	0.18%	1.15%	0.13%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	458	6	27	87	122	28	47	90	5	46					
		8.68%	6.12%	12.39%	10.46%	11.50%	20.29%	11.78%	5.31%	5.75%	6.17%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	28	4	2	4	3	0	0	13	0	2					
		0.53%	4.08%	0.92%	0.48%	0.28%	0.00%	0.00%	0.77%	0.00%	0.27%					
23	6.Политическая партия «Партия социальной справедливости»	18	0	0	2	4	0	0	8	0	4					
		0.34%	0.00%	0.00%	0.24%	0.38%	0.00%	0.00%	0.47%	0.00%	0.54%					
24	7.Политическая партия «Либерально-демократическая партия России»	852	11	34	93	164	23	63	294	17	153					
		16.15%	11.22%	15.60%	11.18%	15.46%	16.67%	15.79%	17.33%	19.54%	20.54%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	358	6	16	49	62	8	25	138	2	52					
		6.79%	6.12%	7.34%	5.89%	5.84%	5.80%	6.27%	8.14%	2.30%	6.98%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	48	1	1	6	10	1	2	16	1	10					
		0.91%	1.02%	0.46%	0.72%	0.94%	0.72%	0.50%	0.94%	1.15%	1.34%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3238	70	132	541	644	70	249	1025	59	448					
		61.40%	71.43%	60.55%	65.02%	60.70%	50.72%	62.41%	60.44%	67.82%	60.13%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	61	0	1	12	14	3	1	25	0	5					
		1.16%	0.00%	0.46%	1.44%	1.32%	2.17%	0.25%	1.47%	0.00%	0.67%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
