Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																															
Дата голосования: 04.12.2011																																															
																																															
Наименование Избирательной комиссии:    Мошковская																																															
																																															
Сводная таблица результатов выборов																																															
																																															
		Сумма	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792					
1	"Число избирателей, внесенных в список избирателей"	31551	1252	2735	2838	1671	213	683	347	145	93	2079	644	713	156	814	576	168	1509	2017	576	357	221	783	285	465	203	154	320	694	172	557	1384	184	314	327	2340	2264	405	609	120	164					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29550	1150	2500	2650	1500	200	650	300	150	150	1950	600	700	150	800	600	150	1400	1850	550	350	200	750	250	450	200	150	300	650	150	500	1300	150	300	300	2200	2200	350	550	100	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	14307	520	1149	1271	920	138	400	145	62	81	910	257	373	90	409	260	80	553	757	324	128	103	283	151	244	89	87	126	257	81	246	699	96	129	166	1186	840	190	335	69	103					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1203	36	60	52	8	24	36	19	17	12	72	39	39	13	41	34	12	54	57	16	20	27	50	13	35	26	4	19	37	11	33	31	14	26	26	65	54	17	19	12	23					
6	Число погашенных избирательных бюллетеней	14040	594	1291	1327	572	38	214	136	71	57	968	304	288	47	350	306	58	793	1036	210	202	70	417	86	171	85	59	155	356	58	221	570	40	145	108	949	1306	143	196	19	24					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1203	36	60	52	8	24	36	19	17	12	72	39	39	13	41	34	12	54	57	16	20	27	50	13	35	26	4	19	37	11	33	31	14	26	26	65	54	17	19	12	23					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14304	520	1148	1271	919	138	400	145	62	81	910	257	372	90	409	260	80	553	757	324	128	103	283	151	244	89	87	126	257	81	246	699	96	129	166	1186	840	190	335	69	103					
9	Число недействительных избирательных бюллетеней	300	8	21	21	8	1	10	8	1	9	16	3	16	5	3	7	1	15	17	8	1	5	7	8	8	3	0	2	9	2	2	17	2	0	5	26	15	2	5	1	2					
10	Число действительных избирательных бюллетеней	15207	548	1187	1302	919	161	426	156	78	84	966	293	395	98	447	287	91	592	797	332	147	125	326	156	271	112	91	143	285	90	277	713	108	155	187	1225	879	205	349	80	124					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	877	34	42	43	24	5	22	13	5	15	49	15	35	5	22	32	1	24	24	11	15	5	15	10	20	15	5	5	35	5	22	44	15	12	50	74	70	7	15	12	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	877	34	42	43	24	5	22	13	5	15	49	15	35	5	22	32	1	24	24	11	15	5	15	10	20	15	5	5	35	5	22	44	15	12	50	74	70	7	15	12	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	256	9	19	9	5	0	6	6	4	11	6	3	17	28	13	6	3	7	10	5	7	2	1	1	5	3	1	2	0	1	4	4	6	7	9	9	19	7	0	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	0	2	1	1	0	3	1	0	0	3	0	0	0	0	0	0	3	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1660	46	139	146	97	10	35	16	6	17	141	36	32	8	43	20	6	85	87	65	17	16	29	22	36	9	2	6	22	6	32	77	13	13	36	135	94	16	29	4	11					
		10.70%	8.27%	11.51%	11.04%	10.46%	6.17%	8.03%	9.76%	7.59%	18.28%	14.36%	12.16%	7.79%	7.77%	9.56%	6.80%	6.52%	14.00%	10.69%	19.12%	11.49%	12.31%	8.71%	13.41%	12.90%	7.83%	2.20%	4.14%	7.48%	6.52%	11.47%	10.55%	11.82%	8.39%	18.75%	10.79%	10.51%	7.73%	8.19%	4.94%	8.73%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2591	113	164	223	212	21	72	21	17	8	161	48	79	6	55	69	14	97	122	48	18	17	49	20	34	18	11	15	44	13	44	158	31	38	39	242	170	24	35	7	14					
		16.71%	20.32%	13.58%	16.86%	22.87%	12.96%	16.51%	12.80%	21.52%	8.60%	16.40%	16.22%	19.22%	5.83%	12.22%	23.47%	15.22%	15.98%	14.99%	14.12%	12.16%	13.08%	14.71%	12.20%	12.19%	15.65%	12.09%	10.34%	14.97%	14.13%	15.77%	21.64%	28.18%	24.52%	20.31%	19.34%	19.02%	11.59%	9.89%	8.64%	11.11%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	149	2	9	11	8	0	4	1	1	0	11	4	5	0	2	1	2	9	15	6	2	1	3	2	2	1	1	2	0	1	2	7	1	2	3	13	10	2	1	1	1					
		0.96%	0.36%	0.75%	0.83%	0.86%	0.00%	0.92%	0.61%	1.27%	0.00%	1.12%	1.35%	1.22%	0.00%	0.44%	0.34%	2.17%	1.48%	1.84%	1.76%	1.35%	0.77%	0.90%	1.22%	0.72%	0.87%	1.10%	1.38%	0.00%	1.09%	0.72%	0.96%	0.91%	1.29%	1.56%	1.04%	1.12%	0.97%	0.28%	1.23%	0.79%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3630	113	311	290	233	40	92	21	16	19	260	75	76	6	87	84	23	139	144	85	29	15	88	30	73	35	12	63	90	27	65	200	19	28	34	322	208	40	88	21	29					
		23.41%	20.32%	25.75%	21.92%	25.13%	24.69%	21.10%	12.80%	20.25%	20.43%	26.48%	25.34%	18.49%	5.83%	19.33%	28.57%	25.00%	22.90%	17.69%	25.00%	19.59%	11.54%	26.43%	18.29%	26.16%	30.43%	13.19%	43.45%	30.61%	29.35%	23.30%	27.40%	17.27%	18.06%	17.71%	25.74%	23.27%	19.32%	24.86%	25.93%	23.02%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	233	6	23	30	9	0	6	3	0	1	6	10	4	1	6	0	1	7	14	10	2	2	7	1	2	3	0	4	1	2	4	17	3	1	3	19	20	5	0	0	0					
		1.50%	1.08%	1.90%	2.27%	0.97%	0.00%	1.38%	1.83%	0.00%	1.08%	0.61%	3.38%	0.97%	0.97%	1.33%	0.00%	1.09%	1.15%	1.72%	2.94%	1.35%	1.54%	2.10%	0.61%	0.72%	2.61%	0.00%	2.76%	0.34%	2.17%	1.43%	2.33%	2.73%	0.65%	1.56%	1.52%	2.24%	2.42%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6866	268	531	594	355	90	212	93	38	39	378	119	196	77	253	111	45	253	411	116	76	74	150	80	124	46	65	53	126	40	129	248	41	71	71	489	376	117	195	47	69					
		44.28%	48.20%	43.96%	44.90%	38.30%	55.56%	48.62%	56.71%	48.10%	41.94%	38.49%	40.20%	47.69%	74.76%	56.22%	37.76%	48.91%	41.68%	50.49%	34.12%	51.35%	56.92%	45.05%	48.78%	44.44%	40.00%	71.43%	36.55%	42.86%	43.48%	46.24%	33.97%	37.27%	45.81%	36.98%	39.09%	42.06%	56.52%	55.08%	58.02%	54.76%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	78	0	10	8	5	0	5	1	0	0	9	1	3	0	1	2	0	2	4	2	3	0	0	1	0	0	0	0	2	1	1	6	0	2	1	5	1	1	1	0	0					
		0.50%	0.00%	0.83%	0.60%	0.54%	0.00%	1.15%	0.61%	0.00%	0.00%	0.92%	0.34%	0.73%	0.00%	0.22%	0.68%	0.00%	0.33%	0.49%	0.59%	2.03%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	0.68%	1.09%	0.36%	0.82%	0.00%	1.29%	0.52%	0.40%	0.11%	0.48%	0.28%	0.00%	0.00%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
