Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Малмыжская																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21528	873	473	281	472	262	130	210	417	1201	1295	615	240	398	288	556	279	1055	537	307	235	1052	178	1007	298	621	628	480	444	988	1019	798	903	852	1083	1053									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20580	880	450	250	450	250	130	200	400	1000	1200	600	200	400	280	500	280	1000	500	300	240	1000	170	1000	300	600	600	450	450	1000	1000	800	900	800	1000	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8912	286	142	113	203	130	60	103	248	425	483	176	101	210	106	211	146	512	223	111	119	437	90	473	142	302	309	271	230	423	351	295	392	356	351	382									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2030	191	139	59	38	31	19	13	10	89	97	53	21	43	62	129	38	23	69	49	15	123	10	113	33	38	38	29	31	58	33	36	57	45	131	67									
6	Число погашенных избирательных бюллетеней	9638	403	169	78	209	89	51	84	142	486	620	371	78	147	112	160	96	465	208	140	106	440	70	414	125	260	253	150	189	519	616	469	451	399	518	551									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2030	191	139	59	38	31	19	13	10	89	97	53	21	43	62	129	38	23	69	49	15	123	10	113	33	38	38	29	31	58	33	36	57	45	131	67									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8910	286	142	113	203	130	60	103	248	425	483	176	101	210	106	211	146	512	223	111	119	437	90	473	142	302	309	271	230	423	351	293	392	356	351	382									
9	Число недействительных избирательных бюллетеней	188	1	8	4	3	3	0	0	0	16	8	3	2	6	2	7	1	6	6	0	2	7	0	5	1	7	13	4	0	7	4	22	12	6	11	11									
10	Число действительных избирательных бюллетеней	10752	476	273	168	238	158	79	116	258	498	572	226	120	247	166	333	183	529	286	160	132	553	100	581	174	333	334	296	261	474	380	307	437	395	471	438									
