Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Гавриловская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8846	2278	156	763	1232	592	513	453	169	278	438	189	231	439	261	239	272	343									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8920	2320	160	750	1230	600	520	450	170	280	450	190	230	450	270	240	270	340									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3512	851	50	281	353	277	172	186	93	141	184	77	90	204	91	122	135	205									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1260	220	38	85	250	95	120	69	42	56	55	16	33	27	20	19	58	57									
6	Число погашенных избирательных бюллетеней	4148	1249	72	384	627	228	228	195	35	83	211	97	107	219	159	99	77	78									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1260	220	38	85	250	95	120	69	42	56	55	16	33	27	20	19	58	57									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3512	851	50	281	353	277	172	186	93	141	184	77	90	204	91	122	135	205									
9	Число недействительных избирательных бюллетеней	38	10	0	3	1	0	4	7	0	1	3	2	4	2	0	1	0	0									
10	Число действительных избирательных бюллетеней	4734	1061	88	363	602	372	288	248	135	196	236	91	119	229	111	140	193	262									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	119	45	3	8	10	5	5	5	3	3	4	5	3	4	3	5	5	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	52	24	3	0	0	3	0	2	0	0	0	4	0	4	3	4	4	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	19	3	0	1	1	0	1	4	0	0	0	2	1	0	4	0	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	67	21	0	8	10	2	5	3	3	3	4	1	3	0	0	1	1	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	40	23	3	3	4	0	2	0	0	0	1	0	0	2	0	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	116	36	0	7	10	10	6	6	1	3	3	5	4	12	4	4	1	4									
		2.43%	3.36%	0.00%	1.91%	1.66%	2.69%	2.05%	2.35%	0.74%	1.52%	1.26%	5.38%	3.25%	5.19%	3.60%	2.84%	0.52%	1.53%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	84	26	2	11	9	1	1	7	0	3	6	3	2	6	5	1	1	0									
		1.76%	2.43%	2.27%	3.01%	1.49%	0.27%	0.34%	2.75%	0.00%	1.52%	2.51%	3.23%	1.63%	2.60%	4.50%	0.71%	0.52%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	33	11	3	3	2	1	0	3	0	1	2	0	1	0	2	0	3	1									
		0.69%	1.03%	3.41%	0.82%	0.33%	0.27%	0.00%	1.18%	0.00%	0.51%	0.84%	0.00%	0.81%	0.00%	1.80%	0.00%	1.55%	0.38%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3464	693	67	243	486	318	215	167	111	158	177	52	95	143	55	103	157	224									
		72.59%	64.71%	76.14%	66.39%	80.60%	85.48%	73.63%	65.49%	82.22%	80.20%	74.06%	55.91%	77.24%	61.90%	49.55%	73.05%	81.35%	85.50%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	10	4	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	1									
		0.21%	0.37%	0.00%	0.82%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.71%	0.00%	0.38%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1									
		0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.38%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	405	125	7	58	30	21	19	26	7	20	17	13	6	16	10	12	8	10									
		8.49%	11.67%	7.95%	15.85%	4.98%	5.65%	6.51%	10.20%	5.19%	10.15%	7.11%	13.98%	4.88%	6.93%	9.01%	8.51%	4.15%	3.82%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	10	2	0	1	2	0	0	3	0	0	0	0	1	0	1	0	0	0									
		0.21%	0.19%	0.00%	0.27%	0.33%	0.00%	0.00%	1.18%	0.00%	0.00%	0.00%	0.00%	0.81%	0.00%	0.90%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	9	3	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1									
		0.19%	0.28%	1.14%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	1.08%	0.00%	0.00%	0.90%	0.00%	0.00%	0.38%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.04%	0.09%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	10	2	0	2	1	0	1	1	0	0	0	0	0	2	1	0	0	0									
		0.21%	0.19%	0.00%	0.55%	0.17%	0.00%	0.34%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.87%	0.90%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	489	128	6	29	59	14	41	23	15	9	28	15	10	37	28	17	12	18									
		10.25%	11.95%	6.82%	7.92%	9.78%	3.76%	14.04%	9.02%	11.11%	4.57%	11.72%	16.13%	8.13%	16.02%	25.23%	12.06%	6.22%	6.87%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	10	1	0	0	1	0	0	2	0	0	1	0	0	3	1	0	1	0									
		0.21%	0.09%	0.00%	0.00%	0.17%	0.00%	0.00%	0.78%	0.00%	0.00%	0.42%	0.00%	0.00%	1.30%	0.90%	0.00%	0.52%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	88	29	2	4	2	7	5	7	1	2	1	2	0	9	3	2	10	2									
		1.84%	2.71%	2.27%	1.09%	0.33%	1.88%	1.71%	2.75%	0.74%	1.02%	0.42%	2.15%	0.00%	3.90%	2.70%	1.42%	5.18%	0.76%									
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
