Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																							
Дата голосования: 02.12.2007																																																																							
																																																																							
Наименование Избирательной комиссии:    Боровичcкая																																																																							
																																																																							
Сводная таблица результатов выборов																																																																							
																																																																							
		Сумма	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72									
1	Число избирателей, внесенных в списки избирателей	60492	2437	1047	1222	1290	1392	2034	1197	1562	1592	1009	1030	1521	940	1645	124	1160	2245	1986	651	923	1579	1203	1292	1879	1126	1121	1084	1854	1629	2092	1963	921	1914	637	535	196	64	970	366	234	294	384	1381	891	229	452	380	536	262	528	1549	282	285	1170	727	475	442	235	93	231									
2	Число избирательных бюллетеней, полученных участковыми избирательными комиссиями	59030	2300	1000	1200	1300	1400	2000	1100	1500	1500	1000	1000	1400	1000	1600	200	1200	2000	2000	600	900	1600	1100	1200	1800	1000	1000	1000	2000	1600	2000	1800	900	1800	600	500	200	80	1000	400	250	400	400	1400	900	250	500	400	600	300	600	1500	300	250	1000	700	450	450	250	100	250									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных избирателям в помещениях для голосования	35922	1513	643	783	861	886	1272	698	940	988	546	570	857	473	1009	91	773	1298	1083	361	548	1070	653	628	1142	663	587	640	1114	1033	1360	1078	494	1112	410	354	131	25	605	222	165	242	201	738	579	169	266	204	254	84	300	1024	166	164	671	412	169	264	134	36	166									
5	Число избирательных бюллетеней, выданных избирателям вне помещений для голосования	2674	40	7	8	15	20	39	24	16	18	19	26	24	10	39	25	17	15	22	13	17	17	18	49	24	27	31	11	34	35	15	25	20	54	4	31	24	35	61	82	46	52	116	127	94	11	60	51	165	146	119	85	56	68	62	36	202	56	26	37	48									
6	Число погашенных избирательных бюллетеней	20434	747	350	409	424	494	689	378	544	494	435	404	519	517	552	84	410	687	895	226	335	513	429	523	634	310	382	349	852	532	625	697	386	634	186	115	45	20	334	96	39	106	83	535	227	70	174	145	181	70	181	391	78	18	267	252	79	130	90	27	36									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2674	40	7	8	15	20	39	24	16	18	19	26	24	10	39	25	17	15	22	13	17	17	18	49	24	27	31	11	34	35	15	25	20	54	4	31	24	35	61	82	46	52	116	127	94	11	60	51	165	146	119	85	56	68	62	36	202	56	26	37	48									
8	Число избирательных бюллетеней в стационарных ящиках для голосования	35909	1513	643	783	861	886	1272	698	940	988	546	570	857	472	1009	91	773	1298	1083	361	548	1069	653	628	1142	663	587	640	1106	1031	1360	1078	494	1112	410	354	131	25	605	222	165	242	201	738	579	169	266	204	254	84	300	1024	166	164	670	412	169	264	134	36	166									
9	Число недействительных избирательных бюллетеней	338	7	4	6	7	4	15	1	7	7	4	5	7	7	10	2	2	8	8	2	2	7	7	4	20	7	6	6	7	13	17	9	2	11	3	3	2	1	2	2	3	11	0	5	2	0	4	0	30	1	1	10	7	3	4	4	1	7	0	1	0									
10	Число действительных избирательных бюллетеней	38245	1546	646	785	869	902	1296	721	949	999	561	591	874	475	1038	114	788	1305	1097	372	563	1079	664	673	1146	683	612	645	1133	1053	1358	1094	512	1155	411	382	153	59	664	302	208	283	317	860	671	180	322	255	389	229	418	1099	215	229	728	444	370	313	160	72	214									
