Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Усть-Цилемская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК  680	УИК  681	УИК  682	УИК  683	УИК  684	УИК  685	УИК  686	УИК  687	УИК  688	УИК  689	УИК  690	УИК  691	УИК  692	УИК  693	УИК  694	УИК  695	УИК  696	УИК  697	УИК  698	УИК  699	УИК  700					
1	"Число избирателей, внесенных в список"	10913	243	627	541	2073	1538	156	300	375	640	326	525	624	219	228	323	330	527	212	674	190	242					
2	Число полученных избирательных бюллетеней	11012	245	621	542	2070	1530	158	302	383	643	332	540	619	217	244	340	333	543	218	690	198	244					
3	"Число избирательных бюллетеней, выданных  досрочно"	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6207	147	345	349	1245	839	107	182	162	337	175	172	323	145	132	232	156	314	129	420	146	150					
5	"Число избирательных бюллетеней, выданных вне помещения"	812	11	58	2	49	31	7	8	107	94	72	96	17	1	45	13	53	46	7	35	10	50					
6	Число погашенных избирательных бюллетеней	3986	87	218	191	776	660	44	112	107	212	85	272	279	71	67	95	124	183	82	235	42	44					
7	Число избирательных бюллетеней в переносных ящиках	819	11	58	2	49	31	7	8	114	94	72	96	17	1	45	13	53	46	7	35	10	50					
8	Число бюллетеней в стационарных ящиках для голосования	6207	147	345	349	1245	839	107	182	162	337	175	172	323	145	132	232	156	314	129	420	146	150					
9	Число недействительных избирательных бюллетеней	49	1	2	1	13	13	0	0	4	2	1	2	2	0	1	0	2	2	0	2	0	1					
10	Число действительных избирательных бюллетеней	6977	157	401	350	1281	857	114	190	272	429	246	266	338	146	176	245	207	358	136	453	156	199					
11	Число полученных открепительных  удостоверений	225	5	10	10	30	20	5	10	10	10	10	10	10	5	5	15	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	107	3	1	0	23	5	1	5	4	10	7	2	2	0	1	12	2	8	5	10	4	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	56	1	3	2	13	7	1	3	0	5	2	0	4	2	0	2	1	1	1	6	1	1					
14	Число неиспользованных открепительных удостоверений	118	2	9	10	7	15	4	5	6	0	3	8	8	5	4	3	8	2	5	0	6	8					
15	"Число открепительных удостоверений, выданных в ТИК"	10	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	119	1	9	4	28	19	1	0	1	6	2	3	11	2	4	4	6	0	0	7	4	7					
		1.69%	0.63%	2.23%	1.14%	2.16%	2.18%	0.88%	0.00%	0.36%	1.39%	0.81%	1.12%	3.24%	1.37%	2.26%	1.63%	2.87%	0.00%	0.00%	1.54%	2.56%	3.50%					
19	. Малышкин Олег Александрович	220	6	11	12	30	24	7	3	6	9	9	12	13	7	13	8	7	5	6	17	9	6					
		3.13%	3.80%	2.73%	3.42%	2.32%	2.76%	6.14%	1.58%	2.17%	2.09%	3.64%	4.48%	3.82%	4.79%	7.34%	3.27%	3.35%	1.39%	4.41%	3.74%	5.77%	3.00%					
20	. Миронов Сергей Михайлович	51	1	5	4	10	4	1	3	3	2	2	3	4	1	3	1	0	1	1	1	0	1					
		0.73%	0.63%	1.24%	1.14%	0.77%	0.46%	0.88%	1.58%	1.09%	0.46%	0.81%	1.12%	1.18%	0.68%	1.69%	0.41%	0.00%	0.28%	0.74%	0.22%	0.00%	0.50%					
21	. Путин Владимир Владимирович	5488	132	334	291	982	705	73	168	238	377	156	105	241	108	126	193	162	320	119	364	130	164					
		78.11%	83.54%	82.88%	82.91%	75.89%	81.03%	64.04%	88.42%	86.23%	87.47%	63.16%	39.18%	70.88%	73.97%	71.19%	78.78%	77.51%	88.89%	87.50%	80.00%	83.33%	82.00%					
22	. Хакамада Ирина Муцуовна	118	4	8	6	30	17	2	0	1	5	9	9	5	0	2	1	2	6	0	8	2	1					
		1.68%	2.53%	1.99%	1.71%	2.32%	1.95%	1.75%	0.00%	0.36%	1.16%	3.64%	3.36%	1.47%	0.00%	1.13%	0.41%	0.96%	1.67%	0.00%	1.76%	1.28%	0.50%					
23	. Харитонов Николай Михайлович	851	12	26	24	167	72	29	14	18	24	64	124	60	25	24	31	28	25	10	46	10	18					
		12.11%	7.59%	6.45%	6.84%	12.91%	8.28%	25.44%	7.37%	6.52%	5.57%	25.91%	46.27%	17.65%	17.12%	13.56%	12.65%	13.40%	6.94%	7.35%	10.11%	6.41%	9.00%					
																												
24	Против всех	130	1	8	9	34	16	1	2	5	6	4	10	4	3	4	7	2	1	0	10	1	2					
		1.85%	0.63%	1.99%	2.56%	2.63%	1.84%	0.88%	1.05%	1.81%	1.39%	1.62%	3.73%	1.18%	2.05%	2.26%	2.86%	0.96%	0.28%	0.00%	2.20%	0.64%	1.00%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
