Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																			
Дата голосования: 07.12.2003 0:00:00																																																			
																																																			
Наименование Избирательной комиссии:    Kлепиковская																																																			
																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																			
																																																			
		Сумма	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489									
1	Число избирателей, внесенных в списки	23429	1925	1482	1066	1150	1281	1304	1429	1348	920	1415	186	116	332	229	266	457	797	438	1463	265	184	150	933	198	429	312	407	96	179	345	150	272	149	110	385	63	84	381	323	410									
2	Число бюллетеней, полученных участковыми комиссиями	23525	1930	1505	1055	1165	1275	1285	1420	1365	919	1420	195	117	333	226	269	447	808	437	1480	264	186	154	938	200	432	319	414	97	181	333	152	269	153	114	375	78	86	385	328	416									
3	Число бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число бюллетеней, выданных избирателям на избирательном участке	11754	990	813	577	555	607	613	679	647	474	794	66	44	137	64	121	180	383	210	749	156	111	111	411	109	237	183	227	56	36	193	53	170	71	82	234	57	53	195	142	164									
5	Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования	1920	5	32	68	34	34	33	26	20	48	29	84	37	76	93	71	86	78	66	45	12	41	23	109	34	71	48	31	23	57	77	53	39	41	0	35	6	12	50	93	100									
6	Число погашенных бюллетеней	9851	935	660	410	576	634	639	715	698	397	597	45	36	120	69	77	181	347	161	686	96	34	20	418	57	124	88	156	18	88	63	46	60	41	32	106	15	21	140	93	152									
7	Число бюллетеней в переносных ящиках для голосования	1920	5	32	68	34	34	33	26	20	48	29	84	37	76	93	71	86	78	66	45	12	41	23	109	34	71	48	31	23	57	77	53	39	41	0	35	6	12	50	93	100									
8	Число бюллетеней в стационарных ящиках для голосования	11754	990	813	577	555	607	613	679	647	474	794	66	44	137	64	121	180	383	210	749	156	111	111	411	109	237	183	227	56	36	193	53	170	71	82	234	57	53	195	142	164									
9	Число недействительных бюллетеней	321	24	6	18	18	15	8	17	14	8	16	1	1	5	2	3	9	13	8	17	12	4	1	21	3	6	14	3	6	2	16	4	1	4	0	8	1	1	3	2	6									
10	Число действительных бюллетеней	13353	971	839	627	571	626	638	688	653	514	807	149	80	208	155	189	257	448	268	777	156	148	133	499	140	302	217	255	73	91	254	102	208	108	82	261	62	64	242	233	258									
11	Число открепительных удостоверений, полученных участковыми комиссиями	397	30	23	18	20	20	21	24	20	16	24	3	3	6	3	5	8	14	7	25	4	4	4	16	3	7	5	7	3	8	3	3	5	3	3	6	3	3	6	5	6									
12	Число открепительных удостоверений, выданных участковыми комиссиями	73	12	5	4	4	0	2	5	1	0	1	2	0	1	0	4	0	3	4	7	0	1	0	5	0	1	0	0	0	0	0	0	1	2	0	5	0	0	1	2	0									
13	Число избирателей, проголосовавших по открепительным удостоверениям	95	5	5	9	4	2	7	1	1	2	4	3	2	4	3	3	4	1	3	2	3	3	1	0	3	2	0	1	1	0	2	0	3	2	0	4	0	1	1	3	0									
14	Число погашенных открепительных удостоверений	324	18	18	14	16	20	19	19	19	16	23	1	3	5	3	1	8	11	3	18	4	3	4	11	3	6	5	7	3	8	3	3	4	1	3	1	3	3	5	3	6									
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0									
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																			
18	"1. ""ЕДИНЕНИЕ"""	179	12	9	3	9	14	8	13	5	8	7	2	0	3	2	3	6	8	1	13	4	1	1	4	2	1	5	3	3	2	2	1	1	3	1	4	0	1	6	6	2									
		1.30%	1.20%	1.06%	0.46%	1.52%	2.18%	1.23%	1.84%	0.74%	1.53%	0.85%	1.33%	0.0%	1.40%	1.27%	1.56%	2.25%	1.73%	0.36%	1.63%	2.38%	0.65%	0.74%	0.76%	1.39%	0.32%	2.16%	1.16%	3.79%	2.15%	0.74%	0.94%	0.47%	2.67%	1.21%	1.48%	0.0%	1.53%	2.44%	2.55%	0.75%									
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	294	44	28	14	14	5	8	11	5	14	9	3	0	4	6	4	21	13	1	25	1	1	5	11	1	11	2	4	1	3	4	1	1	0	1	8	1	2	6	1	0									
		2.15%	4.42%	3.31%	2.17%	2.37%	0.78%	1.23%	1.56%	0.74%	2.68%	1.09%	2.0%	0.0%	1.87%	3.82%	2.08%	7.89%	2.81%	0.36%	3.14%	0.59%	0.65%	3.73%	2.11%	0.69%	3.57%	0.86%	1.55%	1.26%	3.22%	1.48%	0.94%	0.47%	0.0%	1.21%	2.97%	1.58%	3.07%	2.44%	0.42%	0.0%									
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1297	47	44	53	39	73	67	62	60	46	87	22	12	21	27	25	19	44	50	99	18	17	5	58	8	50	25	32	10	10	16	17	14	14	10	13	4	10	28	32	9									
		9.48%	4.72%	5.20%	8.21%	6.62%	11.38%	10.37%	8.79%	8.99%	8.81%	10.57%	14.66%	14.81%	9.85%	17.19%	13.02%	7.14%	9.54%	18.11%	12.46%	10.71%	11.18%	3.73%	11.15%	5.59%	16.23%	10.82%	12.40%	12.65%	10.75%	5.92%	16.03%	6.69%	12.49%	12.19%	4.83%	6.34%	15.38%	11.42%	13.61%	3.40%									
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	253	20	32	9	8	6	11	15	16	7	20	3	1	1	2	2	5	6	4	18	1	5	1	7	3	9	2	4	1	1	7	5	0	1	1	10	1	1	0	6	1									
		1.85%	2.01%	3.78%	1.39%	1.35%	0.93%	1.70%	2.12%	2.39%	1.34%	2.43%	2.0%	1.23%	0.46%	1.27%	1.04%	1.87%	1.30%	1.44%	2.26%	0.59%	3.28%	0.74%	1.34%	2.09%	2.92%	0.86%	1.55%	1.26%	1.07%	2.59%	4.71%	0.0%	0.89%	1.21%	3.71%	1.58%	1.53%	0.0%	2.55%	0.37%									
22	"5. ""За Русь Святую"""	101	13	4	2	3	6	1	7	2	3	2	1	1	1	1	0	2	3	3	3	1	0	0	2	7	2	3	0	1	0	1	2	2	1	2	6	3	1	4	3	2									
		0.73%	1.30%	0.47%	0.31%	0.50%	0.93%	0.15%	0.99%	0.29%	0.57%	0.24%	0.66%	1.23%	0.46%	0.63%	0.0%	0.75%	0.65%	1.08%	0.37%	0.59%	0.0%	0.0%	0.38%	4.89%	0.64%	1.29%	0.0%	1.26%	0.0%	0.37%	1.88%	0.95%	0.89%	2.43%	2.23%	4.76%	1.53%	1.63%	1.27%	0.75%									
23	"6. ""Объединенная Российская партия ""Русь"""	23	0	0	0	1	3	1	0	0	0	2	0	0	0	0	0	0	2	2	0	1	1	0	2	0	1	0	1	1	0	1	0	0	0	0	1	0	1	0	1	1									
		0.16%	0.0%	0.0%	0.0%	0.16%	0.46%	0.15%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.72%	0.0%	0.59%	0.65%	0.0%	0.38%	0.0%	0.32%	0.0%	0.38%	1.26%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	1.53%	0.0%	0.42%	0.37%									
24	"7. ""Новый курс - Автомобильная Россия"""	90	9	6	6	6	3	4	7	6	2	6	1	0	1	2	0	3	2	3	4	0	0	0	1	1	4	1	0	0	0	1	1	2	1	1	3	0	1	0	2	0									
		0.65%	0.90%	0.71%	0.93%	1.01%	0.46%	0.61%	0.99%	0.89%	0.38%	0.72%	0.66%	0.0%	0.46%	1.27%	0.0%	1.12%	0.43%	1.08%	0.50%	0.0%	0.0%	0.0%	0.19%	0.69%	1.29%	0.43%	0.0%	0.0%	0.0%	0.37%	0.94%	0.95%	0.89%	1.21%	1.11%	0.0%	1.53%	0.0%	0.85%	0.0%									
25	"8. ""Народно-республиканская партия России"""	23	1	1	0	0	1	1	1	0	2	0	0	0	0	0	1	1	1	0	1	1	0	0	1	0	0	1	1	0	1	0	1	1	0	2	0	0	1	1	1	0									
		0.16%	0.10%	0.11%	0.0%	0.0%	0.15%	0.15%	0.14%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.37%	0.21%	0.0%	0.12%	0.59%	0.0%	0.0%	0.19%	0.0%	0.0%	0.43%	0.38%	0.0%	1.07%	0.0%	0.94%	0.47%	0.0%	2.43%	0.0%	0.0%	1.53%	0.40%	0.42%	0.0%									
26	"9. ""Российская экологическая партия ""Зеленые"""	35	5	4	1	2	1	0	1	3	1	2	0	1	1	1	3	0	1	1	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0									
		0.25%	0.50%	0.47%	0.15%	0.33%	0.15%	0.0%	0.14%	0.44%	0.19%	0.24%	0.0%	1.23%	0.46%	0.63%	1.56%	0.0%	0.21%	0.36%	0.12%	0.59%	0.0%	0.0%	0.0%	0.69%	0.32%	0.0%	0.0%	1.26%	0.0%	0.0%	0.0%	0.0%	0.0%	1.21%	0.0%	0.0%	1.53%	0.0%	0.0%	0.0%									
27	"10. ""Аграрная партия России"""	1383	115	78	69	69	59	60	62	37	29	36	13	8	62	12	35	32	62	20	75	9	6	42	44	17	23	34	36	2	3	35	12	39	12	15	7	6	4	48	28	28									
		10.11%	11.55%	9.23%	10.69%	11.71%	9.20%	9.28%	8.79%	5.54%	5.55%	4.37%	8.66%	9.87%	29.10%	7.64%	18.22%	12.03%	13.44%	7.24%	9.44%	5.35%	3.94%	31.34%	8.46%	11.88%	7.46%	14.71%	13.95%	2.53%	3.22%	12.96%	11.32%	18.66%	10.71%	18.29%	2.60%	9.52%	6.15%	19.59%	11.91%	10.60%									
28	"11. ""Истинные патриоты России"""	15	0	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	1	2	0	0	0	0	1	1	0	1	0	0	0	0	0	0									
		0.10%	0.0%	0.0%	0.15%	0.16%	0.15%	0.0%	0.0%	0.0%	0.0%	0.12%	0.66%	0.0%	0.0%	0.0%	0.52%	0.0%	0.21%	0.0%	0.0%	0.0%	0.65%	0.0%	0.19%	0.0%	0.32%	0.86%	0.0%	0.0%	0.0%	0.0%	0.94%	0.47%	0.0%	1.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%									
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	184	16	7	14	11	6	14	6	9	8	10	2	0	1	0	2	10	7	1	9	3	1	3	6	2	8	3	0	0	0	3	2	5	4	0	3	0	0	1	3	4									
		1.34%	1.60%	0.82%	2.17%	1.86%	0.93%	2.16%	0.85%	1.34%	1.53%	1.21%	1.33%	0.0%	0.46%	0.0%	1.04%	3.75%	1.51%	0.36%	1.13%	1.78%	0.65%	2.23%	1.15%	1.39%	2.59%	1.29%	0.0%	0.0%	0.0%	1.11%	1.88%	2.39%	3.57%	0.0%	1.11%	0.0%	0.0%	0.40%	1.27%	1.51%									
30	"13. ""Демократическая партия России"""	29	2	2	1	0	0	0	1	1	2	3	0	1	0	1	0	0	2	4	2	1	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0									
		0.21%	0.20%	0.23%	0.15%	0.0%	0.0%	0.0%	0.14%	0.14%	0.38%	0.36%	0.0%	1.23%	0.0%	0.63%	0.0%	0.0%	0.43%	1.44%	0.25%	0.59%	0.0%	0.0%	0.19%	0.69%	0.0%	1.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%									
31	"14. ""Великая Россия - Евразийский Союз"""	22	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	2	3	0	0	0	0	0	2	1	0	0	0	3	0	0	2	0	1	0	0	0	0	1	0									
		0.16%	0.0%	0.11%	0.15%	0.16%	0.0%	0.15%	0.14%	0.14%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	1.08%	0.0%	0.0%	0.0%	0.0%	0.0%	1.39%	0.32%	0.0%	0.0%	0.0%	3.22%	0.0%	0.0%	0.95%	0.0%	1.21%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%									
32	"15. ""Партия СЛОН"""	10	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0									
		0.07%	0.0%	0.23%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.12%	0.0%	0.0%	0.0%	0.0%	0.69%	0.32%	0.0%	0.0%	1.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.40%	0.0%	0.0%									
33	"16. ""Родина"" (народно-патриотический союз)"""	989	113	79	68	42	51	40	55	59	38	39	13	1	18	18	9	14	25	29	42	7	7	2	38	10	29	14	15	13	8	9	7	6	4	0	18	4	1	15	15	14									
		7.23%	11.35%	9.34%	10.54%	7.13%	7.95%	6.19%	7.80%	8.84%	7.27%	4.73%	8.66%	1.23%	8.45%	11.46%	4.68%	5.26%	5.42%	10.50%	5.28%	4.16%	4.60%	1.49%	7.30%	6.99%	9.41%	6.06%	5.81%	16.45%	8.60%	3.33%	6.60%	2.87%	3.57%	0.0%	6.69%	6.34%	1.53%	6.12%	6.38%	5.30%									
34	"17. ""Партия Мира и Единства (ПМЕ)"""	36	1	1	1	1	1	1	4	0	1	1	1	0	0	0	1	0	0	2	1	0	0	1	2	1	2	2	2	0	0	3	3	0	0	0	1	1	0	0	1	0									
