Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																	
Дата голосования: 04.12.2011																	
																	
Наименование Избирательной комиссии:    Таймырская Долгано-Ненецкая №2																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232					
1	"Число избирателей, внесенных в список избирателей"	4312	223	255	200	142	188	2143	162	245	379	375					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4426	236	270	216	150	212	2136	163	272	403	368					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	165	8	0	0	0	0	17	0	51	16	73					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2533	154	185	135	21	132	1202	109	176	221	198					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	112	2	8	6	1	6	69	4	4	6	6					
6	Число погашенных избирательных бюллетеней	1616	72	77	75	128	74	848	50	41	160	91					
7	Число избирательных бюллетеней в переносных ящиках для голосования	277	10	8	6	1	6	86	4	55	22	79					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2522	154	185	135	21	132	1191	109	176	221	198					
9	Число недействительных избирательных бюллетеней	28	4	0	1	0	0	21	0	0	2	0					
10	Число действительных избирательных бюллетеней	2771	160	193	140	22	138	1256	113	231	241	277					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	245	20	20	20	10	25	70	20	20	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	106	2	19	11	0	24	19	6	16	9	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	95	2	5	1	0	2	73	1	0	7	4					
14	Число погашенных неиспользованных открепительных удостоверений	139	18	1	9	10	1	51	14	4	11	20					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	45	1	1	7	10	0	13	0	4	6	3					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	247	5	8	5	3	4	174	4	10	18	16					
		8.82%	3.05%	4.15%	3.55%	13.64%	2.90%	13.63%	3.54%	4.33%	7.41%	5.78%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	258	1	8	5	2	8	201	7	11	10	5					
		9.22%	0.61%	4.15%	3.55%	9.09%	5.80%	15.74%	6.19%	4.76%	4.12%	1.81%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	22	0	0	0	1	0	15	1	0	1	4					
		0.79%	0.00%	0.00%	0.00%	4.55%	0.00%	1.17%	0.88%	0.00%	0.41%	1.44%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	310	6	7	14	2	5	215	3	14	12	32					
		11.08%	3.66%	3.63%	9.93%	9.09%	3.62%	16.84%	2.65%	6.06%	4.94%	11.55%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	36	0	1	2	2	0	30	0	0	0	1					
		1.29%	0.00%	0.52%	1.42%	9.09%	0.00%	2.35%	0.00%	0.00%	0.00%	0.36%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1875	148	167	113	12	120	605	97	196	199	218					
		66.99%	90.24%	86.53%	80.14%	54.55%	86.96%	47.38%	85.84%	84.85%	81.89%	78.70%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	23	0	2	1	0	1	16	1	0	1	1					
		0.82%	0.00%	1.04%	0.71%	0.00%	0.72%	1.25%	0.88%	0.00%	0.41%	0.36%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
