Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва											
Дата голосования: 04.12.2011											
											
Наименование Избирательной комиссии:    Сибирская											
											
Сводная таблица результатов выборов											
											
		Сумма	УИК №1868	УИК №1869	УИК №1870	УИК №1871					
1	"Число избирателей, внесенных в список избирателей"	9728	2462	2519	2535	2212					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9200	2300	2300	2300	2300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6027	1450	1551	1680	1346					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1177	284	290	300	303					
6	Число погашенных избирательных бюллетеней	1996	566	459	320	651					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1175	283	289	300	303					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6015	1449	1550	1671	1345					
9	Число недействительных избирательных бюллетеней	115	35	29	28	23					
10	Число действительных избирательных бюллетеней	7075	1697	1810	1943	1625					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	430	100	100	130	100					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	307	58	61	120	68					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	183	58	44	38	43					
14	Число погашенных неиспользованных открепительных удостоверений	123	42	39	10	32					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	25	5	4	8	8					
16	Число утраченных открепительных удостоверений	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0					
											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	713	187	200	163	163					
		9.92%	10.80%	10.88%	8.27%	9.89%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1584	399	374	414	397					
		22.03%	23.04%	20.34%	21.00%	24.09%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	98	21	30	21	26					
		1.36%	1.21%	1.63%	1.07%	1.58%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1067	238	264	286	279					
		14.84%	13.74%	14.36%	14.51%	16.93%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	105	21	27	31	26					
		1.46%	1.21%	1.47%	1.57%	1.58%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3472	826	905	1017	724					
		48.29%	47.69%	49.21%	51.60%	43.93%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	36	5	10	11	10					
		0.50%	0.29%	0.54%	0.56%	0.61%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
