Выборы Президента Российской Федерации																																																																															
																																																																															
Наименование Избирательной комиссии:    Белгородская районная																																																																															
																																																																															
Итоги голосования 																																																																															
																																																																															
		Сумма	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267					
1	"Число избирателей, внесенных в список"	68623	1557	934	890	636	1722	668	1245	1141	1563	1748	2254	204	240	255	407	838	1137	405	644	171	232	1880	1966	215	857	105	516	1352	630	1368	1053	694	1003	341	1781	591	1220	345	202	256	112	203	1376	2125	2534	2702	1668	1125	556	2509	1885	1539	845	642	350	182	1257	590	118	477	847	185	1111	597	1295	791	488	1519	1482	1431	593	223					
2	Число полученных избирательных бюллетеней	69050	1600	990	965	655	1728	675	1240	1140	1545	1760	2260	201	240	255	405	830	1125	400	640	165	230	1860	1925	205	875	110	505	1370	645	1435	1025	705	1010	325	1715	590	1210	345	201	255	112	199	1370	2115	2615	2725	1645	1125	550	2550	1980	1640	845	645	360	183	1265	575	120	485	855	200	1130	600	1275	800	520	1465	1485	1440	595	221					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	48139	967	575	590	464	1193	266	469	746	1057	933	1707	154	205	217	317	595	756	245	420	131	120	1420	1511	160	610	96	371	828	306	988	738	513	627	216	1353	460	970	250	111	206	85	128	996	1660	2085	2143	1288	791	442	1878	1507	1202	540	380	230	107	932	258	89	349	650	85	852	444	856	431	383	1041	898	956	449	143					
5	"Число избирательных бюллетеней, выданных вне помещения"	6985	85	79	39	64	11	269	307	210	127	306	165	40	30	17	80	153	180	87	49	20	82	119	104	37	94	2	95	234	229	56	163	64	153	72	119	105	37	54	64	33	23	49	105	44	31	21	101	68	28	42	11	48	98	137	92	48	126	173	21	81	92	89	80	67	192	188	86	154	223	104	75	54					
6	Число погашенных избирательных бюллетеней	13926	548	336	336	127	524	140	464	184	361	521	388	7	5	21	8	82	189	68	171	14	28	321	310	8	171	12	39	308	110	391	124	128	230	37	243	25	203	41	26	16	4	22	269	411	499	561	256	266	80	630	462	390	207	128	38	28	207	144	10	55	113	26	198	89	227	181	51	270	364	380	71	24					
7	Число избирательных бюллетеней в переносных ящиках	6985	85	79	39	64	11	269	307	210	127	306	165	40	30	17	80	153	180	87	49	20	82	119	104	37	94	2	95	234	229	56	163	64	153	72	119	105	37	54	64	33	23	49	105	44	31	21	101	68	28	42	11	48	98	137	92	48	126	173	21	81	92	89	80	67	192	188	86	154	223	104	75	54					
8	Число бюллетеней в стационарных ящиках для голосования	48136	967	575	590	464	1193	266	469	746	1057	933	1707	154	205	217	317	595	756	245	420	131	120	1420	1511	160	610	96	371	828	306	987	738	513	627	216	1353	460	969	250	111	206	85	128	996	1660	2085	2143	1288	791	442	1878	1507	1202	540	380	230	107	932	258	89	349	650	85	852	444	856	430	383	1041	898	956	449	143					
9	Число недействительных избирательных бюллетеней	614	2	11	3	14	0	5	10	9	3	11	12	2	1	3	4	1	5	0	4	2	1	23	14	0	6	0	17	21	8	8	10	8	8	8	11	4	12	2	3	7	6	1	12	15	15	44	15	8	6	14	10	9	10	11	4	1	8	4	0	9	8	0	16	10	42	15	7	16	4	12	9	0					
10	Число действительных избирательных бюллетеней	54507	1050	643	626	514	1204	530	766	947	1181	1228	1860	192	234	231	393	747	931	332	465	149	201	1516	1601	197	698	98	449	1041	527	1035	891	569	772	280	1461	561	994	302	172	232	102	176	1089	1689	2101	2120	1374	851	464	1906	1508	1241	628	506	318	154	1050	427	110	421	734	174	916	501	1006	603	462	1179	1117	1048	515	197					
