Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																		
Дата голосования: 07.12.2003 0:00:00																		
																		
Наименование Избирательной комиссии:    Баксанская городская																		
																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																		
																		
		Сумма	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31					
1	"Число избирателей, внесенных в списки"	27491	2560	2745	2742	2926	2686	1627	2794	2674	1281	2603	2853					
2	"Число бюллетеней, полученных участковыми комиссиями"	27418	2763	2698	2800	2997	2627	1434	2876	2674	1219	2616	2714					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	24678	2304	2277	1998	2701	2469	1385	2566	2620	1157	2542	2659					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	132	0	7	18	26	1	10	9	0	7	23	31					
6	Число погашенных бюллетеней	2608	459	414	784	270	157	39	301	54	55	51	24					
7	Число бюллетеней в переносных ящиках для голосования	132	0	7	18	26	1	10	9	0	7	23	31					
8	Число бюллетеней в стационарных ящиках для голосования	24626	2304	2226	1998	2700	2469	1385	2566	2620	1157	2542	2659					
9	Число недействительных бюллетеней	60	3	0	0	1	0	1	25	0	5	12	13					
10	Число действительных бюллетеней	24698	2301	2233	2016	2725	2470	1394	2550	2620	1159	2553	2677					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	159	16	16	16	16	16	8	16	16	7	16	16					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	39	5	4	1	1	5	5	2	9	0	2	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	14	0	0	0	2	1	1	8	0	0	2	0					
14	Число погашенных открепительных удостоверений	120	11	12	15	15	11	3	14	7	7	14	11					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	"1. ""ЕДИНЕНИЕ"""	52	12	0	0	11	7	0	22	0	0	0	0					
		0.21%	0.52%	0.0%	0.0%	0.40%	0.28%	0.0%	0.85%	0.0%	0.0%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	197	19	2	17	12	12	0	19	40	0	58	18					
		0.79%	0.82%	0.08%	0.84%	0.44%	0.48%	0.0%	0.73%	1.52%	0.0%	2.26%	0.66%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	74	10	0	6	19	10	0	29	0	0	0	0					
		0.29%	0.43%	0.0%	0.29%	0.69%	0.40%	0.0%	1.12%	0.0%	0.0%	0.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	49	11	0	0	9	6	0	23	0	0	0	0					
