Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Томпонская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9487	755	911	1053	1686	1172	197	95	382	403	109	43	595	730	1031	121	104	100									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9200	680	825	1060	1700	1100	195	95	350	370	100	45	580	760	1045	110	95	90									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	120	47	0	0	0	0	0	0	0	19	0	0	53	0	0	0	0	1									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3713	195	317	430	615	308	103	54	188	196	63	13	276	315	454	63	71	52									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	394	48	44	33	35	56	3	8	33	8	0	0	29	31	50	5	0	11									
6	Число погашенных избирательных бюллетеней	4973	390	464	597	1050	736	89	33	129	147	37	32	222	414	541	42	24	26									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	514	95	44	33	35	56	3	8	33	27	0	0	82	31	50	5	0	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3713	195	317	430	615	308	103	54	188	196	63	13	276	315	454	63	71	52									
9	Число недействительных избирательных бюллетеней	58	3	6	7	10	3	0	0	6	0	0	0	7	5	7	1	3	0									
10	Число действительных избирательных бюллетеней	4169	287	355	456	640	361	106	62	215	223	63	13	351	341	497	67	68	64									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	159	2	10	23	15	8	5	5	24	6	3	1	15	14	20	3	3	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	112	0	7	14	10	4	1	4	21	5	3	0	5	14	20	0	2	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	56	1	7	10	3	0	3	2	6	0	2	2	1	9	5	2	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	47	2	3	9	5	4	4	1	3	1	0	1	10	0	0	3	1	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	5	2	9	8	0	1	1	1	3	0	0	3	2	2	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	45	2	9	4	12	1	3	0	0	1	3	2	3	1	3	0	0	1									
		1.06%	0.69%	2.49%	0.86%	1.85%	0.27%	2.83%	0.00%	0.00%	0.45%	4.76%	15.38%	0.84%	0.29%	0.60%	0.00%	0.00%	1.56%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	131	4	3	15	9	15	3	7	11	10	2	1	13	13	23	1	1	0									
		3.10%	1.38%	0.83%	3.24%	1.38%	4.12%	2.83%	11.29%	4.98%	4.48%	3.17%	7.69%	3.63%	3.76%	4.56%	1.47%	1.41%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	143	7	11	12	20	18	3	2	3	5	2	1	5	16	29	6	0	3									
		3.38%	2.41%	3.05%	2.59%	3.08%	4.95%	2.83%	3.23%	1.36%	2.24%	3.17%	7.69%	1.40%	4.62%	5.75%	8.82%	0.00%	4.69%									
