Выборы Президента Российской Федерации																						
																						
Наименование Избирательной комиссии:    Медынская																						
																						
Итоги голосования 																						
																						
		Сумма	УИК  487	УИК  488	УИК  489	УИК  490	УИК  491	УИК  492	УИК  493	УИК  494	УИК  495	УИК  496	УИК  497	УИК  498	УИК  499	УИК  500	УИК  501					
1	"Число избирателей, внесенных в список"	9629	2900	2803	262	365	159	539	533	170	373	345	161	110	445	76	388					
2	Число полученных избирательных бюллетеней	8959	2593	2463	266	364	169	520	501	182	373	375	200	98	403	79	373					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4790	1341	1213	201	253	86	276	253	100	179	260	35	76	270	74	173					
5	"Число избирательных бюллетеней, выданных вне помещения"	1154	135	126	15	77	40	94	135	43	113	77	100	9	63	0	127					
6	Число погашенных избирательных бюллетеней	3015	1117	1124	50	34	43	150	113	39	81	38	65	13	70	5	73					
7	Число избирательных бюллетеней в переносных ящиках	1154	135	126	15	77	40	94	135	43	113	77	100	9	63	0	127					
8	Число бюллетеней в стационарных ящиках для голосования	4790	1341	1213	201	253	86	276	253	100	179	260	35	76	270	74	173					
9	Число недействительных избирательных бюллетеней	57	18	17	0	0	0	6	5	0	2	0	0	0	4	3	2					
10	Число действительных избирательных бюллетеней	5887	1458	1322	216	330	126	364	383	143	290	337	135	85	329	71	298					
11	Число полученных открепительных  удостоверений	175	20	20	10	15	20	15	20	5	10	10	5	5	10	0	10					
12	Число выданных открепительных удостоверений	43	6	2	1	2	17	13	0	2	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	52	19	12	6	3	1	3	1	0	0	3	0	0	1	0	3					
14	Число неиспользованных открепительных удостоверений	132	14	18	9	13	3	2	20	3	10	10	5	5	10	0	10					
15	"Число открепительных удостоверений, выданных в ТИК"	8	2	2	0	0	1	1	0	0	0	0	1	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																						
18	. Глазьев Сергей Юрьевич	158	40	31	1	21	0	9	6	3	14	10	1	0	2	19	1					
		2.66%	2.71%	2.32%	0.46%	6.36%	0.00%	2.43%	1.55%	2.10%	4.79%	2.97%	0.74%	0.00%	0.60%	25.68%	0.33%					
19	. Малышкин Олег Александрович	126	22	33	5	3	4	5	10	6	8	10	7	1	10	2	0					
		2.12%	1.49%	2.46%	2.31%	0.91%	3.17%	1.35%	2.58%	4.20%	2.74%	2.97%	5.19%	1.18%	3.00%	2.70%	0.00%					
20	. Миронов Сергей Михайлович	30	6	9	2	0	1	1	0	0	1	2	1	1	1	2	3					
		0.50%	0.41%	0.67%	0.93%	0.00%	0.79%	0.27%	0.00%	0.00%	0.34%	0.59%	0.74%	1.18%	0.30%	2.70%	1.00%					
21	. Путин Владимир Владимирович	4539	1092	1017	167	262	103	308	314	117	230	265	113	75	185	42	249					
		76.36%	73.98%	75.95%	77.31%	79.39%	81.75%	83.24%	80.93%	81.82%	78.77%	78.64%	83.70%	88.24%	55.56%	56.76%	83.00%					
22	. Хакамада Ирина Муцуовна	122	34	30	5	7	4	7	6	2	4	3	4	0	9	0	7					
		2.05%	2.30%	2.24%	2.31%	2.12%	3.17%	1.89%	1.55%	1.40%	1.37%	0.89%	2.96%	0.00%	2.70%	0.00%	2.33%					
23	. Харитонов Николай Михайлович	795	230	176	31	35	12	28	41	15	30	40	6	6	112	1	32					
		13.37%	15.58%	13.14%	14.35%	10.61%	9.52%	7.57%	10.57%	10.49%	10.27%	11.87%	4.44%	7.06%	33.63%	1.35%	10.67%					
																						
24	Против всех	117	34	26	5	2	2	6	6	0	3	7	3	2	10	5	6					
		1.97%	2.30%	1.94%	2.31%	0.61%	1.59%	1.62%	1.55%	0.00%	1.03%	2.08%	2.22%	2.35%	3.00%	6.76%	2.00%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
