Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Зональная																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15432	1904	2785	245	181	1027	1518	846	1371	319	350	2524	1442	920									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12600	1500	2500	200	150	800	1200	700	1100	250	300	2100	1100	700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5106	538	1071	65	90	309	376	389	371	104	140	819	500	334									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	347	60	43	9	8	53	12	7	39	6	3	62	13	32									
6	Число погашенных избирательных бюллетеней	7147	902	1386	126	52	438	812	304	690	140	157	1219	587	334									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	347	60	43	9	8	53	12	7	39	6	3	62	13	32									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5104	537	1071	65	90	308	376	389	371	104	140	819	500	334									
9	Число недействительных избирательных бюллетеней	120	5	46	3	4	7	4	3	11	5	2	15	7	8									
10	Число действительных избирательных бюллетеней	5331	592	1068	71	94	354	384	393	399	105	141	866	506	358									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	94	11	17	2	2	6	9	5	8	2	2	15	9	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	28	3	12	0	0	2	1	4	1	0	0	4	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	38	8	6	1	4	0	3	2	1	2	1	2	4	4									
14	Число погашенных неиспользованных открепительных удостоверений	66	8	5	2	2	4	8	1	7	2	2	11	9	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	3	0	0	1	0	0	1	0	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	54	6	9	0	1	3	5	5	4	0	5	10	1	5									
		0.99%	1.01%	0.81%	0.00%	1.02%	0.83%	1.29%	1.26%	0.98%	0.00%	3.50%	1.14%	0.19%	1.37%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	259	37	52	6	6	25	14	11	25	7	5	26	22	23									
