Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва												
Дата голосования: 02.12.2007												
												
Наименование Избирательной комиссии:    Сорская городская												
												
Сводная таблица результатов выборов												
												
		Сумма	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114					
1	"Число избирателей, внесенных в списки избирателей"	8294	2135	1757	1630	2092	680					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	8400	2200	1750	1650	2200	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4915	1341	961	983	1292	338					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	337	80	46	59	71	81					
6	Число погашенных избирательных бюллетеней	3148	779	743	608	837	181					
7	Число избирательных бюллетеней в переносных ящиках для голосования	337	80	46	59	71	81					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4915	1341	961	983	1292	338					
9	Число недействительных избирательных бюллетеней	57	16	11	9	13	8					
10	Число действительных избирательных бюллетеней	5195	1405	996	1033	1350	411					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	83	20	18	18	21	6					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	79	20	17	15	21	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	71	4	11	4	9	43					
14	Число погашенных неиспользованных открепительных удостоверений	4	0	1	3	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	47	9	15	13	9	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0					
												
18	1.Политическая партия «Аграрная партия России»	98	28	20	19	19	12					
		1.87%	1.97%	1.99%	1.82%	1.39%	2.86%					
19	2.Всероссийская политическая партия «Гражданская Сила»	19	3	4	6	6	0					
		0.36%	0.21%	0.40%	0.58%	0.44%	0.00%					
20	3.Политическая партия «Демократическая партия России»	8	1	2	1	2	2					
		0.15%	0.07%	0.20%	0.10%	0.15%	0.48%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	771	251	156	144	156	64					
		14.68%	17.66%	15.49%	13.82%	11.45%	15.27%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	17	6	3	2	1	5					
		0.32%	0.42%	0.30%	0.19%	0.07%	1.19%					
23	6.Политическая партия «Партия социальной справедливости»	9	2	2	1	2	2					
		0.17%	0.14%	0.20%	0.10%	0.15%	0.48%					
24	7.Политическая партия «Либерально-демократическая партия России»	589	150	115	121	161	42					
		11.21%	10.56%	11.42%	11.61%	11.81%	10.02%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	235	68	40	41	70	16					
		4.47%	4.79%	3.97%	3.93%	5.14%	3.82%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	168	46	26	49	35	12					
		3.20%	3.24%	2.58%	4.70%	2.57%	2.86%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3236	842	620	635	885	254					
		61.61%	59.25%	61.57%	60.94%	64.93%	60.62%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	45	8	8	14	13	2					
		0.86%	0.56%	0.79%	1.34%	0.95%	0.48%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
