Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва														
Дата голосования: 04.12.2011														
														
Наименование Избирательной комиссии:    Сорская городская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119					
1	"Число избирателей, внесенных в список избирателей"	7783	1945	1517	1354	1902	610	212	243					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8300	2000	1500	1600	2000	600	300	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4096	1003	738	761	970	235	149	240					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	285	72	65	27	33	35	53	0					
6	Число погашенных избирательных бюллетеней	3919	925	697	812	997	330	98	60					
7	Число избирательных бюллетеней в переносных ящиках для голосования	285	72	65	27	33	35	53	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4096	1003	738	761	970	235	149	240					
9	Число недействительных избирательных бюллетеней	47	12	5	8	12	1	2	7					
10	Число действительных избирательных бюллетеней	4334	1063	798	780	991	269	200	233					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	186	40	40	40	40	26	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	92	19	16	18	34	5	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	144	13	19	13	11	1	11	76					
14	Число погашенных неиспользованных открепительных удостоверений	94	21	24	22	6	21	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	6	1	1	6	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	575	104	103	120	167	29	14	38					
		13.12%	9.67%	12.83%	15.23%	16.65%	10.74%	6.93%	15.83%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	576	144	93	103	121	34	38	43					
		13.15%	13.40%	11.58%	13.07%	12.06%	12.59%	18.81%	17.92%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	87	22	17	17	18	7	3	3					
		1.99%	2.05%	2.12%	2.16%	1.79%	2.59%	1.49%	1.25%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	846	206	161	154	177	51	36	61					
		19.31%	19.16%	20.05%	19.54%	17.65%	18.89%	17.82%	25.42%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	71	19	10	15	12	6	1	8					
		1.62%	1.77%	1.25%	1.90%	1.20%	2.22%	0.50%	3.33%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2168	565	413	371	493	140	108	78					
		49.49%	52.56%	51.43%	47.08%	49.15%	51.85%	53.47%	32.50%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	11	3	1	0	3	2	0	2					
		0.25%	0.28%	0.12%	0.00%	0.30%	0.74%	0.00%	0.83%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
