Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																												
Дата голосования: 07.12.2003 0:00:00																												
																												
Наименование Избирательной комиссии:    Рассказовская городская																												
																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																												
																												
		Сумма	УИК  816	УИК  817	УИК  818	УИК  819	УИК  820	УИК  821	УИК  822	УИК  823	УИК  824	УИК  825	УИК  826	УИК  827	УИК  828	УИК  829	УИК  830	УИК  831	УИК  832	УИК  833	УИК  834	УИК  835	УИК  836					
1	"Число избирателей, внесенных в списки"	37001	1454	2215	659	2418	1871	2306	1962	1748	1494	2271	2114	2581	2068	732	1970	1882	2114	1381	1679	1946	136					
2	"Число бюллетеней, полученных участковыми комиссиями"	36810	1450	2200	640	2370	1840	2230	1930	1740	1460	2230	2460	2520	2030	720	1970	1850	2080	1350	1650	1940	150					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13885	497	784	278	892	575	876	869	588	543	749	934	1178	739	250	802	730	704	444	584	788	81					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	848	46	63	11	34	64	43	23	52	33	51	42	46	44	32	26	39	91	43	25	40	0					
6	Число погашенных бюллетеней	22081	907	1355	351	1444	1201	1311	1038	1100	884	1432	1484	1296	1247	438	1142	1081	1285	863	1041	1112	69					
7	Число бюллетеней в переносных ящиках для голосования	848	46	63	11	34	64	43	23	52	33	51	42	46	44	32	26	39	91	43	25	40	0					
8	Число бюллетеней в стационарных ящиках для голосования	13880	497	783	278	892	575	876	869	588	543	748	934	1178	736	250	802	730	704	444	584	788	81					
9	Число недействительных бюллетеней	301	19	12	7	16	5	18	11	4	18	27	11	29	19	4	17	25	17	10	14	15	3					
10	Число действительных бюллетеней	14427	524	834	282	910	634	901	881	636	558	772	965	1195	761	278	811	744	778	477	595	813	78					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	210	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	0					
