Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
"Наименование Избирательной комиссии:    Владивосток, Советская"																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №880	УИК №881									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	86140	582	2670	1805	2501	1918	1897	2062	2576	1381	2114	604	713	1616	1937	1066	3040	1004	573	555	2495	624	1831	1687	1321	2643	2277	2234	1920	892	2002	2354	1965	2291	2172	1975	1018	1329	1255	1410	2118	2052	2267	2430	1837	2022	1381	1838	1938	1618	278	52									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	69650	500	2000	1400	2000	1500	1500	1500	2000	1000	1600	500	600	1600	1500	1000	2000	900	500	500	2300	550	1300	1300	1200	2500	1800	2000	1500	700	1600	1700	1600	1700	2000	1800	800	1200	1000	1200	1600	1800	1700	1900	1400	1700	1100	1600	1500	1200	250	50									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25056	205	541	533	648	516	644	583	567	414	570	156	360	682	518	285	693	236	144	145	716	343	463	384	368	726	705	747	508	200	574	808	830	613	645	708	342	416	395	457	669	629	717	723	401	412	374	566	582	499	46	50									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	849	14	33	5	7	8	8	13	20	5	6	32	0	6	2	1	6	8	1	2	11	170	39	5	5	18	12	2	5	20	14	15	6	13	13	4	4	4	20	2	8	13	0	11	0	6	1	12	5	48	186	0									
6	Число погашенных избирательных бюллетеней	43745	281	1426	862	1345	976	848	904	1413	581	1024	312	240	912	980	714	1301	656	355	353	1573	37	798	911	827	1756	1083	1251	987	480	1012	877	764	1074	1342	1088	454	780	585	741	923	1158	983	1166	999	1282	725	1022	913	653	18	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	848	14	33	5	7	8	8	13	20	5	6	32	0	6	2	1	6	8	1	2	11	170	39	5	5	18	12	2	5	20	14	15	6	13	13	3	4	4	20	2	8	13	0	11	0	6	1	12	5	48	186	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	25009	205	541	533	647	516	644	583	567	414	570	156	360	682	518	285	693	236	144	145	697	343	463	383	368	726	705	742	507	200	574	808	830	613	645	708	342	416	395	457	669	629	715	709	401	411	374	566	579	499	46	50									
9	Число недействительных избирательных бюллетеней	708	1	6	3	29	10	22	14	8	0	0	7	4	11	23	16	10	5	0	4	23	98	2	16	15	17	20	19	18	5	20	20	7	15	21	7	8	17	15	8	22	14	11	29	5	10	7	22	18	9	5	12									
10	Число действительных избирательных бюллетеней	25149	218	568	535	625	514	630	582	579	419	576	181	356	677	497	270	689	239	145	143	685	415	500	372	358	727	697	725	494	215	568	803	829	611	637	704	338	403	400	451	655	628	704	691	396	407	368	556	566	538	227	38									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1228	10	40	20	40	30	30	30	30	30	30	20	20	30	20	20	20	20	20	20	20	10	20	30	30	30	30	28	20	20	30	30	30	30	30	20	20	20	20	20	30	30	30	30	20	20	20	30	30	20	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	521	4	32	20	28	28	15	23	20	6	16	1	0	15	9	9	11	7	1	1	12	1	3	6	0	17	11	28	2	4	11	10	9	12	9	11	4	8	6	6	6	15	10	13	9	13	12	15	4	8	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	975	3	4	3	163	4	4	9	10	12	11	9	2	22	3	7	36	23	9	26	12	54	31	19	13	27	23	4	10	5	3	35	44	15	12	15	30	4	6	8	44	12	85	10	14	6	1	6	5	16	44	2									
14	Число погашенных неиспользованных открепительных удостоверений	707	6	8	0	12	2	15	7	10	24	14	19	20	15	11	11	9	13	19	19	8	9	17	24	30	13	19	0	18	16	19	20	21	18	21	9	16	12	14	14	24	15	20	17	11	7	8	15	26	12	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	530	20	28	34	33	16	31	32	24	11	14	20	2	34	9	6	7	1	1	1	11	1	2	9	4	11	9	19	12	1	10	12	6	11	7	1	1	2	4	16	22	1	12	3	1	8	2	2	6	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	656	1	8	9	22	13	7	11	19	12	8	6	9	9	10	8	24	11	1	4	15	9	18	7	8	22	20	8	16	4	14	27	13	12	10	14	15	13	7	14	32	24	16	26	16	15	10	17	17	18	6	1									
		2.54%	0.46%	1.39%	1.67%	3.36%	2.48%	1.07%	1.85%	3.24%	2.86%	1.39%	3.19%	2.50%	1.31%	1.92%	2.80%	3.43%	4.51%	0.69%	2.72%	2.12%	1.75%	3.59%	1.80%	2.14%	2.96%	2.79%	1.08%	3.13%	1.82%	2.38%	3.28%	1.56%	1.92%	1.52%	1.97%	4.34%	3.10%	1.69%	3.05%	4.73%	3.74%	2.24%	3.61%	3.99%	3.60%	2.67%	2.94%	2.91%	3.29%	2.59%	2.00%									
