Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																															
Дата голосования: 07.12.2003 0:00:00																																																																															
																																																																															
"Наименование Избирательной комиссии:    Челябинск, Курчатовская"																																																																															
																																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																															
																																																																															
		Сумма	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657					
1	"Число избирателей, внесенных в списки"	135349	1791	2315	2206	1587	1662	1833	2354	2374	1584	1491	2109	1800	1924	1773	1543	1603	1549	1879	1689	2002	2031	2415	2490	2308	2382	2257	2337	2277	2165	2003	2383	1886	1977	2370	2120	1975	1592	2254	1861	1063	1301	1053	1578	1835	2197	1756	1022	1944	2416	1839	1932	1830	2049	1820	1539	1870	2207	1701	1490	2122	958	824	2575	2573	1992	1999	1701	2170	1872	1668	508	1794					
2	"Число бюллетеней, полученных участковыми комиссиями"	120880	1630	2070	2000	1400	1450	1620	2050	2070	1340	1260	1880	1640	1750	1620	1350	1420	1390	1670	1500	1790	1800	2140	2150	2040	2060	2080	2080	2040	1890	1770	2040	1660	1800	2110	1890	1760	1400	1980	1640	950	1170	960	1430	1640	1970	1570	1750	1750	2100	1640	1720	1650	1830	1600	1400	1690	1990	1500	1300	1890	820	730	2290	2270	1740	1790	1500	1900	1670	1500	450	1490					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	68341	813	1047	935	684	790	885	1145	1119	740	663	791	933	1064	903	782	832	792	973	829	1074	973	1228	1291	1217	1205	1097	1164	1146	1098	1024	1277	940	1007	1242	1083	956	842	1230	964	526	704	541	760	942	1056	965	1002	944	1203	926	970	990	1000	972	850	999	1078	842	689	760	271	305	1382	1496	933	1007	936	1139	924	870	157	1424					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1938	25	60	35	14	27	29	39	74	25	9	24	26	25	13	18	33	17	22	24	22	33	17	35	34	42	24	21	32	40	16	16	17	26	20	55	50	21	38	13	7	19	11	40	35	34	11	20	30	18	21	30	22	28	21	32	9	33	30	31	49	25	4	10	19	39	35	26	17	34	19	67	1					
6	Число погашенных бюллетеней	50598	792	963	1030	702	633	706	866	877	575	588	1065	681	661	704	550	555	581	675	647	695	794	895	824	789	813	959	895	862	752	730	747	703	767	848	752	754	537	712	663	417	447	408	630	663	880	594	728	776	879	693	720	638	802	607	518	678	879	628	580	1081	524	421	898	755	768	748	538	744	712	611	226	65					
7	Число бюллетеней в переносных ящиках для голосования	1938	25	60	35	14	27	29	39	74	25	9	24	26	25	13	18	33	17	22	24	22	33	17	35	34	42	24	21	32	40	16	16	17	26	20	55	50	21	38	13	7	19	11	40	35	34	11	20	30	18	21	30	22	28	21	32	9	33	30	31	49	25	4	10	19	39	35	26	17	34	19	67	1					
8	Число бюллетеней в стационарных ящиках для голосования	68283	809	1034	935	684	790	885	1145	1119	738	663	790	933	1064	903	780	828	790	972	829	1072	974	1228	1291	1217	1205	1097	1164	1146	1092	1024	1274	940	1007	1242	1083	954	842	1229	962	526	704	540	758	942	1055	965	1002	944	1201	926	970	989	998	972	850	999	1078	842	688	759	271	305	1382	1496	933	1007	936	1139	924	870	157	1421					
9	Число недействительных бюллетеней	812	15	20	13	11	12	13	9	9	3	7	12	12	14	5	10	13	6	24	13	12	9	15	18	14	11	7	12	12	12	9	14	10	17	11	15	10	17	14	10	6	7	12	7	11	18	12	8	4	21	13	3	6	8	14	5	13	14	3	8	14	7	9	25	22	17	10	7	9	13	9	2	5					
10	Число действительных бюллетеней	69409	819	1074	957	687	805	901	1175	1184	760	665	802	947	1075	911	788	848	801	970	840	1082	998	1230	1308	1237	1236	1114	1173	1166	1120	1031	1276	947	1016	1251	1123	994	846	1253	965	527	716	539	791	966	1071	964	1014	970	1198	934	997	1005	1018	979	877	995	1097	869	711	794	289	300	1367	1493	955	1032	955	1147	945	880	222	1417					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1650	20	30	30	20	20	20	30	30	20	20	20	20	20	20	20	20	20	20	20	20	20	30	30	30	30	30	30	30	20	20	30	20	20	30	20	20	20	30	20	20	20	20	20	20	30	20	20	20	30	20	20	20	20	20	20	20	30	20	20	20	10	10	30	30	20	20	20	30	20	20	10	60					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	900	9	14	13	6	9	14	21	10	20	5	16	14	12	10	6	8	15	7	10	16	14	14	17	12	16	23	16	18	11	4	15	8	10	14	20	11	5	11	18	3	4	8	6	7	18	14	8	14	13	7	11	18	16	12	16	19	22	8	12	2	1	2	18	27	15	10	10	15	11	13	0	48					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	558	7	6	8	6	17	16	11	8	7	5	13	4	10	11	8	2	5	5	8	9	10	12	7	12	8	4	15	2	5	2	9	8	10	6	13	2	12	13	7	3	3	4	10	18	17	4	0	12	23	13	9	5	8	5	6	3	7	6	8	5	5	6	8	8	2	12	4	6	3	4	1	7					
14	Число погашенных открепительных удостоверений	750	11	16	17	14	11	6	9	20	0	15	4	6	8	10	14	12	5	13	10	4	6	16	13	18	14	7	14	12	9	16	15	12	10	16	0	9	15	19	2	17	16	12	14	13	12	6	12	6	17	13	9	2	4	8	4	1	8	12	8	18	9	8	12	3	5	10	10	15	9	7	10	12					
15	Число открепительных удостоверений выданных ТИК	108	1	0	3	0	2	1	2	1	0	1	0	1	0	1	4	1	1	3	1	1	7	2	3	0	0	1	4	1	4	1	0	1	0	0	1	3	4	4	2	0	2	1	2	2	3	2	2	2	0	1	3	3	6	2	1	2	1	2	2	1	0	0	0	3	0	1	0	1	1	0	0	0					
16	Число утраченных бюллетеней	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																															
18	"1. ""ЕДИНЕНИЕ"""	502	1	10	8	5	7	10	7	8	6	6	10	7	7	4	6	5	3	10	9	9	4	12	10	7	2	9	10	7	8	3	9	10	10	4	11	3	15	3	11	2	6	1	6	10	8	8	5	3	3	9	8	9	3	6	9	11	7	10	4	12	1	8	10	7	4	3	4	7	9	7	5	11					
		0.71%	0.11%	0.91%	0.82%	0.71%	0.85%	1.09%	0.59%	0.67%	0.78%	0.89%	1.22%	0.72%	0.64%	0.43%	0.75%	0.58%	0.37%	1.00%	1.05%	0.82%	0.39%	0.96%	0.75%	0.55%	0.16%	0.80%	0.84%	0.59%	0.70%	0.28%	0.69%	1.04%	0.96%	0.31%	0.96%	0.29%	1.73%	0.23%	1.12%	0.37%	0.82%	0.18%	0.75%	1.02%	0.73%	0.81%	0.48%	0.30%	0.24%	0.95%	0.8%	0.89%	0.29%	0.60%	1.02%	1.09%	0.63%	1.14%	0.55%	1.48%	0.33%	2.58%	0.71%	0.46%	0.41%	0.28%	0.41%	0.60%	0.93%	0.78%	2.23%	0.77%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	4537	63	58	52	43	51	40	74	98	54	51	46	58	52	67	43	70	35	86	47	87	39	76	63	93	104	53	81	88	86	74	109	75	60	74	70	59	35	113	61	32	39	35	44	74	59	80	75	83	105	55	67	84	90	63	80	65	72	59	66	25	15	9	70	61	59	75	65	86	52	78	4	23					
		6.46%	7.55%	5.30%	5.36%	6.16%	6.24%	4.37%	6.25%	8.21%	7.07%	7.58%	5.65%	6.04%	4.77%	7.31%	5.38%	8.13%	4.33%	8.65%	5.50%	7.95%	3.87%	6.10%	4.75%	7.43%	8.34%	4.72%	6.83%	7.47%	7.59%	7.11%	8.44%	7.83%	5.80%	5.86%	6.15%	5.87%	4.05%	8.91%	6.25%	6.00%	5.39%	6.35%	5.51%	7.57%	5.41%	8.19%	7.33%	8.52%	8.61%	5.80%	6.7%	8.30%	8.77%	6.34%	9.07%	6.44%	6.48%	6.76%	9.17%	3.09%	5.06%	2.91%	5.02%	4.02%	6.06%	7.19%	6.75%	7.43%	5.42%	8.77%	1.78%	1.61%					
