Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Переволоцкая																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22157	189	428	398	151	483	168	193	753	685	698	645	444	79	56	617	220	105	201	746	144	531	200	976	143	162	70	880	194	195	154	850	87	241	139	477	1085	736	766	1167	670	1134	1104	1276	1307	210									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22232	189	424	400	150	486	166	193	764	692	699	640	440	78	52	619	220	104	204	747	143	530	200	992	142	160	71	883	193	194	153	854	87	240	139	468	1089	736	778	1161	679	1151	1118	1267	1325	212									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8013	81	132	183	66	150	66	90	250	241	336	229	173	42	39	247	68	52	89	208	52	204	73	340	58	68	24	282	82	48	51	382	60	99	63	180	554	204	252	366	202	403	306	367	469	82									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	564	5	6	38	8	9	16	3	30	38	30	39	27	7	0	3	5	3	11	37	5	4	7	13	0	3	0	19	11	0	0	15	0	11	8	14	49	9	2	7	4	16	20	7	3	22									
6	Число погашенных избирательных бюллетеней	13655	103	286	179	76	327	84	100	484	413	333	372	240	29	13	369	147	49	104	502	86	322	120	639	84	89	47	582	100	146	102	457	27	130	68	274	486	523	524	788	473	732	792	893	853	108									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	564	5	6	38	8	9	16	3	30	38	30	39	27	7	0	3	5	3	11	37	5	4	7	13	0	3	0	19	11	0	0	15	0	11	8	14	49	9	2	7	4	16	20	7	3	22									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8013	81	132	183	66	150	66	90	250	241	336	229	173	42	39	247	68	52	89	208	52	204	73	340	58	68	24	282	82	48	51	382	60	99	63	180	554	204	252	366	202	403	306	367	469	82									
9	Число недействительных избирательных бюллетеней	209	1	10	1	0	1	0	4	3	12	3	10	1	0	0	2	4	0	0	5	0	12	4	6	0	1	0	14	3	0	2	10	0	2	2	10	18	8	11	10	2	13	6	9	7	2									
10	Число действительных избирательных бюллетеней	8368	85	128	220	74	158	82	89	277	267	363	258	199	49	39	248	69	55	100	240	57	196	76	347	58	70	24	287	90	48	49	387	60	108	69	184	585	205	243	363	204	406	320	365	465	102									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	167	2	2	2	1	4	1	2	5	4	4	4	4	1	1	4	3	1	2	4	1	3	2	10	1	1	1	6	2	2	2	6	1	2	2	2	9	4	6	9	4	9	9	10	10	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	103	0	0	2	0	2	0	0	5	4	2	2	4	0	0	4	1	0	2	0	0	0	0	8	0	0	0	3	0	0	2	1	1	2	0	1	2	3	6	6	3	8	9	9	10	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	87	0	5	1	0	3	2	0	1	2	1	3	2	1	5	2	1	2	0	1	1	2	0	1	1	2	1	3	1	1	1	3	1	2	1	13	1	4	2	3	1	2	2	3	2	1									
