Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																														
Дата голосования: 02.12.2007																																																														
																																																														
Наименование Избирательной комиссии:    Задонская																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574					
1	"Число избирателей, внесенных в списки избирателей"	28167	1336	2625	1404	1382	1402	843	186	304	509	377	337	455	433	821	498	215	1232	231	1064	790	432	374	383	398	693	43	408	113	678	211	422	218	414	338	479	111	331	600	173	198	129	384	239	465	133	169	211	243	452	867	473	149	238	100	454					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	27317	1300	2500	1350	1300	1300	827	182	296	500	382	320	446	410	780	470	214	1210	226	1020	770	415	362	376	380	686	48	404	105	675	205	410	212	407	344	480	110	330	580	170	198	130	370	230	454	128	160	210	240	445	860	475	150	225	100	440					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	14684	745	1177	725	695	690	496	147	188	275	183	143	247	198	309	246	108	703	79	472	362	186	142	189	205	337	27	263	82	372	113	254	169	277	180	266	66	142	323	105	111	60	241	142	281	50	61	114	110	299	522	299	88	114	48	258					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2980	33	37	37	32	31	153	14	25	77	66	89	28	29	114	114	54	72	79	112	58	74	75	45	42	91	11	36	8	93	31	44	21	28	13	80	29	92	97	34	31	38	42	37	55	47	69	66	72	45	90	48	29	37	17	59					
6	Число погашенных избирательных бюллетеней	9653	522	1286	588	573	579	178	21	83	148	133	88	171	183	357	110	52	435	68	436	350	155	145	142	133	258	10	105	15	210	61	112	22	102	151	134	15	96	160	31	56	32	87	51	118	31	30	30	58	101	248	128	33	74	35	123					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2979	33	37	37	32	31	153	14	25	77	66	89	28	29	114	114	54	72	79	112	58	73	75	45	42	91	11	36	8	93	31	44	21	28	13	80	29	92	97	34	31	38	42	37	55	47	69	66	72	45	90	48	29	37	17	59					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14684	745	1177	725	695	690	496	147	188	275	183	143	247	198	309	246	108	703	79	472	362	186	142	189	205	337	27	263	82	372	113	254	169	277	180	266	66	142	323	105	111	60	241	142	281	50	61	114	110	299	522	299	88	114	48	258					
9	Число недействительных избирательных бюллетеней	168	16	13	10	7	6	6	0	1	3	0	2	4	2	6	3	1	7	0	7	2	2	0	2	3	6	0	0	0	5	0	2	1	12	1	6	2	3	5	4	3	1	0	0	1	0	2	0	0	2	2	1	0	2	1	3					
10	Число действительных избирательных бюллетеней	17495	762	1201	752	720	715	643	161	212	349	249	230	271	225	417	357	161	768	158	577	418	257	217	232	244	422	38	299	90	460	144	296	189	293	192	340	93	231	415	135	139	97	283	179	335	97	128	180	182	342	610	346	117	149	64	314					
