Выборы Президента Российской Федерации																																																																																																																																																																																																																										
																																																																																																																																																																																																																										
Наименование Избирательной комиссии:    Кировская №3																																																																																																																																																																																																																										
																																																																																																																																																																																																																										
Итоги голосования 																																																																																																																																																																																																																										
																																																																																																																																																																																																																										
		Сумма	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946					
1	"Число избирателей, внесенных в список"	152328	1504	1303	1142	1155	1204	1532	1842	1375	1199	2090	841	1124	1372	1435	1681	1090	1282	1605	1870	1775	2171	856	1878	1597	1251	1635	1519	2068	1753	2138	1704	1736	1350	1268	1073	1454	1645	879	1919	1822	2126	1690	1868	1880	1759	1506	1705	1765	1904	1895	1940	1744	1713	2516	2052	1866	1598	2068	2252	2035	2672	1966	2620	2044	2125	2023	2301	1754	2200	2358	2045	1968	2049	2196	2354	2750	2740	2558	2843	1829	2200	2176	2337	433	126	11	11	11	11	10	10	10	10	10	10	10	10	10	10	10	11	11	11	11	11	11	10	11	12	9	11	10	10	10	11	10	10	10	10	10	10	16	15	11	11	11	11	12	11	10	10	11	11	11	12	11	12	10	11	10	10	11	11	11	11	11	11	11	12	11	11	11	12	11	11	11	11	11	11	11	11	11	11	11	12	10	11	11	11	12	7	11	19	12	12	22	21	23	8	11	14	11	64	72	16	17	7	6	5	7	6	66	13	8	22	25	24	18	25	12	12	12	11	12	12	15	12	12	12	11	14					
2	Число полученных избирательных бюллетеней	148642	1300	1300	1100	1000	1200	1500	1800	1400	1200	1800	1000	1100	1300	1400	1700	1100	1200	1500	1800	2000	2300	800	1800	1600	1300	1700	1600	2000	1800	2100	1700	1700	1300	1300	1000	1400	1600	800	1900	1800	2000	1600	1800	1800	1700	1500	1600	1700	1900	1900	1900	1700	1700	2500	2000	1800	1600	2000	2300	2000	2500	1900	2500	2000	2000	2000	2200	1700	2000	2500	2000	1900	2000	2300	2200	2500	2500	2500	2800	1800	2200	2100	2200	300	200	11	11	11	11	10	10	10	10	10	10	10	10	10	10	10	11	11	11	11	11	11	10	11	12	9	11	10	10	10	11	10	10	10	10	10	10	16	15	11	11	11	11	12	11	10	10	11	11	11	12	11	12	10	11	10	10	11	11	11	11	11	11	11	12	11	11	11	12	11	11	11	11	11	11	11	11	11	11	11	12	10	11	11	11	12	7	11	19	12	12	22	21	23	8	11	14	11	64	72	16	17	7	6	5	7	6	66	13	8	22	25	24	18	26	12	12	12	11	12	12	15	11	12	12	11	14					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	82661	824	652	538	592	666	773	866	606	612	1048	405	604	762	779	878	520	708	794	1003	854	1040	439	1083	848	660	939	840	1094	987	1178	891	947	722	714	512	853	885	431	952	944	1106	889	1014	973	940	789	953	961	1032	1077	1000	901	947	1367	1121	1036	808	1170	1290	1190	1441	993	1421	1079	1182	1116	1294	941	1279	1420	1088	1066	1177	1287	1193	1498	1592	1343	1557	1058	1221	1193	1269	226	113	11	11	11	11	10	10	10	10	10	10	10	10	10	10	10	11	11	11	11	11	11	10	11	12	9	11	10	10	10	11	10	10	10	10	10	10	16	15	11	11	11	11	12	11	10	10	11	11	11	12	11	12	10	11	10	10	11	11	11	11	11	11	11	12	11	11	11	12	11	11	11	11	11	11	11	11	11	11	11	12	10	11	11	11	12	7	11	19	12	12	22	21	23	8	10	14	11	55	69	16	16	7	6	5	7	6	46	13	8	22	25	24	18	25	12	12	12	11	12	12	15	11	12	12	11	14					
5	"Число избирательных бюллетеней, выданных вне помещения"	1815	18	19	10	6	26	22	9	14	14	25	2	9	25	13	17	18	18	20	31	18	11	16	9	7	11	32	17	39	29	29	22	23	11	17	19	20	19	9	29	27	42	16	17	31	24	18	14	30	20	30	36	35	18	29	16	23	16	19	32	25	48	28	43	30	28	32	27	24	32	29	14	11	16	28	7	33	15	29	34	20	14	20	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	64166	458	629	552	402	508	705	925	780	574	727	593	487	513	608	805	562	474	686	766	1128	1249	345	708	745	629	729	743	867	784	893	787	730	567	569	469	527	696	360	919	829	852	695	769	796	736	693	633	709	848	793	864	764	735	1104	863	741	776	811	978	785	1011	879	1036	891	790	852	879	735	689	1051	898	823	807	985	1000	969	893	1128	1209	722	965	887	899	74	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	3	0	1	0	0	0	0	0	20	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках	1815	18	19	10	6	26	22	9	14	14	25	2	9	25	13	17	18	18	20	31	18	11	16	9	7	11	32	17	39	29	29	22	23	11	17	19	20	19	9	29	27	42	16	17	31	24	18	14	30	20	30	36	35	18	29	16	23	16	19	32	25	48	28	43	30	28	32	27	24	32	29	14	11	16	28	7	33	15	29	34	20	14	20	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	82550	822	652	528	592	666	765	862	606	610	1048	405	602	762	777	877	520	708	794	1003	850	1040	439	1083	847	660	933	840	1092	985	1178	890	947	722	712	512	852	885	431	952	940	1103	885	1014	973	936	789	953	958	1032	1077	1000	901	947	1364	1119	1033	808	1170	1290	1190	1440	992	1421	1079	1182	1116	1291	941	1279	1417	1083	1064	1176	1287	1189	1497	1588	1343	1557	1058	1220	1188	1269	226	113	11	11	11	11	10	10	10	10	10	10	10	10	10	10	10	11	11	11	11	11	11	10	11	12	9	11	10	9	10	11	10	10	10	10	10	10	16	15	11	11	11	11	12	11	10	10	11	11	11	12	11	12	10	11	10	10	11	11	11	11	11	11	11	12	11	11	11	12	11	11	11	11	11	11	11	9	11	11	11	12	10	11	11	11	12	7	11	19	12	12	22	21	23	8	10	14	11	55	69	15	16	7	6	5	7	6	46	13	8	22	25	24	18	25	12	12	12	11	12	12	15	11	12	12	11	14					
9	Число недействительных избирательных бюллетеней	328	7	7	4	3	4	10	8	8	3	1	1	4	2	3	4	3	2	3	6	3	3	3	5	12	2	2	0	2	2	3	1	2	3	6	0	2	1	2	2	2	1	4	6	5	1	3	4	3	0	3	4	1	3	10	7	3	3	8	4	4	3	1	2	4	6	3	6	0	3	8	4	7	6	5	1	7	4	7	4	6	5	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6					
10	Число действительных избирательных бюллетеней	84037	833	664	534	595	688	777	863	612	621	1072	406	607	785	787	890	535	724	811	1028	865	1048	452	1087	842	669	963	857	1129	1012	1204	911	968	730	723	531	870	903	438	979	965	1144	897	1025	999	959	804	963	985	1052	1104	1032	935	962	1383	1128	1053	821	1181	1318	1211	1485	1019	1462	1105	1204	1145	1312	965	1308	1438	1093	1068	1186	1310	1195	1523	1599	1365	1587	1072	1229	1204	1300	226	113	11	11	11	11	10	10	10	10	10	10	10	9	10	10	10	11	11	11	11	11	11	10	11	12	9	11	10	9	10	11	10	10	10	10	10	10	16	14	11	11	11	11	12	11	10	10	11	11	11	12	11	12	10	11	10	10	11	11	11	11	11	11	10	12	11	11	11	12	11	11	11	11	11	11	11	9	11	11	11	12	10	11	10	11	12	7	11	19	12	12	22	21	23	8	10	13	11	55	69	15	16	7	6	5	7	6	46	13	8	22	25	24	18	25	12	12	10	11	12	12	15	11	12	12	11	8					
