Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																															
Дата голосования: 02.12.2007																															
																															
Наименование Избирательной комиссии:    Сычевская																															
																															
Сводная таблица результатов выборов																															
																															
		Сумма	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685					
1	"Число избирателей, внесенных в списки избирателей"	11710	175	65	147	324	472	169	353	276	355	559	201	174	161	334	188	154	355	187	371	106	163	2722	2539	1160					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11184	174	64	146	335	470	168	344	280	352	552	204	174	167	332	183	152	361	183	378	107	166	2293	2500	1099					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	6656	163	55	145	125	365	74	283	153	205	432	114	141	111	177	125	92	171	109	250	97	118	1246	1318	587					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1788	4	7	0	113	95	82	60	74	128	24	43	16	6	103	51	38	109	29	75	7	30	493	106	95					
6	Число погашенных избирательных бюллетеней	2740	7	2	1	97	10	12	1	53	19	96	47	17	50	52	7	22	81	45	53	3	18	554	1076	417					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1788	4	7	0	113	95	82	60	74	128	24	43	16	6	103	51	38	109	29	75	7	30	493	106	95					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6656	163	55	145	125	365	74	283	153	205	432	114	141	111	177	125	92	171	109	250	97	118	1246	1318	587					
9	Число недействительных избирательных бюллетеней	89	1	2	0	2	0	0	0	1	3	5	4	3	0	4	0	1	6	1	5	2	0	21	22	6					
10	Число действительных избирательных бюллетеней	8355	166	60	145	236	460	156	343	226	330	451	153	154	117	276	176	129	274	137	320	102	148	1718	1402	676					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	396	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	30	30	21					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	103	1	0	1	15	3	1	7	1	0	0	2	0	7	2	0	0	2	1	0	0	0	19	28	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	92	5	1	2	1	8	2	5	1	4	6	2	4	4	6	2	3	5	3	0	1	2	14	6	5					
14	Число погашенных неиспользованных открепительных удостоверений	293	14	15	14	0	12	14	8	14	15	15	13	15	8	13	15	15	13	14	15	15	15	11	2	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
18	1.Политическая партия «Аграрная партия России»	253	0	1	4	2	95	2	0	6	7	5	6	4	3	7	0	0	11	7	19	0	2	27	33	12					
