Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																		
Дата голосования: 04.12.2011																																		
																																		
Наименование Избирательной комиссии:    Шалинская																																		
																																		
Сводная таблица результатов выборов																																		
																																		
		Сумма	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323					
1	"Число избирателей, внесенных в список избирателей"	45310	1295	1356	1629	705	2039	1461	2201	1769	1719	2503	2290	2233	2162	1140	1330	1443	1631	1281	2111	1809	1539	1800	1236	1254	1140	2119	2115					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	45391	1298	1359	1632	708	2042	1464	2204	1772	1722	2506	2293	2236	2165	1143	1333	1446	1634	1284	2114	1812	1542	1803	1239	1257	1143	2122	2118					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	45036	1287	1348	1619	701	2027	1452	2188	1758	1709	2488	2276	2220	2149	1133	1322	1434	1621	1273	2098	1798	1530	1789	1229	1246	1133	2106	2102					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	54	2	1	2	1	3	2	4	1	3	3	5	3	1	2	1	2	1	0	3	2	2	2	1	0	0	5	2					
6	Число погашенных избирательных бюллетеней	301	9	10	11	6	12	10	12	13	10	15	12	13	15	8	10	10	12	11	13	12	10	12	9	11	10	11	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	54	2	1	2	1	3	2	4	1	3	3	5	3	1	2	1	2	1	0	3	2	2	2	1	0	0	5	2					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	45036	1287	1348	1619	701	2027	1452	2188	1758	1709	2488	2276	2220	2149	1133	1322	1434	1621	1273	2098	1798	1530	1789	1229	1246	1133	2106	2102					
9	Число недействительных избирательных бюллетеней	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0					
10	Число действительных избирательных бюллетеней	45087	1289	1349	1621	702	2030	1454	2192	1759	1712	2491	2281	2223	2150	1134	1323	1436	1622	1273	2101	1799	1532	1791	1229	1246	1133	2111	2104					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	279	10	10	10	2	10	10	10	10	10	10	10	10	10	10	10	10	10	2	2	3	3	2	22	2	3	36	42					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	61	0	1	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	25	25					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	218	10	9	9	2	10	10	10	10	10	5	10	10	10	10	10	10	10	2	1	3	3	2	21	0	3	11	17					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	94	4	2	5	2	4	6	4	2	5	2	4	3	4	3	5	3	3	4	3	3	5	7	2	2	3	2	2					
		0.21%	0.31%	0.15%	0.31%	0.28%	0.20%	0.41%	0.18%	0.11%	0.29%	0.08%	0.18%	0.13%	0.19%	0.26%	0.38%	0.21%	0.18%	0.31%	0.14%	0.17%	0.33%	0.39%	0.16%	0.16%	0.26%	0.09%	0.10%					
