Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																				
Дата голосования: 07.12.2003 0:00:00																																				
																																				
Наименование Избирательной комиссии:    Ярковская																																				
																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																				
																																				
		Сумма	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121					
1	"Число избирателей, внесенных в списки"	15779	122	284	103	354	150	540	354	184	339	209	351	296	304	611	346	344	487	446	201	178	496	384	1200	1082	399	629	237	2536	2613					
2	"Число бюллетеней, полученных участковыми комиссиями"	15651	120	285	128	361	153	527	329	184	326	202	345	297	292	607	344	342	489	441	201	184	495	385	1165	1071	402	632	226	2492	2626					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10346	97	204	95	235	125	433	249	177	243	161	247	198	178	379	245	198	372	281	171	148	366	293	618	562	330	414	150	1477	1700					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1537	9	27	8	7	8	28	23	7	73	35	40	33	39	29	23	76	107	122	9	30	56	54	115	187	14	95	17	175	91					
6	Число погашенных бюллетеней	3768	14	54	25	119	20	66	57	0	10	6	58	66	75	199	76	68	10	38	21	6	73	38	432	322	58	123	59	840	835					
7	Число бюллетеней в переносных ящиках для голосования	1537	9	27	8	7	8	28	23	7	73	35	40	33	39	29	23	76	107	122	9	30	56	54	115	187	14	95	17	175	91					
8	Число бюллетеней в стационарных ящиках для голосования	10330	97	204	95	235	125	433	248	177	243	161	246	198	178	379	245	198	372	281	171	148	366	293	618	562	330	414	150	1476	1687					
9	Число недействительных бюллетеней	173	6	6	8	3	6	0	4	0	3	4	1	0	8	11	1	7	3	7	3	9	0	4	18	7	5	10	0	18	21					
10	Число действительных бюллетеней	11694	100	225	95	239	127	461	267	184	313	192	285	231	209	397	267	267	476	396	177	169	422	343	715	742	339	499	167	1633	1757					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	3	5	3	8	3	8	5	4	5	4	6	5	5	10	6	6	8	6	3	3	8	6	15	25	6	10	5	59	60					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	149	1	4	0	8	0	0	0	2	0	0	3	3	1	4	4	6	0	2	0	0	3	0	1	12	5	3	0	46	41					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	73	3	2	3	1	6	0	3	3	3	3	2	1	3	6	0	2	1	1	2	5	2	2	2	0	0	0	2	7	8					
14	Число погашенных открепительных удостоверений	151	2	1	3	0	3	8	5	2	5	4	3	2	4	6	2	0	8	4	3	3	5	6	14	13	1	7	5	13	19					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
18	"1. ""ЕДИНЕНИЕ"""	252	1	2	0	9	6	3	8	2	3	2	5	5	5	16	3	11	13	8	3	0	2	16	13	26	11	13	3	28	35					
		2.12%	0.94%	0.86%	0.0%	3.71%	4.51%	0.65%	2.95%	1.08%	0.94%	1.02%	1.74%	2.16%	2.30%	3.92%	1.11%	4.01%	2.71%	1.98%	1.66%	0.0%	0.47%	4.61%	1.77%	3.47%	3.19%	2.55%	1.79%	1.69%	1.96%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	64	0	2	3	0	0	0	0	1	1	0	0	0	3	4	1	0	5	2	2	0	1	2	3	5	0	2	0	13	14					
		0.53%	0.0%	0.86%	2.91%	0.0%	0.0%	0.0%	0.0%	0.54%	0.31%	0.0%	0.0%	0.0%	1.38%	0.98%	0.37%	0.0%	1.04%	0.49%	1.11%	0.0%	0.23%	0.57%	0.40%	0.66%	0.0%	0.39%	0.0%	0.78%	0.78%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	165	1	5	1	4	0	2	5	2	4	1	1	9	8	8	5	4	5	4	2	0	8	1	17	13	1	3	0	18	33					
		1.39%	0.94%	2.16%	0.97%	1.65%	0.0%	0.43%	1.84%	1.08%	1.26%	0.51%	0.34%	3.89%	3.68%	1.96%	1.86%	1.45%	1.04%	0.99%	1.11%	0.0%	1.89%	0.28%	2.31%	1.73%	0.29%	0.58%	0.0%	1.09%	1.85%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	105	1	1	0	4	0	2	2	0	0	2	2	3	1	0	3	0	1	4	1	0	3	0	9	1	2	3	3	28	29					
		0.88%	0.94%	0.43%	0.0%	1.65%	0.0%	0.43%	0.73%	0.0%	0.0%	1.02%	0.69%	1.29%	0.46%	0.0%	1.11%	0.0%	0.20%	0.99%	0.55%	0.0%	0.71%	0.0%	1.22%	0.13%	0.58%	0.58%	1.79%	1.69%	1.63%					
22	"5. ""За Русь Святую"""	37	0	2	0	0	1	0	0	0	0	0	0	2	0	2	1	1	0	6	0	0	2	0	2	1	0	3	0	6	8					
		0.31%	0.0%	0.86%	0.0%	0.0%	0.75%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.86%	0.0%	0.49%	0.37%	0.36%	0.0%	1.48%	0.0%	0.0%	0.47%	0.0%	0.27%	0.13%	0.0%	0.58%	0.0%	0.36%	0.44%					
23	"6. ""Объединенная Российская партия ""Русь"""	28	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	1	0	3	2	0	0	0	7	4	0	0	1	3	3					
