Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																	
Дата голосования: 02.12.2007																																	
																																	
Наименование Избирательной комиссии:    Вавожская																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226					
1	"Число избирателей, внесенных в списки избирателей"	12887	2609	1814	167	1361	154	979	104	403	293	140	363	747	153	225	302	505	447	572	362	210	198	190	229	157	116	87					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	12140	2400	1600	160	1300	150	900	100	400	260	130	360	700	200	200	300	490	440	540	370	200	190	180	240	140	100	90					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7744	1468	955	101	685	101	620	71	275	166	100	268	422	120	130	189	318	343	329	251	112	120	132	192	120	78	78					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	590	62	30	7	82	0	24	8	2	23	4	11	34	33	50	11	15	18	78	34	9	20	6	10	13	2	4					
6	Число погашенных избирательных бюллетеней	3806	870	615	52	533	49	256	21	123	71	26	81	244	47	20	100	157	79	133	85	79	50	42	38	7	20	8					
7	Число избирательных бюллетеней в переносных ящиках для голосования	590	62	30	7	82	0	24	8	2	23	4	11	34	33	50	11	15	18	78	34	9	20	6	10	13	2	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7744	1468	955	101	685	101	620	71	275	166	100	268	422	120	130	189	318	343	329	251	112	120	132	192	120	78	78					
9	Число недействительных избирательных бюллетеней	104	15	12	1	19	4	10	0	2	1	2	2	5	2	0	2	1	4	9	0	5	0	1	6	1	0	0					
10	Число действительных избирательных бюллетеней	8230	1515	973	107	748	97	634	79	275	188	102	277	451	151	180	198	332	357	398	285	116	140	137	196	132	80	82					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	190	34	10	4	10	4	10	4	10	5	4	10	10	4	4	7	6	9	10	10	4	4	3	4	4	3	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	86	19	9	0	10	0	9	0	0	0	2	2	2	1	4	7	0	9	0	5	0	0	0	3	2	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	84	28	5	2	8	3	3	2	0	2	0	2	4	1	0	2	1	1	3	4	0	1	1	6	2	1	2					
14	Число погашенных неиспользованных открепительных удостоверений	104	15	1	4	0	4	1	4	10	5	2	8	8	3	0	0	6	0	10	5	4	4	3	1	2	3	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	3	1	0	0	0	2	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0					
