Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																							
Дата голосования: 04.12.2011																																																							
																																																							
Наименование Избирательной комиссии:    Воркутинская городская																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151					
1	"Число избирателей, внесенных в список избирателей"	80124	2255	1537	1551	1569	1770	1602	1379	1556	1414	975	2531	2033	2086	1961	1558	2554	1657	1868	2886	1812	1820	1765	1521	1324	1540	1649	1688	1733	1685	1751	1673	1740	1508	1456	1601	2676	1967	1881	1612	1285	1853	1130	1719	1411	2139	814	468	161					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	63646	2000	1300	1300	1300	1500	1400	1200	1400	1200	800	2300	1900	1900	1700	725	2300	1600	896	2500	871	1600	857	1300	690	1300	1400	1400	1500	788	1500	1400	1500	1300	753	1300	2300	1700	1692	722	565	1600	542	1400	1231	1900	753	400	161					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402	0	0	0	0	0	5	0	291	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	35301	950	481	751	673	753	624	558	669	484	511	1054	849	827	883	717	1159	611	879	1396	861	943	838	761	676	627	741	789	897	762	804	948	849	727	738	755	1299	806	428	704	550	987	499	765	494	751	205	202	66					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1192	17	10	14	10	13	20	11	9	57	4	19	15	21	13	8	52	28	17	16	10	19	19	7	14	8	11	10	8	26	17	9	17	21	15	9	36	260	18	18	15	16	43	38	36	22	19	2	95					
6	Число погашенных избирательных бюллетеней	26455	1033	809	535	617	734	756	631	722	659	285	1227	1036	1052	804	0	1089	961	0	1088	0	638	0	532	0	665	648	601	595	0	679	443	634	552	0	536	965	634	844	0	0	597	0	597	696	1127	238	196	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1889	17	10	14	10	13	20	11	9	57	4	19	15	21	13	8	52	28	17	16	10	19	19	7	14	8	11	10	8	25	17	9	17	21	15	9	36	260	420	18	15	16	43	38	41	22	310	2	95					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	35271	950	480	751	673	753	624	558	669	484	510	1054	849	827	883	715	1159	610	876	1396	857	941	838	761	675	626	741	789	897	758	804	948	848	727	738	755	1298	806	428	703	550	987	497	764	494	749	203	202	66					
9	Число недействительных избирательных бюллетеней	980	22	17	13	19	11	15	13	20	11	12	18	13	19	21	36	21	8	36	48	43	31	33	12	31	22	17	21	17	35	9	19	15	11	11	18	32	29	28	55	19	22	20	16	8	21	6	3	3					
10	Число действительных избирательных бюллетеней	36180	945	473	752	664	755	629	556	658	530	502	1055	851	829	875	687	1190	630	857	1364	824	929	824	756	658	612	735	778	888	748	812	938	850	737	742	746	1302	1037	820	666	546	981	520	786	527	750	507	201	158					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	860	20	25	15	15	18	19	15	20	15	10	15	20	15	15	15	15	15	25	30	16	25	20	18	20	20	15	24	15	15	30	18	29	15	18	25	25	15	15	23	15	20	7	20	15	15	20	10	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	776	17	18	15	15	18	17	15	20	10	5	15	17	14	8	12	15	15	24	30	15	24	18	17	17	16	12	23	12	15	30	18	29	15	17	23	25	15	10	20	13	20	5	20	14	9	20	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	749	28	4	13	8	12	7	11	4	40	4	9	9	11	4	12	20	4	8	4	12	7	14	9	15	13	19	10	11	13	6	17	12	17	31	14	20	125	8	8	10	14	9	32	8	17	5	2	59					
14	Число погашенных неиспользованных открепительных удостоверений	84	3	7	0	0	0	2	0	0	5	5	0	3	1	7	3	0	0	1	0	1	1	2	1	3	4	3	1	3	0	0	0	0	0	1	2	0	0	5	3	2	0	2	0	1	6	0	6	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	238	6	6	7	2	2	5	4	4	5	0	8	9	7	6	7	8	3	2	15	2	4	4	2	3	14	3	6	8	8	4	2	3	7	3	4	5	2	4	5	6	4	6	8	5	8	2	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3538	129	85	103	89	11	101	72	71	94	8	39	35	21	118	75	26	77	87	29	97	96	111	4	94	75	22	103	55	81	93	107	104	87	75	8	174	131	93	79	80	108	64	100	48	84	39	42	14					
		9.52%	13.34%	17.35%	13.46%	13.03%	1.44%	15.68%	12.65%	10.47%	17.38%	1.56%	3.63%	4.05%	2.48%	13.17%	10.37%	2.15%	12.07%	9.74%	2.05%	11.19%	10.00%	12.95%	0.52%	13.64%	11.83%	2.93%	12.89%	6.08%	10.34%	11.33%	11.18%	12.02%	11.63%	9.96%	1.05%	13.04%	12.29%	10.97%	10.96%	14.16%	10.77%	11.85%	12.47%	8.97%	10.89%	7.60%	20.59%	8.70%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	6504	191	88	183	146	54	104	110	129	97	34	129	91	87	220	157	105	155	179	211	189	175	143	19	146	128	53	164	101	135	154	175	182	149	161	33	241	265	205	115	120	207	126	166	105	203	110	38	26					
