Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Вологодская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	40436	1345	1083	530	432	182	537	521	952	1566	2393	751	1670	807	140	1431	993	679	450	485	183	1329	928	1310	989	668	419	521	1637	904	566	1360	2024	552	532	1951	907	669	794	733	173	630	2190	1520									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39160	1330	1070	520	420	180	540	510	930	1530	2370	740	1640	780	130	1400	970	660	430	470	180	1290	920	1290	960	650	400	490	1600	880	550	1250	2000	500	500	1900	900	650	770	700	160	620	1880	1500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13772	495	349	160	94	81	143	180	304	457	885	263	432	241	47	564	355	161	122	124	57	456	334	452	250	258	150	206	505	313	227	483	863	190	218	565	319	209	264	264	30	233	874	595									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2071	76	127	62	83	21	113	58	68	37	50	28	122	39	10	63	89	105	59	78	33	20	10	17	62	7	22	5	25	15	4	63	36	21	53	52	34	73	94	46	47	24	12	8									
6	Число погашенных избирательных бюллетеней	23317	759	594	298	243	78	284	272	558	1036	1435	449	1086	500	73	773	526	394	249	268	90	814	576	821	648	385	228	279	1070	552	319	704	1101	289	229	1283	547	368	412	390	83	363	994	897									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2071	76	127	62	83	21	113	58	68	37	50	28	122	39	10	63	89	105	59	78	33	20	10	17	62	7	22	5	25	15	4	63	36	21	53	52	34	73	94	46	47	24	12	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13769	495	349	160	94	81	143	180	304	457	885	263	432	241	47	564	355	161	122	124	57	456	334	452	250	258	150	206	505	313	227	482	863	190	218	565	318	209	264	263	30	233	874	595									
9	Число недействительных избирательных бюллетеней	390	20	9	3	3	4	1	3	11	10	28	7	6	11	3	2	14	3	11	0	0	20	16	9	11	11	3	5	17	14	7	13	14	1	9	12	11	5	10	6	1	3	26	17									
10	Число действительных избирательных бюллетеней	15450	551	467	219	174	98	255	235	361	484	907	284	548	269	54	625	430	263	170	202	90	456	328	460	301	254	169	206	513	314	224	532	885	210	262	605	341	277	348	303	76	254	860	586									
