Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Селивановская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №1057	УИК №1058	УИК №1059									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15781	499	987	925	400	479	343	457	404	576	259	294	141	374	890	131	161	288	338	1062	1042	1008	2007	577	577	489	588	258	150	77									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12785	410	800	755	320	385	275	365	335	470	215	240	115	305	730	110	135	240	280	850	840	830	1575	470	475	390	470	210	125	65									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5921	233	275	285	137	211	134	247	189	155	103	106	57	130	254	28	43	109	164	462	427	431	891	235	168	142	200	58	28	19									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1768	100	121	143	44	79	46	48	36	28	53	48	22	31	109	49	68	47	49	39	58	60	106	113	63	51	38	37	57	25									
6	Число погашенных избирательных бюллетеней	5096	77	404	327	139	95	95	70	110	287	59	86	36	144	367	33	24	84	67	349	355	339	578	122	244	197	232	115	40	21									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1768	100	121	143	44	79	46	48	36	28	53	48	22	31	109	49	68	47	49	39	58	60	106	113	63	51	38	37	57	25									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5921	233	275	285	137	211	134	247	189	155	103	106	57	130	254	28	43	109	164	462	427	431	891	235	168	142	200	58	28	19									
9	Число недействительных избирательных бюллетеней	142	2	1	2	4	9	0	5	8	4	1	0	0	2	5	0	2	2	8	10	12	12	24	14	3	4	4	4	0	0									
10	Число действительных избирательных бюллетеней	7547	331	395	426	177	281	180	290	217	179	155	154	79	159	358	77	109	154	205	491	473	479	973	334	228	189	234	91	85	44									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	216	4	10	8	9	5	4	5	12	8	7	4	0	4	7	3	8	2	8	16	17	14	21	10	9	9	5	5	2	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	210	4	10	8	9	5	4	5	12	8	7	4	0	4	7	3	8	2	8	16	17	14	21	10	9	6	2	5	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	111	1	4	9	2	5	3	3	4	0	1	0	1	0	0	1	2	1	3	14	16	2	10	8	3	8	6	4	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0									
