Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Ермишинская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6961	581	138	136	170	879	885	1160	680	381	79	185	376	215	372	132	177	219	196									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6000	500	120	120	150	750	800	1000	600	300	70	150	320	190	310	110	150	190	170									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3189	265	73	67	89	377	417	490	339	156	40	67	183	97	150	74	89	110	106									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	626	82	18	17	29	37	49	28	14	37	16	57	54	17	69	17	14	37	34									
6	Число погашенных избирательных бюллетеней	2185	153	29	36	32	336	334	482	247	107	14	26	83	76	91	19	47	43	30									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	626	82	18	17	29	37	49	28	14	37	16	57	54	17	69	17	14	37	34									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3189	265	73	67	89	377	417	490	339	156	40	67	183	97	150	74	89	110	106									
9	Число недействительных избирательных бюллетеней	44	6	0	0	1	7	5	5	4	2	1	2	4	2	0	3	0	0	2									
10	Число действительных избирательных бюллетеней	3771	341	91	84	117	407	461	513	349	191	55	122	233	112	219	88	103	147	138									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	158	16	6	3	6	10	13	23	15	6	4	3	8	8	12	2	8	8	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	154	16	6	2	6	10	13	23	15	6	4	0	8	8	12	2	8	8	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	38	3	3	0	1	5	1	2	2	5	1	2	0	3	0	4	3	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	4	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	38	5	0	1	0	2	9	8	8	2	0	0	1	0	1	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	64	1	1	1	1	8	8	13	12	4	0	0	5	3	6	1	0	0	0									
