Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																		
Дата голосования: 04.12.2011																																																																		
																																																																		
Наименование Избирательной комиссии:    Альметьевская городская																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822					
1	"Число избирателей, внесенных в список избирателей"	109282	2370	2456	2067	858	1761	2090	2458	2465	1771	2303	1765	1841	2022	2048	1739	1960	1867	1393	1218	1792	1422	346	2431	866	796	2209	2337	1800	2261	1849	2190	2206	1667	2322	1652	1962	1619	1739	1700	1766	2366	2288	2317	1997	2075	2193	2095	2110	1883	2483	2757	1373	1420	1721	210	2763	1686	1608	553					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	111130	2400	2540	2070	880	1780	2100	2500	2500	1820	2370	1810	1920	2080	2110	1780	1990	1900	1400	1240	1890	1460	350	2480	890	810	2260	2430	1840	2330	1890	2230	2260	1690	2410	1670	2050	1660	1770	1720	1820	2440	2330	2350	2020	2140	2240	2120	2160	1920	2560	2860	1370	1400	1730	250	2400	1540	1630	570					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	90702	1882	1896	1590	759	1575	1637	2244	1941	1477	1972	1459	1499	1730	1765	1345	1697	1536	1162	928	1566	1160	147	2002	721	734	1934	1841	1509	1804	1515	1726	1876	1274	1822	1340	1556	1311	1505	1322	1450	1967	1794	1959	1800	1938	1839	1760	1950	1608	2061	2324	1191	1304	1509	151	2236	1373	1304	425					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3593	127	256	158	43	92	104	66	95	28	28	36	16	39	48	65	77	74	50	91	17	45	199	81	24	15	26	94	40	73	57	70	117	60	166	64	73	64	51	52	53	45	38	37	37	35	25	21	8	14	18	20	47	8	26	59	14	55	95	57					
6	Число погашенных избирательных бюллетеней	16835	391	388	322	78	113	359	190	464	315	370	315	405	311	297	370	216	290	188	221	307	255	4	397	145	61	300	495	291	453	318	434	267	356	422	266	421	285	214	346	317	428	498	354	183	167	376	339	202	298	481	516	132	88	195	40	150	112	231	88					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3593	127	256	158	43	92	104	66	95	28	28	36	16	39	48	65	77	74	50	91	17	45	199	81	24	15	26	94	40	73	57	70	117	60	166	64	73	64	51	52	53	45	38	37	37	35	25	21	8	14	18	20	47	8	26	59	14	55	95	57					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	90702	1882	1896	1590	759	1575	1637	2244	1941	1477	1972	1459	1499	1730	1765	1345	1697	1536	1162	928	1566	1160	147	2002	721	734	1934	1841	1509	1804	1515	1726	1876	1274	1822	1340	1556	1311	1505	1322	1450	1967	1794	1959	1800	1938	1839	1760	1950	1608	2061	2324	1191	1304	1509	151	2236	1373	1304	425					
9	Число недействительных избирательных бюллетеней	815	4	31	11	6	16	16	0	9	3	5	16	10	18	6	11	0	4	7	3	2	1	10	56	8	9	6	21	12	19	21	0	7	3	0	29	55	18	18	5	25	28	44	2	4	12	17	0	32	14	26	5	12	29	12	0	35	25	17	0					
10	Число действительных избирательных бюллетеней	93480	2005	2121	1737	796	1651	1725	2310	2027	1502	1995	1479	1505	1751	1807	1399	1774	1606	1205	1016	1581	1204	336	2027	737	740	1954	1914	1537	1858	1551	1796	1986	1331	1988	1375	1574	1357	1538	1369	1478	1984	1788	1994	1833	1961	1847	1781	1926	1608	2053	2339	1226	1283	1523	210	2215	1403	1382	482					
