Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																															
Дата голосования: 07.12.2003 0:00:00																															
																															
Наименование Избирательной комиссии:    Ильинская																															
																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																															
																															
		Сумма	УИК  1201	УИК  1202	УИК  1203	УИК  1204	УИК  1205	УИК  1206	УИК  1207	УИК  1208	УИК  1209	УИК  1210	УИК  1211	УИК  1212	УИК  1213	УИК  1215	УИК  1216	УИК  1217	УИК  1218	УИК  1219	УИК  1220	УИК  1222	УИК  1223	УИК  1224	УИК  1225	УИК  1226					
1	"Число избирателей, внесенных в списки"	15826	1757	959	1890	381	357	383	549	337	244	193	489	310	516	542	1209	323	271	344	554	172	169	1788	1609	480					
2	"Число бюллетеней, полученных участковыми комиссиями"	16600	1800	1000	2000	430	400	400	600	320	250	200	500	320	550	600	1200	400	300	330	600	200	200	1800	1700	500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	101	0	0	0	0	0	61	0	15	0	0	0	13	0	12	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8433	1002	617	958	221	229	196	283	166	172	127	262	185	250	242	592	197	187	148	266	95	75	840	867	256					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1948	73	35	104	91	49	64	152	52	13	19	108	40	144	115	256	32	18	64	106	27	65	170	136	15					
6	Число погашенных бюллетеней	6117	725	348	938	118	122	79	165	87	65	54	130	82	156	231	352	171	95	117	228	78	60	790	697	229					
7	Число бюллетеней в переносных ящиках для голосования	2049	73	35	104	91	49	125	152	67	13	19	108	53	144	127	256	32	18	64	106	27	65	170	136	15					
8	Число бюллетеней в стационарных ящиках для голосования	8434	1002	617	958	221	229	196	283	166	172	127	262	186	250	242	592	197	187	148	266	95	75	840	867	256					
9	Число недействительных бюллетеней	218	9	4	17	7	4	10	0	10	5	6	7	3	11	14	38	3	6	6	10	11	4	22	9	2					
10	Число действительных бюллетеней	10265	1066	648	1045	305	274	311	435	223	180	140	363	236	383	355	810	226	199	206	362	111	136	988	994	269					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	149	8	9	7	3	5	5	5	5	5	5	8	10	8	8	11	5	5	7	8	0	0	5	12	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	138	8	8	7	3	4	0	5	5	4	4	8	10	8	8	11	5	4	6	8	0	0	5	12	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	85	1	5	14	2	2	0	3	4	7	0	6	5	2	3	10	1	1	1	4	1	0	7	3	3					
14	Число погашенных открепительных удостоверений	11	0	1	0	0	1	5	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	21	1	2	1	0	0	0	0	1	0	0	0	0	0	2	2	2	0	0	1	0	0	5	3	1					
16	Число утраченных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
18	"1. ""ЕДИНЕНИЕ"""	181	10	8	10	7	7	5	12	2	3	1	8	6	4	7	20	1	4	10	6	4	3	14	24	5					
		1.72%	0.93%	1.22%	0.94%	2.24%	2.51%	1.55%	2.75%	0.85%	1.62%	0.68%	2.16%	2.51%	1.01%	1.89%	2.35%	0.43%	1.95%	4.71%	1.61%	3.27%	2.14%	1.38%	2.39%	1.84%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	487	67	38	85	9	13	4	34	5	10	5	17	2	21	18	40	4	6	5	8	5	9	28	39	15					
		4.64%	6.23%	5.82%	8.00%	2.88%	4.67%	1.24%	7.81%	2.14%	5.40%	3.42%	4.59%	0.83%	5.32%	4.87%	4.71%	1.74%	2.92%	2.35%	2.15%	4.09%	6.42%	2.77%	3.88%	5.53%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	461	36	23	45	23	11	18	12	27	8	10	14	4	19	17	36	18	9	7	18	7	11	30	44	14					
		4.39%	3.34%	3.52%	4.23%	7.37%	3.95%	5.60%	2.75%	11.58%	4.32%	6.84%	3.78%	1.67%	4.82%	4.60%	4.24%	7.86%	4.39%	3.30%	4.83%	5.73%	7.85%	2.97%	4.38%	5.16%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	201	34	15	21	6	9	2	11	7	4	5	5	3	4	3	15	4	3	1	6	3	2	22	14	2					
		1.91%	3.16%	2.30%	1.97%	1.92%	3.23%	0.62%	2.52%	3.00%	2.16%	3.42%	1.35%	1.25%	1.01%	0.81%	1.76%	1.74%	1.46%	0.47%	1.61%	2.45%	1.42%	2.17%	1.39%	0.73%					
22	"5. ""За Русь Святую"""	80	2	5	10	5	3	1	4	1	2	2	6	7	1	3	8	1	3	1	2	0	4	5	3	1					
		0.76%	0.18%	0.76%	0.94%	1.60%	1.07%	0.31%	0.91%	0.42%	1.08%	1.36%	1.62%	2.92%	0.25%	0.81%	0.94%	0.43%	1.46%	0.47%	0.53%	0.0%	2.85%	0.49%	0.29%	0.36%					
23	"6. ""Объединенная Российская партия ""Русь"""	32	1	1	2	1	2	2	0	0	1	0	3	0	1	0	3	1	2	1	3	2	1	4	1	0					
		0.30%	0.09%	0.15%	0.18%	0.32%	0.71%	0.62%	0.0%	0.0%	0.54%	0.0%	0.81%	0.0%	0.25%	0.0%	0.35%	0.43%	0.97%	0.47%	0.80%	1.63%	0.71%	0.39%	0.09%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	534	47	28	46	22	13	25	15	12	21	17	14	23	33	34	46	3	25	10	21	3	5	24	25	22					
		5.09%	4.37%	4.29%	4.33%	7.05%	4.67%	7.78%	3.44%	5.15%	11.35%	11.64%	3.78%	9.62%	8.37%	9.21%	5.42%	1.31%	12.19%	4.71%	5.64%	2.45%	3.57%	2.37%	2.49%	8.11%					
25	"8. ""Народно-республиканская партия России"""	25	2	0	1	0	0	0	3	0	0	0	3	2	0	0	2	1	0	0	1	1	0	7	2	0					
		0.23%	0.18%	0.0%	0.09%	0.0%	0.0%	0.0%	0.68%	0.0%	0.0%	0.0%	0.81%	0.83%	0.0%	0.0%	0.23%	0.43%	0.0%	0.0%	0.26%	0.81%	0.0%	0.69%	0.19%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	25	7	3	3	0	3	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	4	0	0					
		0.23%	0.65%	0.46%	0.28%	0.0%	1.07%	0.0%	0.22%	0.42%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.71%	0.39%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	807	73	38	55	17	21	21	92	11	8	23	25	34	66	26	78	18	25	14	25	20	16	47	39	15					
		7.69%	6.79%	5.82%	5.17%	5.44%	7.55%	6.54%	21.14%	4.72%	4.32%	15.75%	6.75%	14.22%	16.75%	7.04%	9.19%	7.86%	12.19%	6.60%	6.72%	16.39%	11.42%	4.65%	3.88%	5.53%					
28	"11. ""Истинные патриоты России"""	20	1	2	0	1	0	2	2	0	0	0	0	0	0	0	7	1	0	0	0	1	0	1	2	0					
		0.19%	0.09%	0.30%	0.0%	0.32%	0.0%	0.62%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.82%	0.43%	0.0%	0.0%	0.0%	0.81%	0.0%	0.09%	0.19%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	542	46	38	57	25	18	25	21	9	5	14	14	10	21	34	28	12	12	18	22	4	5	42	48	14					
		5.17%	4.27%	5.82%	5.36%	8.01%	6.47%	7.78%	4.82%	3.86%	2.70%	9.58%	3.78%	4.18%	5.32%	9.21%	3.30%	5.24%	5.85%	8.49%	5.91%	3.27%	3.57%	4.15%	4.78%	5.16%					
30	"13. ""Демократическая партия России"""	28	2	1	2	2	1	1	0	1	0	1	1	1	1	1	5	0	0	0	0	1	1	6	0	0					
		0.26%	0.18%	0.15%	0.18%	0.64%	0.35%	0.31%	0.0%	0.42%	0.0%	0.68%	0.27%	0.41%	0.25%	0.27%	0.58%	0.0%	0.0%	0.0%	0.0%	0.81%	0.71%	0.59%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	29	7	0	4	2	1	0	2	0	0	0	1	0	0	1	3	1	0	0	4	0	1	2	0	0					
		0.27%	0.65%	0.0%	0.37%	0.64%	0.35%	0.0%	0.45%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.27%	0.35%	0.43%	0.0%	0.0%	1.07%	0.0%	0.71%	0.19%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	17	1	1	2	0	4	0	0	0	0	0	1	0	1	0	0	2	0	1	1	0	1	1	0	1					
		0.16%	0.09%	0.15%	0.18%	0.0%	1.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.25%	0.0%	0.0%	0.87%	0.0%	0.47%	0.26%	0.0%	0.71%	0.09%	0.0%	0.36%					
33	"16. ""Родина"" (народно-патриотический союз)"""	440	40	29	55	5	15	13	16	12	2	7	15	19	25	12	22	4	7	7	8	5	8	46	42	26					
		4.19%	3.72%	4.44%	5.17%	1.60%	5.39%	4.04%	3.67%	5.15%	1.08%	4.79%	4.05%	7.94%	6.34%	3.25%	2.59%	1.74%	3.41%	3.30%	2.15%	4.09%	5.71%	4.55%	4.18%	9.59%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	29	4	0	2	0	3	1	0	0	2	0	0	2	0	5	0	1	0	1	1	2	1	2	0	2					
		0.27%	0.37%	0.0%	0.18%	0.0%	1.07%	0.31%	0.0%	0.0%	1.08%	0.0%	0.0%	0.83%	0.0%	1.35%	0.0%	0.43%	0.0%	0.47%	0.26%	1.63%	0.71%	0.19%	0.0%	0.73%					
35	"18. ""ЛДПР"""	1391	155	82	112	59	44	38	32	26	29	14	64	29	62	30	157	35	33	35	52	9	15	110	124	45					
		13.26%	14.41%	12.57%	10.54%	18.91%	15.82%	11.83%	7.35%	11.15%	15.67%	9.58%	17.29%	12.13%	15.73%	8.13%	18.51%	15.28%	16.09%	16.50%	13.97%	7.37%	10.71%	10.89%	12.36%	16.60%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	185	13	5	23	6	7	16	7	8	2	1	9	1	3	8	12	1	2	5	14	6	1	20	14	1					
		1.76%	1.20%	0.76%	2.16%	1.92%	2.51%	4.98%	1.60%	3.43%	1.08%	0.68%	2.43%	0.41%	0.76%	2.16%	1.41%	0.43%	0.97%	2.35%	3.76%	4.91%	0.71%	1.98%	1.39%	0.36%					
37	"20. ""Политическая партия ""Единая Россия"""	3288	359	201	339	86	74	95	117	70	56	23	113	74	62	117	236	79	51	68	132	20	43	389	416	68					
		31.36%	33.39%	30.82%	31.92%	27.56%	26.61%	29.59%	26.89%	30.04%	30.27%	15.75%	30.54%	30.96%	15.73%	31.70%	27.83%	34.49%	24.87%	32.07%	35.48%	16.39%	30.71%	38.51%	41.47%	25.09%					
38	"21. ""Российская Конституционно-демократическая партия"""	18	0	1	1	0	1	0	1	3	1	0	1	0	0	0	1	2	0	1	1	0	0	2	1	1					
		0.17%	0.0%	0.15%	0.09%	0.0%	0.35%	0.0%	0.22%	1.28%	0.54%	0.0%	0.27%	0.0%	0.0%	0.0%	0.11%	0.87%	0.0%	0.47%	0.26%	0.0%	0.0%	0.19%	0.09%	0.36%					
39	"22. ""Развитие предпринимательства"""	18	1	2	1	0	3	1	0	0	0	0	2	1	1	0	3	0	0	0	0	0	0	1	2	0					
		0.17%	0.09%	0.30%	0.09%	0.0%	1.07%	0.31%	0.0%	0.0%	0.0%	0.0%	0.54%	0.41%	0.25%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.19%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	873	100	86	104	13	9	29	33	15	10	9	26	7	30	14	37	18	6	17	27	9	6	134	112	22					
		8.32%	9.30%	13.19%	9.79%	4.16%	3.23%	9.03%	7.58%	6.43%	5.40%	6.16%	7.02%	2.92%	7.61%	3.79%	4.36%	7.86%	2.92%	8.01%	7.25%	7.37%	4.28%	13.26%	11.16%	8.11%					
																															
41	Против всех	554	58	41	65	16	12	12	20	13	16	8	21	11	27	25	50	19	11	4	10	9	2	47	42	15					
		5.28%	5.39%	6.28%	6.12%	5.12%	4.31%	3.73%	4.59%	5.57%	8.64%	5.47%	5.67%	4.60%	6.85%	6.77%	5.89%	8.29%	5.36%	1.88%	2.68%	7.37%	1.42%	4.65%	4.18%	5.53%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
