Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																					
Дата голосования: 18.09.2016																																																																					
																																																																					
"Наименование Избирательной комиссии:    Нижний Новгород, Московская"																																																																					
																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																					
																																																																					
		Сумма	УИК №2469	УИК №2470	УИК №2471	УИК №2472	УИК №2473	УИК №2474	УИК №2475	УИК №2476	УИК №2477	УИК №2478	УИК №2479	УИК №2480	УИК №2481	УИК №2482	УИК №2483	УИК №2484	УИК №2485	УИК №2486	УИК №2487	УИК №2488	УИК №2489	УИК №2490	УИК №2491	УИК №2492	УИК №2493	УИК №2494	УИК №2495	УИК №2496	УИК №2497	УИК №2498	УИК №2499	УИК №2500	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	108431	1399	2409	1986	1698	1858	2456	2150	1708	1806	2588	934	1603	2041	1797	1534	1954	1688	1769	823	2137	1967	1668	1610	1840	1832	1522	2040	2222	2331	2232	557	1416	2457	1476	1218	2079	2405	2312	2460	1401	2029	492	2049	1828	1658	1629	1518	1679	1844	1621	1907	2333	2177	2165	3101	2051	2139	2828									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	88325	1300	1900	1800	1500	1500	2200	1700	1600	1600	2100	900	1500	1500	1400	461	1500	641	1600	700	1700	1800	1500	1500	1700	1700	1400	1500	1800	2100	2000	500	1300	1900	617	430	1600	1800	1700	2200	326	1800	350	1900	1600	1500	1500	1400	1500	1700	1500	1700	1700	1600	1700	2300	1800	1900	2400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25720	298	572	524	468	386	639	513	478	530	646	220	391	397	347	397	415	367	373	288	413	466	371	424	524	455	400	429	406	510	510	148	347	491	340	343	422	496	444	578	321	397	99	510	505	525	440	332	456	457	391	371	482	501	542	739	551	595	740									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	9147	25	342	34	7	254	334	308	16	16	319	150	7	398	240	64	260	274	9	32	284	15	36	35	36	6	5	399	394	419	439	3	13	409	277	87	287	431	572	7	5	0	129	11	30	4	8	5	24	7	8	4	437	397	312	510	10	2	1									
6	Число погашенных избирательных бюллетеней	53458	977	986	1242	1025	860	1227	879	1106	1054	1135	530	1102	705	813	0	825	0	1218	380	1003	1319	1093	1041	1140	1239	995	672	1000	1171	1051	349	940	1000	0	0	891	873	684	1615	0	1403	122	1379	1065	971	1052	1063	1020	1236	1101	1325	781	702	846	1051	1239	1303	1659									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	9146	25	342	34	7	254	334	308	16	16	319	150	7	398	240	64	260	273	9	32	284	15	36	35	36	6	5	399	394	419	439	3	13	409	277	87	287	431	572	7	5	0	129	11	30	4	8	5	24	7	8	4	437	397	312	510	10	2	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	25643	298	569	524	468	385	626	512	478	529	643	220	391	397	347	396	415	366	373	288	413	466	371	424	523	455	400	429	406	510	510	148	347	491	335	330	422	496	444	575	320	397	99	510	502	525	440	331	456	457	391	371	482	501	539	731	536	595	740									
9	Число недействительных избирательных бюллетеней	609	8	11	5	12	12	14	16	16	22	10	7	6	11	14	2	0	1	1	7	8	16	8	3	4	17	16	6	26	16	18	2	9	21	8	11	14	4	8	13	6	7	5	18	13	4	2	16	11	18	11	8	10	15	11	14	12	10	15									
10	Число действительных избирательных бюллетеней	34180	315	900	553	463	627	946	804	478	523	952	363	392	784	573	458	675	638	381	313	689	465	399	456	555	444	389	822	774	913	931	149	351	879	604	406	695	923	1008	569	319	390	223	503	519	525	446	320	469	446	388	367	909	883	840	1227	534	587	726									
