Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Рамешковская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11400	903	611	718	624	904	532	925	779	568	946	369	914	889	751	967									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10900	900	600	700	600	850	500	850	750	500	950	350	850	850	750	900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4182	204	239	278	159	210	178	305	237	165	248	151	424	603	323	458									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1464	85	88	71	145	109	73	282	59	73	257	48	23	25	97	29									
6	Число погашенных избирательных бюллетеней	5254	611	273	351	296	531	249	263	454	262	445	151	403	222	330	413									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1462	85	88	71	145	107	73	282	59	73	257	48	23	25	97	29									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4181	204	239	278	159	210	178	305	237	165	248	151	424	603	323	457									
9	Число недействительных избирательных бюллетеней	76	5	4	7	1	4	9	4	10	3	2	4	5	3	7	8									
10	Число действительных избирательных бюллетеней	5567	284	323	342	303	313	242	583	286	235	503	195	442	625	413	478									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	225	18	12	14	13	18	11	18	15	12	19	8	17	17	15	18									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	69	3	5	8	2	8	3	0	15	3	3	6	2	0	7	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	231	4	11	10	3	6	24	25	19	25	7	7	38	2	8	42									
14	Число погашенных неиспользованных открепительных удостоверений	156	15	7	6	11	10	8	18	0	9	16	2	15	17	8	14									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	1	0	3	1	2	2	2	1	2	4	2	6	3	2	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	78	3	4	5	4	4	1	6	2	3	18	2	7	7	7	5									
		1.38%	1.04%	1.22%	1.43%	1.32%	1.26%	0.40%	1.02%	0.68%	1.26%	3.56%	1.01%	1.57%	1.11%	1.67%	1.03%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	97	5	6	3	3	3	4	7	8	7	4	4	10	6	18	9									
		1.72%	1.73%	1.83%	0.86%	0.99%	0.95%	1.59%	1.19%	2.70%	2.94%	0.79%	2.01%	2.24%	0.96%	4.29%	1.85%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	99	7	4	7	2	4	4	9	4	6	15	5	8	10	6	8									
		1.75%	2.42%	1.22%	2.01%	0.66%	1.26%	1.59%	1.53%	1.35%	2.52%	2.97%	2.51%	1.79%	1.59%	1.43%	1.65%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3333	141	216	203	215	195	151	393	153	132	305	127	233	404	239	226									
		59.06%	48.79%	66.06%	58.17%	70.72%	61.51%	60.16%	66.95%	51.69%	55.46%	60.40%	63.82%	52.13%	64.33%	56.90%	46.50%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	22	0	0	2	1	1	2	4	2	0	2	0	0	3	2	3									
		0.39%	0.00%	0.00%	0.57%	0.33%	0.32%	0.80%	0.68%	0.68%	0.00%	0.40%	0.00%	0.00%	0.48%	0.48%	0.62%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	0	0	0	0	0	0	1	1	0	0	0	1	3	0	0									
		0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.34%	0.00%	0.00%	0.00%	0.22%	0.48%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	695	44	34	48	30	37	29	57	50	32	71	21	57	61	55	69									
