Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Лазовская																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	36820	354	458	1007	937	1361	1461	1894	1551	1203	1182	840	1032	454	254	604	65	1667	2513	2441	2492	471	525	249	535	121	875	562	594	51	332	70	383	179	386	462	92	623	140	573	694	45	88	258	113	100	237	164	191	378	113	1307	308	656	547	628									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37585	370	475	1015	965	1370	1480	1915	1505	1225	1195	910	1045	465	265	620	65	1685	2505	2460	2495	470	540	260	550	130	890	580	615	60	345	75	395	195	405	485	100	655	150	560	685	50	100	280	130	110	260	170	205	435	130	1330	315	665	580	650									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13174	171	217	247	275	385	638	687	455	313	405	337	325	142	105	206	38	544	1039	581	900	181	135	103	191	59	242	150	168	38	147	31	143	101	213	224	60	229	72	202	229	37	49	144	70	75	126	100	89	157	83	394	160	280	219	263									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1948	24	18	69	68	48	33	53	67	47	3	110	80	42	8	72	4	31	63	45	11	15	85	10	28	3	72	41	73	3	21	7	17	25	30	66	5	68	9	75	50	5	12	15	2	4	9	13	3	49	7	111	22	25	37	35									
6	Число погашенных избирательных бюллетеней	22463	175	240	699	622	937	809	1175	983	865	787	463	640	281	152	342	23	1110	1403	1834	1584	274	320	147	331	68	576	389	374	19	177	37	235	69	162	195	35	358	69	283	406	8	39	121	58	31	125	57	113	229	40	825	133	360	324	352									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1948	24	18	69	68	48	33	53	67	47	3	110	80	42	8	72	4	31	63	45	11	15	85	10	28	3	72	41	73	3	21	7	17	25	30	66	5	68	9	75	50	5	12	15	2	4	9	13	3	49	7	111	22	25	37	35									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13140	171	216	247	275	385	638	687	455	313	404	337	325	142	105	206	38	513	1039	581	900	181	135	103	191	59	242	150	167	38	147	31	143	101	213	224	60	229	72	202	229	37	49	144	70	75	126	100	89	157	83	394	160	280	219	263									
9	Число недействительных избирательных бюллетеней	418	1	3	7	9	20	27	44	14	14	11	6	16	2	3	8	0	16	30	11	35	4	2	2	5	0	14	7	1	0	0	0	4	1	1	11	3	16	2	2	7	0	0	3	1	1	3	2	1	8	0	6	5	5	16	8									
10	Число действительных избирательных бюллетеней	14670	194	231	309	334	413	644	696	508	346	396	441	389	182	110	270	42	528	1072	615	876	192	218	111	214	62	300	184	239	41	168	38	156	125	242	279	62	281	79	275	272	42	61	156	71	78	132	111	91	198	90	499	177	300	240	290									
