Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Тюхтетская																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002					
1	"Число избирателей, внесенных в списки"	7822	1485	1459	1023	102	72	105	269	294	157	153	348	92	163	280	477	59	73	196	231	184	246	61	64	102	127					
2	"Число бюллетеней, полученных участковыми комиссиями"	7866	1490	1457	1027	102	74	106	270	295	156	154	350	92	164	285	481	60	75	194	237	187	249	63	65	104	129					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4155	698	610	422	71	61	66	214	155	99	109	187	61	84	168	244	46	71	136	133	90	189	45	49	70	77					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	422	74	45	21	7	8	13	18	7	0	8	5	12	24	22	86	8	0	22	14	12	0	0	2	9	5					
6	Число погашенных бюллетеней	3289	718	802	584	24	5	27	38	133	57	37	158	19	56	95	151	6	4	36	90	85	60	18	14	25	47					
7	Число бюллетеней в переносных ящиках для голосования	422	74	45	21	7	8	13	18	7	0	8	5	12	24	22	86	8	0	22	14	12	0	0	2	9	5					
8	Число бюллетеней в стационарных ящиках для голосования	4154	698	609	422	71	61	66	214	155	99	109	187	61	84	168	244	46	71	136	133	90	189	45	49	70	77					
9	Число недействительных бюллетеней	67	4	8	2	2	0	2	1	7	4	0	4	0	1	6	7	1	0	0	3	3	6	1	3	0	2					
10	Число действительных бюллетеней	4509	768	646	441	76	69	77	231	155	95	117	188	73	107	184	323	53	71	158	144	99	183	44	48	79	80					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	10	10	9	2	2	2	6	6	4	4	6	2	2	5	7	1	1	4	4	2	4	2	1	2	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	21	2	1	7	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	1	1	0	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	9	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	79	8	9	2	2	2	2	6	6	4	4	6	2	2	2	2	1	1	4	3	1	4	2	0	2	2					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
18	"1. ""ЕДИНЕНИЕ"""	71	11	6	5	1	3	1	5	1	1	3	7	1	4	5	3	2	0	2	2	1	0	3	0	3	1					
		1.55%	1.42%	0.91%	1.12%	1.28%	4.34%	1.26%	2.15%	0.61%	1.01%	2.56%	3.64%	1.36%	3.70%	2.63%	0.90%	3.70%	0.0%	1.26%	1.36%	0.98%	0.0%	6.66%	0.0%	3.79%	1.21%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	42	9	3	3	1	0	1	1	1	1	0	6	1	1	2	3	2	0	2	0	2	2	0	0	0	1					
		0.91%	1.16%	0.45%	0.67%	1.28%	0.0%	1.26%	0.43%	0.61%	1.01%	0.0%	3.12%	1.36%	0.92%	1.05%	0.90%	3.70%	0.0%	1.26%	0.0%	1.96%	1.05%	0.0%	0.0%	0.0%	1.21%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	103	13	4	8	2	1	5	7	3	2	1	6	1	2	8	8	3	0	8	9	5	4	1	1	1	0					
		2.25%	1.68%	0.61%	1.80%	2.56%	1.44%	6.32%	3.01%	1.85%	2.02%	0.85%	3.12%	1.36%	1.85%	4.21%	2.42%	5.55%	0.0%	5.06%	6.12%	4.90%	2.11%	2.22%	1.96%	1.26%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	41	13	6	4	0	1	0	2	1	1	0	2	0	0	4	2	0	0	1	0	3	0	0	0	0	1					
		0.89%	1.68%	0.91%	0.90%	0.0%	1.44%	0.0%	0.86%	0.61%	1.01%	0.0%	1.04%	0.0%	0.0%	2.10%	0.60%	0.0%	0.0%	0.63%	0.0%	2.94%	0.0%	0.0%	0.0%	0.0%	1.21%					
22	"5. ""За Русь Святую"""	22	1	5	0	0	0	1	2	1	1	0	2	0	0	2	0	0	0	0	1	0	3	0	0	1	2					
		0.48%	0.12%	0.76%	0.0%	0.0%	0.0%	1.26%	0.86%	0.61%	1.01%	0.0%	1.04%	0.0%	0.0%	1.05%	0.0%	0.0%	0.0%	0.0%	0.68%	0.0%	1.58%	0.0%	0.0%	1.26%	2.43%					
23	"6. ""Объединенная Российская партия ""Русь"""	8	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0					
		0.17%	0.12%	0.0%	0.45%	0.0%	0.0%	1.26%	0.0%	0.0%	0.0%	0.0%	0.0%	1.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	1.96%	1.26%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	30	7	4	1	0	0	1	4	0	0	1	1	1	1	1	0	0	2	0	0	3	2	0	0	0	1					
		0.65%	0.90%	0.61%	0.22%	0.0%	0.0%	1.26%	1.72%	0.0%	0.0%	0.85%	0.52%	1.36%	0.92%	0.52%	0.0%	0.0%	2.81%	0.0%	0.0%	2.94%	1.05%	0.0%	0.0%	0.0%	1.21%					
25	"8. ""Народно-республиканская партия России"""	9	0	0	1	0	1	0	2	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0					
		0.19%	0.0%	0.0%	0.22%	0.0%	1.44%	0.0%	0.86%	0.0%	0.0%	0.85%	0.52%	0.0%	0.0%	0.0%	0.30%	0.0%	1.40%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	11	2	1	1	0	0	0	3	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0					
		0.24%	0.25%	0.15%	0.22%	0.0%	0.0%	0.0%	1.29%	0.0%	0.0%	0.0%	0.0%	1.36%	0.92%	0.0%	0.30%	0.0%	1.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	286	34	33	13	5	0	4	13	21	9	17	33	1	6	3	33	1	1	19	15	6	10	5	1	1	2					
		6.25%	4.40%	5.04%	2.93%	6.41%	0.0%	5.06%	5.60%	12.96%	9.09%	14.52%	17.18%	1.36%	5.55%	1.57%	10.0%	1.85%	1.40%	12.02%	10.20%	5.88%	5.29%	11.11%	1.96%	1.26%	2.43%					
28	"11. ""Истинные патриоты России"""	5	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2					
		0.10%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.85%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.26%	2.43%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	34	6	9	3	0	1	1	0	1	1	1	0	1	3	0	4	0	0	0	1	0	1	0	0	1	0					
		0.74%	0.77%	1.37%	0.67%	0.0%	1.44%	1.26%	0.0%	0.61%	1.01%	0.85%	0.0%	1.36%	2.77%	0.0%	1.21%	0.0%	0.0%	0.0%	0.68%	0.0%	0.52%	0.0%	0.0%	1.26%	0.0%					
30	"13. ""Демократическая партия России"""	15	3	3	2	0	0	0	0	2	0	0	2	1	0	0	0	1	0	0	1	0	0	0	0	0	0					
		0.32%	0.38%	0.45%	0.45%	0.0%	0.0%	0.0%	0.0%	1.23%	0.0%	0.0%	1.04%	1.36%	0.0%	0.0%	0.0%	1.85%	0.0%	0.0%	0.68%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	16	3	1	1	1	0	2	0	0	1	0	0	0	0	1	0	0	0	0	2	0	1	0	1	1	1					
		0.34%	0.38%	0.15%	0.22%	1.28%	0.0%	2.53%	0.0%	0.0%	1.01%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	1.36%	0.0%	0.52%	0.0%	1.96%	1.26%	1.21%					
32	"15. ""Партия СЛОН"""	6	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0					
		0.13%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.61%	0.0%	0.85%	0.0%	0.0%	0.0%	0.52%	0.30%	1.85%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	529	148	97	52	6	2	3	15	22	16	7	26	3	11	15	21	1	1	5	16	9	34	2	3	10	4					
		11.56%	19.17%	14.83%	11.73%	7.69%	2.89%	3.79%	6.46%	13.58%	16.16%	5.98%	13.54%	4.10%	10.18%	7.89%	6.36%	1.85%	1.40%	3.16%	10.88%	8.82%	17.98%	4.44%	5.88%	12.65%	4.87%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	24	1	1	0	0	0	0	2	2	1	4	6	1	0	0	2	0	0	1	2	0	0	0	0	0	1					
		0.52%	0.12%	0.15%	0.0%	0.0%	0.0%	0.0%	0.86%	1.23%	1.01%	3.41%	3.12%	1.36%	0.0%	0.0%	0.60%	0.0%	0.0%	0.63%	1.36%	0.0%	0.0%	0.0%	0.0%	0.0%	1.21%					
35	"18. ""ЛДПР"""	653	90	88	90	9	7	6	38	29	13	18	21	17	27	28	40	6	18	14	8	12	36	11	5	13	9					
		14.27%	11.65%	13.45%	20.31%	11.53%	10.14%	7.59%	16.37%	17.90%	13.13%	15.38%	10.93%	23.28%	25.0%	14.73%	12.12%	11.11%	25.35%	8.86%	5.44%	11.76%	19.04%	24.44%	9.80%	16.45%	10.97%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	90	20	14	11	0	0	0	1	1	0	2	4	2	1	10	6	0	0	5	4	2	2	0	0	2	3					
		1.96%	2.59%	2.14%	2.48%	0.0%	0.0%	0.0%	0.43%	0.61%	0.0%	1.70%	2.08%	2.73%	0.92%	5.26%	1.81%	0.0%	0.0%	3.16%	2.72%	1.96%	1.05%	0.0%	0.0%	2.53%	3.65%					
37	"20. ""Политическая партия ""Единая Россия"""	1682	274	257	166	36	52	41	113	50	26	24	35	37	31	73	136	8	34	51	53	34	56	18	11	28	38					
		36.75%	35.49%	39.29%	37.47%	46.15%	75.36%	51.89%	48.70%	30.86%	26.26%	20.51%	18.22%	50.68%	28.70%	38.42%	41.21%	14.81%	47.88%	32.27%	36.05%	33.33%	29.62%	40.0%	21.56%	35.44%	46.34%					
38	"21. ""Российская Конституционно-демократическая партия"""	9	0	3	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0					
		0.19%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.61%	0.0%	0.0%	0.0%	0.0%	0.92%	0.52%	0.30%	0.0%	0.0%	0.0%	0.0%	0.98%	0.52%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	11	1	3	3	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0					
		0.24%	0.12%	0.45%	0.67%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.85%	0.0%	0.0%	0.0%	0.52%	0.0%	1.85%	1.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	617	107	90	55	4	1	6	14	9	19	28	30	3	11	20	53	27	7	29	15	21	20	3	23	13	9					
		13.48%	13.86%	13.76%	12.41%	5.12%	1.44%	7.59%	6.03%	5.55%	19.19%	23.93%	15.62%	4.10%	10.18%	10.52%	16.06%	50.0%	9.85%	18.35%	10.20%	20.58%	10.58%	6.66%	45.09%	16.45%	10.97%					
																																
41	Против всех	195	23	17	20	11	0	4	9	9	3	7	6	1	7	9	8	0	5	21	15	0	9	1	2	3	5					
		4.26%	2.97%	2.59%	4.51%	14.10%	0.0%	5.06%	3.87%	5.55%	3.03%	5.98%	3.12%	1.36%	6.48%	4.73%	2.42%	0.0%	7.04%	13.29%	10.20%	0.0%	4.76%	2.22%	3.92%	3.79%	6.09%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
