Выборы Президента Российской Федерации																																																													
Дата голосования: 04.03.2012																																																													
																																																													
Наименование Избирательной комиссии:    Нижнеомская																																																													
																																																													
Сводная таблица итогов голосования																																																													
																																																													
	Число участковых избирательных комиссий	50																																																											
	Число участковых избирательных комиссий, приступивших к передаче сведений	50																																																											
																																																													
		Сумма	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191									
1	Число избирателей, включенных в список избирателей	13736	932	955	1042	483	951	113	86	193	127	683	134	493	114	81	430	62	115	107	146	58	824	57	72	80	494	121	105	30	147	473	128	180	689	138	122	79	183	196	81	528	70	36	112	94	60	655	426	70	67	114									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	13220	800	950	850	500	850	114	95	190	130	640	130	500	117	82	450	73	119	108	150	63	850	61	76	80	470	110	108	30	150	470	130	160	650	146	120	88	170	180	81	460	73	42	113	98	58	630	440	76	72	117									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	8401	567	583	580	317	530	72	67	137	56	407	74	322	80	54	262	33	70	71	63	39	511	39	40	39	254	84	75	18	99	300	54	133	394	101	85	53	128	121	51	286	57	29	76	62	38	436	283	40	59	72									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	930	102	43	42	13	58	2	0	9	21	39	17	36	15	10	43	3	13	7	16	8	29	6	4	6	29	5	4	0	8	30	21	10	32	7	13	6	14	14	4	52	8	4	13	8	8	56	25	7	2	8									
6	Число погашенных избирательных бюллетеней	3889	131	324	228	170	262	40	28	44	53	194	39	142	22	18	145	37	36	30	71	16	310	16	32	35	187	21	29	12	43	140	55	17	224	38	22	29	28	45	26	122	8	9	24	28	12	138	132	29	11	37									
