Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва															
Дата голосования: 04.12.2011															
															
Наименование Избирательной комиссии:    Шурышкарская															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202					
1	"Число избирателей, внесенных в список избирателей"	5910	240	332	1132	352	2238	787	305	524					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6105	259	344	1185	367	2300	798	322	530					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	539	35	81	20	52	40	229	37	45					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4582	177	226	945	231	1967	407	205	424					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	227	22	8	56	7	77	19	17	21					
6	Число погашенных избирательных бюллетеней	757	25	29	164	77	216	143	63	40					
7	Число избирательных бюллетеней в переносных ящиках для голосования	766	57	89	76	59	117	248	54	66					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4582	177	226	945	231	1967	407	205	424					
9	Число недействительных избирательных бюллетеней	69	4	11	5	4	26	14	2	3					
10	Число действительных избирательных бюллетеней	5279	230	304	1016	286	2058	641	257	487					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	330	25	25	60	25	80	40	25	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	166	18	11	31	5	49	16	24	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	58	8	2	3	4	29	5	2	5					
14	Число погашенных неиспользованных открепительных удостоверений	164	7	14	29	20	31	24	1	38					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	43	0	0	10	1	30	0	2	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	631	26	24	74	25	299	95	35	53					
		11.80%	11.11%	7.62%	7.25%	8.62%	14.35%	14.50%	13.51%	10.82%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	498	46	42	134	58	23	76	55	64					
		9.31%	19.66%	13.33%	13.12%	20.00%	1.10%	11.60%	21.24%	13.06%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	117	2	3	8	2	91	4	1	6					
		2.19%	0.85%	0.95%	0.78%	0.69%	4.37%	0.61%	0.39%	1.22%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	215	19	21	68	13	27	30	7	30					
		4.02%	8.12%	6.67%	6.66%	4.48%	1.30%	4.58%	2.70%	6.12%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	282	3	3	15	3	254	2	2	0					
		5.27%	1.28%	0.95%	1.47%	1.03%	12.19%	0.31%	0.77%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3521	133	211	717	185	1359	426	157	333					
		65.84%	56.84%	66.98%	70.23%	63.79%	65.21%	65.04%	60.62%	67.96%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	15	1	0	0	0	5	8	0	1					
		0.28%	0.43%	0.00%	0.00%	0.00%	0.24%	1.22%	0.00%	0.20%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
