Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва															
Дата голосования: 02.12.2007															
															
Наименование Избирательной комиссии:    Шурышкарская															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195					
1	"Число избирателей, внесенных в списки избирателей"	5661	276	310	1129	330	2112	725	308	471					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	6172	340	360	1250	380	2122	800	355	565					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	538	36	74	28	60	47	225	26	42					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4648	219	222	979	263	1837	465	265	398					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	250	20	12	73	7	82	18	10	28					
6	Число погашенных избирательных бюллетеней	736	65	52	170	50	156	92	54	97					
7	Число избирательных бюллетеней в переносных ящиках для голосования	788	56	86	101	67	129	243	36	70					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4648	219	222	979	263	1837	465	265	398					
9	Число недействительных избирательных бюллетеней	91	2	5	14	1	37	19	5	8					
10	Число действительных избирательных бюллетеней	5345	273	303	1066	329	1929	689	296	460					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	379	30	30	35	30	134	50	30	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	175	9	10	31	17	66	18	15	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	80	9	5	8	7	28	8	10	5					
14	Число погашенных неиспользованных открепительных удостоверений	204	21	20	4	13	68	32	15	31					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	0	0	0	1	15	2	0	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
															
18	1.Политическая партия «Аграрная партия России»	76	3	4	16	1	41	6	3	2					
		1.40%	1.09%	1.30%	1.48%	0.30%	2.09%	0.85%	0.99%	0.43%					
19	2.Всероссийская политическая партия «Гражданская Сила»	48	3	3	12	3	18	7	1	1					
		0.88%	1.09%	0.97%	1.11%	0.91%	0.92%	0.99%	0.33%	0.21%					
20	3.Политическая партия «Демократическая партия России»	9	0	2	1	0	3	3	0	0					
		0.17%	0.00%	0.65%	0.09%	0.00%	0.15%	0.42%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	148	14	12	34	9	52	9	15	3					
		2.72%	5.09%	3.90%	3.15%	2.73%	2.64%	1.27%	4.98%	0.64%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	14	0	0	3	0	6	5	0	0					
		0.26%	0.00%	0.00%	0.28%	0.00%	0.31%	0.71%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	7	0	0	3	0	4	0	0	0					
		0.13%	0.00%	0.00%	0.28%	0.00%	0.20%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	478	20	38	127	37	164	30	34	28					
		8.79%	7.27%	12.34%	11.76%	11.21%	8.34%	4.24%	11.30%	5.98%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	383	28	12	69	19	169	37	20	29					
		7.05%	10.18%	3.90%	6.39%	5.76%	8.60%	5.23%	6.64%	6.20%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	19	0	2	4	1	7	1	1	3					
		0.35%	0.00%	0.65%	0.37%	0.30%	0.36%	0.14%	0.33%	0.64%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	4126	205	224	785	259	1447	590	222	394					
		75.90%	74.55%	72.73%	72.69%	78.48%	73.60%	83.33%	73.75%	84.19%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	37	0	6	12	0	18	1	0	0					
		0.68%	0.00%	1.95%	1.11%	0.00%	0.92%	0.14%	0.00%	0.00%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
