Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																												
Дата голосования: 04.12.2011																																																																												
																																																																												
Наименование Избирательной комиссии:    Ковровская городская																																																																												
																																																																												
Сводная таблица результатов выборов																																																																												
																																																																												
		Сумма	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758					
1	"Число избирателей, внесенных в список избирателей"	141717	807	1400	1750	2047	1608	894	1935	2043	1934	2458	601	1727	2627	1149	2646	2082	1747	1624	1628	2137	2362	1907	2054	1935	2012	2088	2443	2407	2327	2072	2233	1912	1874	2774	1895	2384	2504	2659	231	2586	2738	2940	2834	1387	1973	2125	1966	2013	1922	2218	2228	2065	2199	2396	2492	2183	2176	1845	2928	731	419	2886	2883	2952	7	2957	2883	2973	2895					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	125610	740	1280	1640	1670	1450	820	1750	1860	1760	1770	530	1550	1850	1030	1890	1490	1580	1470	1470	1950	2160	1750	1890	1760	1450	1500	1850	1750	1650	1880	1680	1730	1720	1970	1720	2150	2230	2420	210	2260	2450	2100	2000	1260	1810	1930	1760	1840	1720	2020	2010	1870	1940	2140	1750	1550	1980	1710	2070	670	350	2900	2890	2960	2900	2970	2900	2980	2900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	82450	448	560	736	1242	999	350	849	982	911	887	277	767	1133	621	1304	970	830	702	890	1259	1268	1032	1173	1073	1190	1244	1233	1408	1332	1157	1077	1045	957	1450	1092	1268	1285	1420	121	1290	1216	1562	1362	588	957	1036	1014	1076	945	1140	1184	1152	1169	1121	1137	1214	1321	907	1468	325	288	2886	2883	2952	7	2957	2883	2973	2895					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1978	2	18	35	7	26	25	75	50	50	17	23	82	37	19	50	46	23	46	37	35	31	25	36	16	30	26	59	22	17	16	28	37	48	23	17	39	27	32	6	25	54	28	25	19	83	31	17	37	24	20	24	36	38	19	63	20	27	81	59	10	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	41182	290	702	869	421	425	445	826	828	799	866	230	701	680	390	536	474	727	722	543	656	861	693	681	671	230	230	558	320	301	707	575	648	715	497	611	843	918	968	83	945	1180	510	613	653	770	863	729	727	751	860	802	682	733	1000	550	316	632	722	543	335	62	14	7	8	2893	13	17	7	5					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1978	2	18	35	7	26	25	75	50	50	17	23	82	37	19	50	46	23	46	37	35	31	25	36	16	30	26	59	22	17	16	28	37	48	23	17	39	27	32	6	25	54	28	25	19	83	31	17	37	24	20	24	36	38	19	63	20	27	81	59	10	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	82433	448	560	736	1242	999	350	849	982	911	887	277	767	1133	621	1304	970	830	702	889	1259	1268	1032	1173	1073	1190	1244	1233	1408	1332	1157	1077	1045	957	1450	1092	1268	1284	1420	121	1290	1216	1562	1362	588	957	1036	1001	1076	945	1140	1184	1152	1169	1121	1135	1214	1321	907	1468	325	288	2886	2883	2952	7	2957	2883	2973	2895					
9	Число недействительных избирательных бюллетеней	1034	18	5	9	19	13	0	8	10	14	10	8	14	20	8	17	16	10	4	12	12	19	15	22	10	17	19	32	20	23	16	23	21	13	19	24	16	21	24	0	31	20	23	14	7	16	10	18	15	13	17	22	14	15	18	24	21	26	20	30	7	7	3	5	2	1	8	0	46	0					
10	Число действительных избирательных бюллетеней	83377	432	573	762	1230	1012	375	916	1022	947	894	292	835	1150	632	1337	1000	843	744	914	1282	1280	1042	1187	1079	1203	1251	1260	1410	1326	1157	1082	1061	992	1454	1085	1291	1290	1428	127	1284	1250	1567	1373	600	1024	1057	1000	1098	956	1143	1186	1174	1192	1122	1174	1213	1322	968	1497	328	281	2883	2878	2950	6	2949	2883	2927	2895					
