Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																		
Дата голосования: 02.12.2007																																																																																		
																																																																																		
Наименование Избирательной комиссии:    ТИК Мотовилихинского района г.Перми																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
		Сумма	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237	УИК №3238	УИК №3239	УИК №3240	УИК №3241	УИК №3242	УИК №3243	УИК №3244	УИК №3245	УИК №3246	УИК №3247	УИК №3248	УИК №3249	УИК №3250	УИК №3251	УИК №3252	УИК №3253	УИК №3254	УИК №3255	УИК №3256	УИК №3257	УИК №3258	УИК №3259	УИК №3260	УИК №3261	УИК №3262	УИК №3263	УИК №3264	УИК №3265	УИК №3266	УИК №3267	УИК №3268	УИК №3269	УИК №3270	УИК №3271	УИК №3272	УИК №3273	УИК №3274	УИК №3275					
1	"Число избирателей, внесенных в списки избирателей"	141811	2061	2095	1146	1660	1955	1416	1160	1771	1237	1358	1611	2303	1730	2006	1540	1588	2770	2011	2175	2625	2645	1696	1861	2080	2403	2139	2555	2632	2857	2825	2857	2890	2692	2449	2701	1476	2076	393	900	1548	1788	1758	1163	1176	2087	1643	2398	2505	2605	2533	1072	1407	824	2508	2496	2350	1729	1805	1228	2143	1983	1051	991	2757	2882	2494	2455	2496	2080	2314	2260	488	81	109	259					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	134574	1900	2000	1100	1500	1800	1300	1100	1700	1100	1300	1500	2100	1600	1864	1500	1500	2700	1900	2000	2500	2500	1700	1800	2000	2300	2000	2500	2500	2800	2700	2700	2800	2600	2300	2600	1400	2000	360	900	1500	1700	1600	1000	1100	2000	1500	2300	2400	2400	2400	1000	1300	800	2400	2400	2300	1700	1700	1100	2000	1900	1000	700	2600	2800	2400	2300	2400	2100	2200	2100	500	150	150	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	70888	966	1046	623	885	1044	709	587	893	672	605	841	1041	862	1024	698	713	1355	971	1105	1413	1355	966	975	1042	1197	1116	1335	1302	1536	1337	1418	1504	1395	1216	1354	740	1051	232	387	700	783	800	520	523	1134	847	1244	1063	1354	1147	471	523	285	1193	1308	1269	838	722	568	995	727	538	312	1609	1708	1273	1335	1270	1076	1256	1135	478	73	97	203					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2458	39	77	36	30	27	16	21	22	30	40	23	17	27	19	22	36	35	50	33	47	43	38	30	29	22	21	27	29	24	52	16	23	22	19	34	37	41	4	7	19	54	39	20	12	26	24	58	35	44	58	20	132	8	18	23	12	19	55	26	34	41	27	202	22	44	37	30	29	35	26	18	0	8	10	28					
6	Число погашенных избирательных бюллетеней	61228	895	877	441	585	729	575	492	785	398	655	636	1042	711	821	780	751	1310	879	862	1040	1102	696	795	929	1081	863	1138	1169	1240	1311	1266	1273	1183	1065	1212	623	908	124	506	781	863	761	460	565	840	629	998	1302	1002	1195	509	645	507	1189	1069	1019	843	923	506	971	1132	435	186	969	1048	1090	935	1101	989	918	947	22	69	43	19					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2458	39	77	36	30	27	16	21	22	30	40	23	17	27	19	22	36	35	50	33	47	43	38	30	29	22	21	27	29	24	52	16	23	22	19	34	37	41	4	7	19	54	39	20	12	26	24	58	35	44	58	20	132	8	18	23	12	19	55	26	34	41	27	202	22	44	37	30	29	35	26	18	0	8	10	28					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	70841	966	1046	623	885	1044	709	587	892	672	605	841	1041	862	1024	697	712	1354	971	1105	1411	1351	966	975	1042	1197	1113	1335	1302	1536	1334	1415	1501	1394	1214	1348	740	1051	232	387	700	783	800	520	523	1134	846	1242	1063	1354	1145	471	523	285	1193	1308	1268	838	722	568	995	727	538	312	1606	1707	1273	1335	1267	1076	1256	1132	478	73	97	203					
9	Число недействительных избирательных бюллетеней	1377	23	7	4	23	13	13	15	25	9	9	9	12	10	8	8	11	23	11	18	15	17	21	14	19	7	17	18	9	26	18	25	17	21	21	35	17	36	9	11	69	12	21	14	16	28	16	26	26	21	21	9	9	6	25	21	26	17	25	13	56	27	3	4	29	22	30	39	45	16	31	23	4	3	0	0					
10	Число действительных избирательных бюллетеней	71922	982	1116	655	892	1058	712	593	889	693	636	855	1046	879	1035	711	737	1366	1010	1120	1443	1377	983	991	1052	1212	1117	1344	1322	1534	1368	1406	1507	1395	1212	1347	760	1056	227	383	650	825	818	526	519	1132	854	1274	1072	1377	1182	482	646	287	1186	1310	1254	840	752	581	973	741	562	510	1599	1729	1280	1326	1251	1095	1251	1127	474	78	107	231					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3120	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	90	50	40	40	50	65	40	40	40	50	50	50	50	55	70	50	50	50	50	50	40	40	10	30	40	40	40	40	40	60	40	50	50	50	50	30	40	20	50	40	40	40	40	40	40	40	40	30	50	50	50	50	50	40	40	50	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1971	22	32	20	20	26	19	13	24	12	14	26	35	18	23	20	79	43	23	34	38	56	23	25	24	41	42	33	39	52	53	46	42	40	32	36	18	37	0	10	12	19	18	22	12	40	12	28	42	40	30	7	13	17	15	22	34	24	15	18	22	17	18	10	44	34	36	31	22	26	36	45	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1398	13	27	18	18	14	9	23	13	19	5	18	12	13	10	12	9	22	13	24	21	13	24	9	7	12	10	7	20	23	22	18	13	8	8	14	16	9	8	4	9	21	86	5	18	9	7	18	6	39	21	10	11	16	16	26	9	20	20	29	11	17	10	19	21	15	10	15	13	17	15	66	104	18	19	74					
14	Число погашенных неиспользованных открепительных удостоверений	1149	18	8	20	20	14	21	27	16	28	26	14	5	22	17	20	11	7	17	6	12	9	17	15	16	9	8	17	11	3	17	4	8	10	18	14	22	3	10	20	28	21	22	18	28	20	28	22	8	10	20	23	27	3	35	18	6	16	25	22	18	23	22	20	6	16	14	19	28	14	4	5	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																		
18	1.Политическая партия «Аграрная партия России»	2016	32	31	24	30	26	17	15	18	27	16	20	18	32	28	23	21	49	25	44	44	47	39	30	40	54	19	44	38	33	27	35	39	42	30	45	22	21	8	7	11	19	10	16	12	42	30	53	29	38	19	14	15	10	27	39	37	35	19	19	32	23	7	3	41	39	40	37	31	21	30	28	14	4	6	6					
		2.75%	3.18%	2.76%	3.64%	3.28%	2.43%	2.34%	2.47%	1.97%	3.85%	2.48%	2.31%	1.70%	3.60%	2.68%	3.20%	2.81%	3.53%	2.45%	3.87%	3.02%	3.37%	3.88%	2.99%	3.73%	4.43%	1.68%	3.23%	2.85%	2.12%	1.95%	2.45%	2.56%	2.97%	2.43%	3.26%	2.83%	1.92%	3.39%	1.78%	1.53%	2.27%	1.19%	2.96%	2.24%	3.62%	3.45%	4.08%	2.64%	2.72%	1.58%	2.85%	2.29%	3.41%	2.23%	2.93%	2.89%	4.08%	2.45%	3.20%	3.11%	2.99%	1.24%	0.58%	2.52%	2.23%	3.05%	2.71%	2.39%	1.89%	2.34%	2.43%	2.93%	4.94%	5.61%	2.60%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1808	33	30	10	20	33	19	16	11	13	13	20	30	16	21	11	21	30	30	30	41	27	19	16	15	19	42	32	45	63	39	50	58	44	47	38	26	19	0	20	15	21	22	16	12	28	16	37	19	33	45	9	8	4	30	23	28	13	15	21	21	19	6	8	58	38	27	28	23	20	28	44	0	1	1	4					
		2.47%	3.28%	2.67%	1.52%	2.19%	3.08%	2.62%	2.63%	1.20%	1.85%	2.02%	2.31%	2.84%	1.80%	2.01%	1.53%	2.81%	2.16%	2.94%	2.64%	2.81%	1.94%	1.89%	1.59%	1.40%	1.56%	3.70%	2.35%	3.38%	4.04%	2.81%	3.49%	3.81%	3.11%	3.81%	2.75%	3.35%	1.74%	0.00%	5.08%	2.09%	2.51%	2.62%	2.96%	2.24%	2.41%	1.84%	2.85%	1.73%	2.36%	3.74%	1.83%	1.22%	1.37%	2.48%	1.73%	2.19%	1.52%	1.93%	3.54%	2.04%	2.47%	1.06%	1.56%	3.56%	2.17%	2.06%	2.05%	1.77%	1.80%	2.18%	3.83%	0.00%	1.23%	0.93%	1.73%					
20	3.Политическая партия «Демократическая партия России»	153	1	2	2	3	1	1	1	2	2	3	1	4	2	4	1	0	3	3	0	1	3	1	2	3	5	5	0	4	5	4	3	7	1	3	1	1	2	0	2	0	1	2	1	0	5	3	2	2	5	2	0	0	1	0	3	2	1	3	1	1	1	0	3	4	2	1	3	3	4	4	3	1	0	0	0					
		0.21%	0.10%	0.18%	0.30%	0.33%	0.09%	0.14%	0.16%	0.22%	0.28%	0.47%	0.12%	0.38%	0.22%	0.38%	0.14%	0.00%	0.22%	0.29%	0.00%	0.07%	0.22%	0.10%	0.20%	0.28%	0.41%	0.44%	0.00%	0.30%	0.32%	0.29%	0.21%	0.46%	0.07%	0.24%	0.07%	0.13%	0.18%	0.00%	0.51%	0.00%	0.12%	0.24%	0.19%	0.00%	0.43%	0.34%	0.15%	0.18%	0.36%	0.17%	0.00%	0.00%	0.34%	0.00%	0.23%	0.16%	0.12%	0.39%	0.17%	0.10%	0.13%	0.00%	0.58%	0.25%	0.11%	0.08%	0.22%	0.23%	0.36%	0.31%	0.26%	0.21%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	8231	124	226	79	108	160	84	66	147	84	78	118	91	84	144	93	90	182	110	147	194	162	128	144	97	150	121	191	130	166	184	171	190	171	123	209	91	111	4	29	66	68	88	28	57	171	123	160	111	176	110	36	49	17	98	160	139	63	80	44	64	56	34	22	169	208	145	134	121	105	150	109	45	6	11	27					
		11.23%	12.34%	20.12%	11.99%	11.80%	14.94%	11.59%	10.86%	16.08%	11.97%	12.09%	13.66%	8.60%	9.45%	13.81%	12.93%	12.03%	13.10%	10.77%	12.92%	13.31%	11.62%	12.75%	14.33%	9.06%	12.31%	10.67%	14.02%	9.77%	10.64%	13.28%	11.95%	12.47%	12.08%	9.98%	15.12%	11.71%	10.16%	1.69%	7.36%	9.18%	8.12%	10.49%	5.19%	10.65%	14.74%	14.14%	12.31%	10.11%	12.59%	9.14%	7.33%	7.48%	5.80%	8.09%	12.02%	10.86%	7.35%	10.30%	7.41%	6.22%	7.29%	6.02%	4.28%	10.38%	11.88%	11.07%	9.82%	9.34%	9.45%	11.70%	9.48%	9.41%	7.41%	10.28%	11.69%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	2654	34	35	34	46	59	33	17	36	28	11	46	45	29	31	18	32	53	37	45	46	42	56	54	39	42	36	58	65	97	70	68	71	70	54	49	20	50	1	12	33	36	39	9	10	31	30	32	34	62	49	11	23	5	27	30	44	21	16	33	29	27	16	9	43	48	46	40	40	23	37	26	13	0	5	8					
		3.62%	3.38%	3.12%	5.16%	5.03%	5.51%	4.55%	2.80%	3.94%	3.99%	1.71%	5.32%	4.25%	3.26%	2.97%	2.50%	4.28%	3.82%	3.62%	3.95%	3.16%	3.01%	5.58%	5.37%	3.64%	3.45%	3.17%	4.26%	4.88%	6.22%	5.05%	4.75%	4.66%	4.94%	4.38%	3.55%	2.57%	4.58%	0.42%	3.05%	4.59%	4.30%	4.65%	1.67%	1.87%	2.67%	3.45%	2.46%	3.10%	4.43%	4.07%	2.24%	3.51%	1.71%	2.23%	2.25%	3.44%	2.45%	2.06%	5.56%	2.82%	3.52%	2.83%	1.75%	2.64%	2.74%	3.51%	2.93%	3.09%	2.07%	2.89%	2.26%	2.72%	0.00%	4.67%	3.46%					
23	6.Политическая партия «Партия социальной справедливости»	213	4	6	0	4	6	3	3	4	5	0	2	6	1	4	0	2	1	5	4	6	4	2	2	1	7	9	3	4	1	4	6	5	2	4	3	5	5	0	1	0	2	1	3	0	6	2	3	2	5	2	2	1	0	3	1	5	2	2	2	1	1	4	0	2	3	6	2	3	5	3	1	2	1	1	0					
		0.29%	0.40%	0.53%	0.00%	0.44%	0.56%	0.41%	0.49%	0.44%	0.71%	0.00%	0.23%	0.57%	0.11%	0.38%	0.00%	0.27%	0.07%	0.49%	0.35%	0.41%	0.29%	0.20%	0.20%	0.09%	0.57%	0.79%	0.22%	0.30%	0.06%	0.29%	0.42%	0.33%	0.14%	0.32%	0.22%	0.64%	0.46%	0.00%	0.25%	0.00%	0.24%	0.12%	0.56%	0.00%	0.52%	0.23%	0.23%	0.18%	0.36%	0.17%	0.41%	0.15%	0.00%	0.25%	0.08%	0.39%	0.23%	0.26%	0.34%	0.10%	0.13%	0.71%	0.00%	0.12%	0.17%	0.46%	0.15%	0.23%	0.45%	0.23%	0.09%	0.42%	1.23%	0.93%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	9049	130	109	76	93	123	96	84	92	78	76	99	138	112	127	81	83	164	102	121	165	174	99	125	108	155	161	171	175	167	177	167	182	192	161	142	83	82	18	62	103	115	127	80	79	151	104	138	154	185	163	63	62	38	171	179	182	131	116	80	146	92	75	53	227	250	169	162	149	143	158	142	68	6	16	22					
		12.35%	12.94%	9.71%	11.53%	10.16%	11.48%	13.24%	13.82%	10.07%	11.11%	11.78%	11.46%	13.04%	12.60%	12.18%	11.27%	11.10%	11.81%	9.99%	10.63%	11.32%	12.48%	9.86%	12.44%	10.08%	12.72%	14.20%	12.56%	13.15%	10.71%	12.77%	11.67%	11.94%	13.56%	13.06%	10.27%	10.68%	7.51%	7.63%	15.74%	14.33%	13.74%	15.14%	14.81%	14.77%	13.02%	11.95%	10.62%	14.03%	13.23%	13.55%	12.83%	9.47%	12.97%	14.12%	13.45%	14.22%	15.29%	14.93%	13.47%	14.19%	11.98%	13.27%	10.31%	13.94%	14.28%	12.90%	11.87%	11.50%	12.87%	12.32%	12.35%	14.23%	7.41%	14.95%	9.52%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	5768	84	108	58	81	106	66	46	96	85	43	98	89	85	97	63	73	105	95	107	146	90	71	63	75	72	90	103	116	95	87	95	115	109	88	100	100	104	3	21	38	68	57	37	44	78	69	125	78	128	105	29	61	15	75	76	106	37	48	37	87	63	32	18	118	141	103	95	136	73	123	67	42	1	6	24					
		7.87%	8.36%	9.62%	8.80%	8.85%	9.90%	9.10%	7.57%	10.50%	12.11%	6.67%	11.34%	8.41%	9.56%	9.30%	8.76%	9.76%	7.56%	9.30%	9.40%	10.01%	6.46%	7.07%	6.27%	7.00%	5.91%	7.94%	7.56%	8.72%	6.09%	6.28%	6.64%	7.55%	7.70%	7.14%	7.24%	12.87%	9.52%	1.27%	5.33%	5.29%	8.12%	6.79%	6.85%	8.22%	6.72%	7.93%	9.62%	7.10%	9.16%	8.73%	5.91%	9.31%	5.12%	6.19%	5.71%	8.28%	4.32%	6.18%	6.23%	8.45%	8.20%	5.66%	3.50%	7.25%	8.05%	7.86%	6.96%	10.49%	6.57%	9.59%	5.83%	8.79%	1.23%	5.61%	10.39%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	899	13	21	13	11	11	12	7	17	8	8	15	23	10	11	5	14	11	17	11	12	14	10	10	12	15	13	19	5	13	15	21	27	14	14	25	8	5	2	2	11	14	11	3	8	8	12	24	11	21	11	3	8	3	19	14	14	16	9	5	9	14	4	2	20	20	15	18	17	22	17	14	5	0	1	2					
