Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																					
Дата голосования: 04.12.2011																																					
																																					
Наименование Избирательной комиссии:    Целинская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №2580	УИК №2644	УИК №2645					
1	"Число избирателей, внесенных в список избирателей"	28112	667	630	714	2075	1810	1977	1358	785	390	1350	381	269	871	787	827	1007	736	1024	162	963	1097	960	733	997	324	590	1919	1874	598	237					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28203	601	639	718	2023	1797	1987	1372	797	392	1370	386	269	882	799	849	1032	650	1053	157	972	1130	998	746	1013	329	616	1909	1892	589	236					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	18090	255	288	340	1238	1057	1237	1115	696	265	1120	281	229	618	536	615	430	230	740	81	787	836	650	598	745	205	359	1075	999	255	210					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2085	84	79	66	127	48	48	80	36	36	55	24	0	28	35	32	205	134	102	4	82	128	148	60	150	24	99	64	49	56	2					
6	Число погашенных избирательных бюллетеней	8028	262	272	312	658	692	702	177	65	91	195	81	40	236	228	202	397	286	211	72	103	166	200	88	118	100	158	770	844	278	24					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2085	84	79	66	127	48	48	80	36	36	55	24	0	28	35	32	205	134	102	4	82	128	148	60	150	24	99	64	49	56	2					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18087	255	288	340	1238	1054	1237	1115	696	265	1120	281	229	618	536	615	430	230	740	81	787	836	650	598	745	205	359	1075	999	255	210					
9	Число недействительных избирательных бюллетеней	175	6	6	11	16	20	11	18	3	0	0	0	1	10	5	0	4	6	14	0	2	2	0	1	1	3	3	22	4	6	0					
10	Число действительных избирательных бюллетеней	19997	333	361	395	1349	1082	1274	1177	729	301	1175	305	228	636	566	647	631	358	828	85	867	962	798	657	894	226	455	1117	1044	305	212					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	459	15	15	15	39	33	35	20	5	5	20	1	2	15	15	15	15	5	20	1	15	15	20	15	20	3	18	27	20	5	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	354	7	3	8	39	25	35	17	5	2	12	1	0	6	8	8	15	0	20	1	15	15	20	15	8	2	18	24	17	4	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	133	3	4	2	16	22	11	6	3	1	3	1	2	2	3	1	2	1	2	5	2	1	1	3	3	1	4	8	10	3	7					
14	Число погашенных неиспользованных открепительных удостоверений	105	8	12	7	0	8	0	3	0	3	8	0	2	9	7	7	0	5	0	0	0	0	0	0	12	1	0	3	3	1	6					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	0	0	0	11	2	2	2	2	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	3	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1225	54	57	78	175	118	51	24	8	0	0	0	0	51	34	49	77	33	125	6	22	1	3	15	0	8	2	133	48	53	0					
		6.07%	15.93%	15.53%	19.21%	12.82%	10.71%	3.97%	2.01%	1.09%	0.00%	0.00%	0.00%	0.00%	7.89%	5.95%	7.57%	12.13%	9.07%	14.85%	7.06%	2.53%	0.10%	0.38%	2.28%	0.00%	3.49%	0.44%	11.68%	4.58%	17.04%	0.00%					
