Выборы Президента Российской Федерации																																																				
																																																				
"Наименование Избирательной комиссии:    Калуга, Октябрьская"																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК  283	УИК  284	УИК  285	УИК  286	УИК  287	УИК  288	УИК  289	УИК  290	УИК  291	УИК  292	УИК  293	УИК  294	УИК  295	УИК  296	УИК  297	УИК  298	УИК  299	УИК  300	УИК  301	УИК  302	УИК  303	УИК  304	УИК  305	УИК  306	УИК  307	УИК  308	УИК  309	УИК  310	УИК  311	УИК  312	УИК  313	УИК  314	УИК  315	УИК  316	УИК  317	УИК  318	УИК  319	УИК  320	УИК  321	УИК  322	УИК  323	УИК  324	УИК  325	УИК  326	УИК  735					
1	"Число избирателей, внесенных в список"	94371	2686	2908	2481	2340	2088	1768	2353	2806	1522	1480	1467	866	2227	2345	2124	2026	2244	2837	2030	2626	1602	2499	2778	2824	2452	2770	2775	2907	2316	1474	588	1912	1817	2640	2431	1462	2808	2690	2519	2362	2225	206	307	912	1871					
2	Число полученных избирательных бюллетеней	84660	2400	2500	2200	2000	1900	1600	2000	2500	1400	1300	1300	800	2000	2000	1900	1800	2000	2500	1800	2400	1400	2200	2500	2600	2200	2500	2500	2600	2100	1300	600	1700	1600	2400	2200	1300	2600	2500	2300	2200	2000	190	270	900	1700					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	45531	1324	1450	1077	1125	842	721	998	1353	675	731	767	481	1197	1317	1196	1116	1222	1238	1043	1193	831	1318	1237	1401	1225	1366	1398	1460	1078	610	581	1021	644	1117	1118	660	1478	1282	1179	1047	1078	51	98	435	752					
5	"Число избирательных бюллетеней, выданных вне помещения"	1368	43	13	16	29	21	9	28	65	40	32	23	21	24	19	17	25	31	50	59	43	15	22	34	39	27	9	20	30	46	4	0	18	20	30	18	54	26	22	37	3	13	76	109	60	28					
6	Число погашенных избирательных бюллетеней	37761	1033	1037	1107	846	1037	870	974	1082	685	537	510	298	779	664	687	659	747	1212	698	1164	554	860	1229	1160	948	1125	1082	1110	976	686	19	661	936	1253	1064	586	1096	1196	1084	1150	909	63	63	405	920					
7	Число избирательных бюллетеней в переносных ящиках	1367	43	13	16	29	21	9	28	65	40	32	23	21	24	19	17	25	31	50	59	43	15	22	34	39	27	9	19	30	46	4	0	18	20	30	18	54	26	22	37	3	13	76	109	60	28					
8	Число бюллетеней в стационарных ящиках для голосования	45495	1324	1450	1077	1124	840	721	998	1353	675	729	766	481	1197	1310	1194	1116	1222	1238	1043	1190	827	1317	1237	1401	1223	1366	1396	1459	1078	610	581	1021	644	1117	1118	660	1478	1275	1179	1047	1077	51	98	435	752					
9	Число недействительных избирательных бюллетеней	357	5	10	7	10	7	7	0	4	6	9	9	2	6	13	8	5	7	14	9	8	10	7	9	14	9	11	14	13	7	9	4	4	5	12	3	6	20	5	11	16	15	0	0	4	3					
10	Число действительных избирательных бюллетеней	46505	1362	1453	1086	1143	854	723	1026	1414	709	752	780	500	1215	1316	1203	1136	1246	1274	1093	1225	832	1332	1262	1426	1241	1364	1401	1476	1117	605	577	1035	659	1135	1133	708	1484	1292	1205	1034	1075	127	207	491	777					
11	Число полученных открепительных  удостоверений	1393	30	35	35	35	35	25	35	35	25	25	25	21	35	35	35	35	35	35	25	35	25	35	35	35	35	35	34	36	35	25	21	25	25	35	35	25	35	35	35	35	35	20	21	21	29					
12	Число выданных открепительных удостоверений	434	14	7	5	7	5	7	8	12	7	7	10	7	18	12	11	11	12	9	14	11	5	18	10	21	10	7	16	10	23	5	0	11	10	16	11	4	27	15	4	2	7	2	0	2	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	397	6	5	11	16	6	7	10	9	9	8	12	5	8	46	12	7	18	6	18	14	4	10	8	7	12	7	13	17	7	4	3	6	6	4	15	13	3	3	3	2	4	0	3	2	8					
14	Число неиспользованных открепительных удостоверений	959	16	28	30	28	30	18	27	23	18	18	15	14	17	23	24	24	23	26	11	24	20	17	25	14	25	28	18	26	12	20	21	14	15	19	24	21	8	20	31	33	28	18	21	19	25					
15	"Число открепительных удостоверений, выданных в ТИК"	106	6	4	3	4	5	3	1	2	4	2	3	1	3	2	0	3	2	2	0	1	2	0	4	2	1	2	4	2	4	1	0	1	9	4	2	1	0	3	2	1	2	3	1	2	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																				
18	. Глазьев Сергей Юрьевич	2573	76	77	52	39	42	35	48	96	49	52	61	18	72	68	79	94	88	77	49	64	49	88	64	93	86	75	81	93	56	32	9	59	31	46	58	42	96	77	63	51	38	5	3	20	22					
		5.49%	5.56%	5.26%	4.76%	3.38%	4.88%	4.79%	4.68%	6.77%	6.85%	6.83%	7.73%	3.59%	5.90%	5.12%	6.52%	8.24%	7.02%	5.98%	4.45%	5.19%	5.82%	6.57%	5.04%	6.46%	6.88%	5.45%	5.72%	6.25%	4.98%	5.21%	1.55%	5.68%	4.67%	4.01%	5.11%	5.88%	6.38%	5.94%	5.18%	4.86%	3.49%	3.94%	1.45%	4.04%	2.82%					
19	. Малышкин Олег Александрович	858	21	26	18	18	24	13	22	33	13	16	15	7	20	20	26	20	13	32	21	28	12	32	26	18	18	22	21	23	24	12	2	22	13	18	25	14	36	16	20	31	21	0	4	2	20					
		1.83%	1.54%	1.78%	1.65%	1.56%	2.79%	1.78%	2.14%	2.33%	1.82%	2.10%	1.90%	1.39%	1.64%	1.50%	2.15%	1.75%	1.04%	2.48%	1.91%	2.27%	1.43%	2.39%	2.05%	1.25%	1.44%	1.60%	1.48%	1.54%	2.14%	1.95%	0.34%	2.12%	1.96%	1.57%	2.20%	1.96%	2.39%	1.23%	1.64%	2.95%	1.93%	0.00%	1.93%	0.40%	2.56%					
20	. Миронов Сергей Михайлович	289	11	13	2	9	10	2	5	8	6	1	6	5	6	8	7	6	7	11	8	4	7	11	9	11	4	12	6	6	8	2	1	4	9	5	8	5	12	3	3	7	9	0	1	6	5					
		0.62%	0.80%	0.89%	0.18%	0.78%	1.16%	0.27%	0.49%	0.56%	0.84%	0.13%	0.76%	1.00%	0.49%	0.60%	0.58%	0.53%	0.56%	0.85%	0.73%	0.32%	0.83%	0.82%	0.71%	0.76%	0.32%	0.87%	0.42%	0.40%	0.71%	0.33%	0.17%	0.38%	1.36%	0.44%	0.70%	0.70%	0.80%	0.23%	0.25%	0.67%	0.83%	0.00%	0.48%	1.21%	0.64%					
21	. Путин Владимир Владимирович	31595	937	1015	743	817	571	492	686	987	490	515	498	329	799	897	785	708	765	834	748	853	572	857	830	956	846	911	947	1003	754	425	521	746	422	771	779	470	905	861	864	713	747	107	172	371	576					
		67.42%	68.54%	69.38%	67.98%	70.86%	66.32%	67.40%	66.86%	69.61%	68.53%	67.67%	63.12%	65.54%	65.44%	67.49%	64.82%	62.05%	61.05%	64.75%	67.88%	69.18%	67.93%	64.00%	65.30%	66.39%	67.68%	66.25%	66.93%	67.36%	67.08%	69.22%	89.67%	71.80%	63.55%	67.22%	68.57%	65.83%	60.17%	66.38%	71.05%	67.90%	68.53%	84.25%	83.09%	74.95%	73.85%					
22	. Хакамада Ирина Муцуовна	2186	65	74	44	59	37	28	40	46	43	30	33	37	67	69	67	69	82	62	59	57	42	74	66	60	60	72	71	94	42	25	2	51	25	42	53	34	70	62	50	42	39	5	5	8	24					
		4.66%	4.75%	5.06%	4.03%	5.12%	4.30%	3.84%	3.90%	3.24%	6.01%	3.94%	4.18%	7.37%	5.49%	5.19%	5.53%	6.05%	6.54%	4.81%	5.35%	4.62%	4.99%	5.53%	5.19%	4.17%	4.80%	5.24%	5.02%	6.31%	3.74%	4.07%	0.34%	4.91%	3.77%	3.66%	4.67%	4.76%	4.65%	4.78%	4.11%	4.00%	3.58%	3.94%	2.42%	1.62%	3.08%					
23	. Харитонов Николай Михайлович	6914	200	184	173	155	127	115	185	192	74	104	126	84	199	203	194	184	228	207	163	153	106	209	200	220	177	193	193	188	187	77	39	96	121	210	146	106	272	225	156	155	179	10	20	71	108					
		14.75%	14.63%	12.58%	15.83%	13.44%	14.75%	15.75%	18.03%	13.54%	10.35%	13.67%	15.97%	16.73%	16.30%	15.27%	16.02%	16.13%	18.20%	16.07%	14.79%	12.41%	12.59%	15.61%	15.74%	15.28%	14.16%	14.04%	13.64%	12.63%	16.64%	12.54%	6.71%	9.24%	18.22%	18.31%	12.85%	14.85%	18.09%	17.35%	12.83%	14.76%	16.42%	7.87%	9.66%	14.34%	13.85%					
																																																				
24	Против всех	2090	52	64	54	46	43	38	40	52	34	34	41	20	52	51	45	55	63	51	45	66	44	61	67	68	50	79	82	69	46	32	3	57	38	43	64	37	93	48	49	35	42	0	2	13	22					
		4.46%	3.80%	4.37%	4.94%	3.99%	4.99%	5.21%	3.90%	3.67%	4.76%	4.47%	5.20%	3.98%	4.26%	3.84%	3.72%	4.82%	5.03%	3.96%	4.08%	5.35%	5.23%	4.56%	5.27%	4.72%	4.00%	5.75%	5.80%	4.63%	4.09%	5.21%	0.52%	5.49%	5.72%	3.75%	5.63%	5.18%	6.18%	3.70%	4.03%	3.33%	3.85%	0.00%	0.97%	2.63%	2.82%					
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
