Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва											
Дата голосования: 07.12.2003 0:00:00											
											
Наименование Избирательной комиссии:    Оленекская											
											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)											
											
		Сумма	УИК №487	УИК №488	УИК №489	УИК №490					
1	"Число избирателей, внесенных в списки"	2441	1356	447	449	189					
2	"Число бюллетеней, полученных участковыми комиссиями"	2400	1280	440	480	200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	172	5	16	107	44					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1677	881	331	335	130					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	96	61	25	7	3					
6	Число погашенных бюллетеней	455	333	68	31	23					
7	Число бюллетеней в переносных ящиках для голосования	268	66	41	114	47					
8	Число бюллетеней в стационарных ящиках для голосования	1677	881	331	335	130					
9	Число недействительных бюллетеней	15	4	4	7	0					
10	Число действительных бюллетеней	1930	943	368	442	177					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	110	50	20	30	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	44	10	11	21	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	13	10	1	2	0					
14	Число погашенных открепительных удостоверений	66	40	9	9	8					
15	Число открепительных удостоверений выданных ТИК	7	4	1	2	0					
16	Число утраченных бюллетеней	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0					
											
18	"1. ""ЕДИНЕНИЕ"""	83	28	24	24	7					
		4.26%	2.95%	6.45%	5.34%	3.95%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	318	196	50	70	2					
		16.34%	20.69%	13.44%	15.59%	1.12%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	39	16	12	9	2					
		2.00%	1.68%	3.22%	2.00%	1.12%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	13	8	2	2	1					
		0.66%	0.84%	0.53%	0.44%	0.56%					
22	"5. ""За Русь Святую"""	3	3	0	0	0					
		0.15%	0.31%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	4	1	0	2	1					
		0.20%	0.10%	0.0%	0.44%	0.56%					
24	"7. ""Новый курс - Автомобильная Россия"""	2	0	0	0	2					
		0.10%	0.0%	0.0%	0.0%	1.12%					
25	"8. ""Народно-республиканская партия России"""	2	0	1	1	0					
		0.10%	0.0%	0.26%	0.22%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	2	0	0	2	0					
		0.10%	0.0%	0.0%	0.44%	0.0%					
27	"10. ""Аграрная партия России"""	47	31	12	3	1					
		2.41%	3.27%	3.22%	0.66%	0.56%					
28	"11. ""Истинные патриоты России"""	12	9	0	3	0					
		0.61%	0.95%	0.0%	0.66%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	14	6	3	5	0					
		0.71%	0.63%	0.80%	1.11%	0.0%					
30	"13. ""Демократическая партия России"""	3	1	0	2	0					
		0.15%	0.10%	0.0%	0.44%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	5	1	1	3	0					
		0.25%	0.10%	0.26%	0.66%	0.0%					
32	"15. ""Партия СЛОН"""	3	1	2	0	0					
		0.15%	0.10%	0.53%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	82	29	13	24	16					
		4.21%	3.06%	3.49%	5.34%	9.03%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	3	0	1	2	0					
		0.15%	0.0%	0.26%	0.44%	0.0%					
35	"18. ""ЛДПР"""	35	25	2	8	0					
		1.79%	2.63%	0.53%	1.78%	0.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	24	15	2	5	2					
		1.23%	1.58%	0.53%	1.11%	1.12%					
37	"20. ""Политическая партия ""Единая Россия"""	875	379	179	192	125					
		44.98%	40.02%	48.11%	42.76%	70.62%					
38	"21. ""Российская Конституционно-демократическая партия"""	4	4	0	0	0					
		0.20%	0.42%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	2	1	0	1	0					
		0.10%	0.10%	0.0%	0.22%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	288	157	56	60	15					
		14.80%	16.57%	15.05%	13.36%	8.47%					
											
41	Против всех	67	32	8	24	3					
		3.44%	3.37%	2.15%	5.34%	1.69%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
