Выборы Президента Российской Федерации																																																														
																																																														
Наименование Избирательной комиссии:    Ступинская																																																														
																																																														
Итоги голосования 																																																														
																																																														
		Сумма	УИК  2774	УИК  2775	УИК  2776	УИК  2777	УИК  2778	УИК  2779	УИК  2780	УИК  2781	УИК  2782	УИК  2783	УИК  2784	УИК  2785	УИК  2786	УИК  2787	УИК  2788	УИК  2789	УИК  2790	УИК  2791	УИК  2792	УИК  2793	УИК  2794	УИК  2795	УИК  2796	УИК  2797	УИК  2798	УИК  2799	УИК  2800	УИК  2801	УИК  2802	УИК  2803	УИК  2804	УИК  2805	УИК  2806	УИК  2807	УИК  2808	УИК  2809	УИК  2810	УИК  2811	УИК  2812	УИК  2813	УИК  2814	УИК  2815	УИК  2816	УИК  2817	УИК  2818	УИК  2819	УИК  2820	УИК  2821	УИК  2822	УИК  2823	УИК  2824	УИК  2825	УИК  2826	УИК  2827	УИК  2828					
1	"Число избирателей, внесенных в список"	86996	1139	1331	977	1147	1283	2503	2432	2383	2116	2171	2422	2321	2120	1650	1586	1638	2364	2157	2132	1500	1831	1927	1348	423	1929	2386	1502	1557	1826	2000	945	2070	1884	2276	813	1067	1011	1577	1000	1483	997	1481	1009	1138	609	1867	332	1753	1319	2263	1118	168	804	1138	2773					
2	Число полученных избирательных бюллетеней	87841	1133	1354	1044	1210	1280	2521	2452	2390	2161	2216	2442	2418	2115	1665	1636	1710	2408	2213	2153	1545	1834	1989	1403	452	1978	2423	1269	1589	1931	2042	868	1990	1767	2136	868	1111	1052	1610	1044	1588	1059	1513	1001	1095	596	1811	307	1775	1343	2287	1140	159	784	1136	2825					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	57319	658	632	527	865	910	1728	1446	1727	1486	1279	1523	1526	1410	923	1076	1054	1482	1358	1278	1069	1089	1516	905	323	1228	1376	691	970	1007	1549	704	1615	1566	1680	416	716	573	1163	573	811	641	1032	585	473	292	1654	205	1234	930	1610	805	159	591	754	1926					
5	"Число избирательных бюллетеней, выданных вне помещения"	5574	88	123	188	10	25	55	10	23	34	45	20	85	24	16	88	101	40	57	34	94	24	69	48	57	63	35	261	59	93	112	61	83	69	50	280	184	254	115	179	225	143	116	173	392	217	26	82	222	275	215	132	0	94	0	6					
6	Число погашенных избирательных бюллетеней	24948	387	599	329	335	345	738	996	640	641	892	899	807	681	726	472	555	886	798	841	382	721	404	450	72	687	1012	317	560	831	381	103	292	132	406	172	211	225	332	292	552	275	365	243	230	87	131	20	319	138	462	203	0	99	382	893					
7	Число избирательных бюллетеней в переносных ящиках	5574	88	123	188	10	25	55	10	23	34	45	20	85	24	16	88	101	40	57	34	94	24	69	48	57	63	35	261	59	93	112	61	83	69	50	280	184	254	115	179	225	143	116	173	392	217	26	82	222	275	215	132	0	94	0	6					
8	Число бюллетеней в стационарных ящиках для голосования	57238	658	632	527	865	910	1728	1446	1704	1486	1279	1523	1526	1410	923	1076	1054	1482	1348	1278	1069	1086	1478	905	323	1228	1376	691	969	1007	1549	704	1615	1566	1680	416	716	573	1163	573	811	641	1032	585	473	292	1654	205	1234	930	1610	805	159	591	754	1920					
9	Число недействительных избирательных бюллетеней	508	9	9	0	2	14	19	9	23	43	4	12	11	15	2	6	15	11	13	11	11	8	7	9	0	8	15	7	10	17	9	4	7	12	7	5	15	11	0	6	10	12	16	9	10	2	4	0	5	8	11	8	1	3	2	11					
10	Число действительных избирательных бюллетеней	62304	737	746	715	873	921	1764	1447	1704	1477	1320	1531	1600	1419	937	1158	1140	1511	1392	1301	1152	1102	1540	944	380	1283	1396	945	1018	1083	1652	761	1691	1623	1723	691	885	816	1278	746	1026	772	1132	749	855	507	1676	287	1451	1197	1814	929	158	682	752	1915					
11	Число полученных открепительных  удостоверений	2998	54	54	54	84	54	54	54	54	54	54	54	54	54	54	54	24	24	24	54	34	39	54	19	54	54	54	54	54	94	54	54	54	54	54	54	54	54	54	89	54	54	54	54	54	54	54	14	104	34	132	54	54	54	54	69					
12	Число выданных открепительных удостоверений	1709	4	5	6	66	5	19	18	16	54	22	34	46	12	20	17	10	21	11	14	34	11	49	7	6	24	29	14	14	94	54	25	20	27	36	54	54	54	28	64	26	47	42	29	17	13	26	1	104	34	130	40	0	4	29	69					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	859	19	15	15	10	12	12	6	9	23	13	27	10	23	9	6	12	18	17	10	14	21	17	4	4	5	5	5	10	21	19	8	28	24	16	31	12	5	7	12	9	11	10	3	14	9	14	23	121	13	23	16	12	16	6	25					
14	Число неиспользованных открепительных удостоверений	1289	50	49	48	18	49	35	36	38	0	32	20	8	42	34	37	14	3	13	40	0	28	5	12	48	30	25	40	40	0	0	29	34	27	18	0	0	0	26	25	28	7	12	25	37	41	28	13	0	0	2	14	54	50	25	0					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																														
18	. Глазьев Сергей Юрьевич	2741	31	22	31	70	13	101	68	47	51	89	92	83	90	62	43	58	119	79	70	50	50	91	33	1	68	85	44	60	52	58	49	60	52	72	15	39	28	29	21	30	31	38	28	20	23	60	4	53	48	82	31	7	26	21	63					
		4.36%	4.16%	2.91%	4.34%	8.00%	1.39%	5.66%	4.67%	2.72%	3.36%	6.72%	5.96%	5.15%	6.28%	6.60%	3.69%	5.02%	7.82%	5.62%	5.34%	4.30%	4.50%	5.88%	3.46%	0.26%	5.27%	6.02%	4.62%	5.84%	4.73%	3.49%	6.41%	3.53%	3.18%	4.16%	2.16%	4.33%	3.39%	2.27%	2.79%	2.90%	3.95%	3.31%	3.69%	2.31%	4.52%	3.57%	1.39%	3.64%	3.98%	4.49%	3.31%	4.40%	3.80%	2.79%	3.27%					
19	. Малышкин Олег Александрович	1233	13	27	15	22	14	38	34	13	14	19	18	33	46	18	16	17	19	22	35	26	16	27	13	4	29	13	16	17	19	48	14	32	29	48	13	25	19	25	17	19	23	31	13	18	8	27	5	26	30	53	13	5	5	22	52					
		1.96%	1.74%	3.58%	2.10%	2.51%	1.50%	2.13%	2.34%	0.75%	0.92%	1.44%	1.17%	2.05%	3.21%	1.92%	1.37%	1.47%	1.25%	1.57%	2.67%	2.24%	1.44%	1.75%	1.36%	1.05%	2.25%	0.92%	1.68%	1.65%	1.73%	2.89%	1.83%	1.88%	1.77%	2.77%	1.87%	2.78%	2.30%	1.96%	2.26%	1.83%	2.93%	2.70%	1.72%	2.08%	1.57%	1.61%	1.74%	1.79%	2.49%	2.90%	1.39%	3.14%	0.73%	2.92%	2.70%					
20	. Миронов Сергей Михайлович	501	5	10	7	5	6	37	11	5	7	6	6	8	19	6	5	29	17	8	10	25	4	7	12	4	8	9	12	13	1	8	2	4	8	9	5	12	5	4	3	2	3	9	8	5	6	40	1	7	5	38	2	0	3	2	8					
		0.80%	0.67%	1.32%	0.98%	0.57%	0.64%	2.08%	0.76%	0.29%	0.46%	0.45%	0.39%	0.50%	1.32%	0.64%	0.43%	2.51%	1.12%	0.57%	0.76%	2.15%	0.36%	0.45%	1.26%	1.05%	0.62%	0.64%	1.26%	1.26%	0.09%	0.48%	0.26%	0.24%	0.49%	0.52%	0.72%	1.33%	0.60%	0.31%	0.40%	0.19%	0.38%	0.78%	1.06%	0.58%	1.18%	2.38%	0.35%	0.48%	0.41%	2.08%	0.21%	0.00%	0.44%	0.27%	0.42%					
21	. Путин Владимир Владимирович	45303	494	545	527	575	794	1142	1001	1343	1083	884	1015	1135	905	604	830	766	966	964	872	801	770	1066	667	342	842	948	677	693	817	1206	494	1399	1261	1296	579	609	628	1048	614	843	570	906	486	621	363	1294	236	1146	977	1248	706	115	604	567	1419					
		72.12%	66.22%	72.19%	73.71%	65.71%	84.92%	64.05%	68.75%	77.76%	71.25%	66.77%	65.78%	70.45%	63.11%	64.32%	71.31%	66.32%	63.47%	68.61%	66.46%	68.87%	69.37%	68.91%	69.99%	90.00%	65.22%	67.19%	71.11%	67.41%	74.27%	72.61%	64.58%	82.39%	77.13%	74.91%	83.19%	67.67%	75.94%	82.00%	81.65%	81.37%	72.70%	78.92%	64.12%	71.79%	71.32%	77.02%	82.23%	78.71%	81.08%	68.38%	75.35%	72.33%	88.18%	75.20%	73.68%					
22	. Хакамада Ирина Муцуовна	1759	18	14	10	27	21	64	61	42	43	53	52	61	61	54	49	45	55	43	49	48	48	36	58	11	53	58	29	37	27	58	19	32	22	29	9	16	13	19	5	11	16	14	9	10	12	24	2	15	18	47	32	1	14	32	53					
		2.80%	2.41%	1.85%	1.40%	3.09%	2.25%	3.59%	4.19%	2.43%	2.83%	4.00%	3.37%	3.79%	4.25%	5.75%	4.21%	3.90%	3.61%	3.06%	3.73%	4.13%	4.32%	2.33%	6.09%	2.89%	4.11%	4.11%	3.05%	3.60%	2.45%	3.49%	2.48%	1.88%	1.35%	1.68%	1.29%	1.78%	1.57%	1.49%	0.66%	1.06%	2.04%	1.22%	1.19%	1.16%	2.36%	1.43%	0.70%	1.03%	1.49%	2.58%	3.42%	0.63%	2.04%	4.24%	2.75%					
23	. Харитонов Николай Михайлович	7204	146	87	87	94	45	192	178	194	171	188	193	193	177	138	165	157	234	205	191	104	135	144	78	6	192	192	104	127	130	205	144	116	166	196	57	141	95	119	60	92	96	93	170	147	70	143	32	162	88	240	108	15	16	61	125					
		11.47%	19.57%	11.52%	12.17%	10.74%	4.81%	10.77%	12.23%	11.23%	11.25%	14.20%	12.51%	11.98%	12.34%	14.70%	14.18%	13.59%	15.37%	14.59%	14.56%	8.94%	12.16%	9.31%	8.18%	1.58%	14.87%	13.61%	10.92%	12.35%	11.82%	12.34%	18.82%	6.83%	10.15%	11.33%	8.19%	15.67%	11.49%	9.31%	7.98%	8.88%	12.24%	8.10%	22.43%	16.99%	13.75%	8.51%	11.15%	11.13%	7.30%	13.15%	11.53%	9.43%	2.34%	8.09%	6.49%					
																																																														
24	Против всех	3563	30	41	38	80	28	190	94	60	108	81	155	87	121	55	50	68	101	71	74	98	79	169	83	12	91	91	63	71	37	69	39	48	85	73	13	43	28	34	26	29	33	41	35	34	25	88	7	42	31	106	37	15	14	47	195					
		5.67%	4.02%	5.43%	5.31%	9.14%	2.99%	10.66%	6.46%	3.47%	7.11%	6.12%	10.05%	5.40%	8.44%	5.86%	4.30%	5.89%	6.64%	5.05%	5.64%	8.43%	7.12%	10.92%	8.71%	3.16%	7.05%	6.45%	6.62%	6.91%	3.36%	4.15%	5.10%	2.83%	5.20%	4.22%	1.87%	4.78%	3.39%	2.66%	3.46%	2.80%	4.21%	3.57%	4.62%	3.93%	4.91%	5.24%	2.44%	2.88%	2.57%	5.81%	3.95%	9.43%	2.04%	6.23%	10.12%					
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
