Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																								
Дата голосования: 02.12.2007																																								
																																								
Наименование Избирательной комиссии:    Сосновоборская																																								
																																								
Сводная таблица результатов выборов																																								
																																								
		Сумма	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106					
1	"Число избирателей, внесенных в списки избирателей"	14661	137	103	393	75	112	265	264	1654	1646	97	286	139	294	103	325	369	192	414	120	88	218	177	928	1019	1108	2255	339	174	635	77	201	379	75					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	14650	140	100	395	80	110	265	270	1605	1650	100	295	140	310	105	315	385	195	410	120	85	215	190	885	1000	1100	2230	370	180	645	90	205	390	75					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10430	96	92	296	65	85	220	207	1292	846	68	148	124	249	82	237	295	140	346	115	83	175	122	598	604	716	1664	263	135	461	42	172	320	72					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1335	20	0	78	7	16	16	33	20	31	21	97	7	36	14	43	41	25	40	0	0	26	27	93	123	96	174	46	29	100	35	12	26	3					
6	Число погашенных избирательных бюллетеней	2885	24	8	21	8	9	29	30	293	773	11	50	9	25	9	35	49	30	24	5	2	14	41	194	273	288	392	61	16	84	13	21	44	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1335	20	0	78	7	16	16	33	20	31	21	97	7	36	14	43	41	25	40	0	0	26	27	93	123	96	174	46	29	100	35	12	26	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10430	96	92	296	65	85	220	207	1292	846	68	148	124	249	82	237	295	140	346	115	83	175	122	598	604	716	1664	263	135	461	42	172	320	72					
9	Число недействительных избирательных бюллетеней	114	0	3	2	1	0	7	3	16	19	8	4	5	2	0	5	1	6	0	0	1	4	0	6	4	0	6	1	1	6	0	0	3	0					
10	Число действительных избирательных бюллетеней	11651	116	89	372	71	101	229	237	1296	858	81	241	126	283	96	275	335	159	386	115	82	197	149	685	723	812	1832	308	163	555	77	184	343	75					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	289	3	3	12	10	3	12	3	27	15	5	6	3	11	3	10	12	1	6	3	3	10	11	10	15	10	39	11	3	9	3	7	10	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	179	1	1	8	1	0	2	0	23	15	0	1	0	4	0	0	12	1	6	0	1	2	4	7	13	7	39	11	1	9	2	5	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	14	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	4	2	1	1	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	110	2	2	4	9	3	10	3	4	0	5	5	3	7	3	10	0	0	0	3	2	8	7	3	2	3	0	0	2	0	1	2	7	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
18	1.Политическая партия «Аграрная партия России»	178	2	1	15	0	0	6	4	9	22	1	8	0	1	3	0	3	0	12	0	0	2	5	5	13	11	19	11	0	14	1	0	10	0					
		1.51%	1.72%	1.09%	4.01%	0.00%	0.00%	2.54%	1.67%	0.69%	2.51%	1.12%	3.27%	0.00%	0.35%	3.13%	0.00%	0.89%	0.00%	3.11%	0.00%	0.00%	0.99%	3.36%	0.72%	1.79%	1.35%	1.03%	3.56%	0.00%	2.50%	1.30%	0.00%	2.89%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	15	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	4	1	2	1	0	0	0	0	1	0					
		0.13%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.55%	0.12%	0.11%	0.32%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%					
20	3.Политическая партия «Демократическая партия России»	11	2	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	2	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0					
		0.09%	1.72%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%	1.21%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1135	6	4	37	8	4	33	14	86	102	5	43	6	9	15	26	43	16	33	8	11	16	18	71	87	87	143	36	10	83	8	14	46	7					
		9.65%	5.17%	4.35%	9.89%	11.11%	3.96%	13.98%	5.83%	6.55%	11.63%	5.62%	17.55%	4.58%	3.16%	15.63%	9.29%	12.80%	9.70%	8.55%	6.96%	13.25%	7.96%	12.08%	10.27%	11.97%	10.71%	7.78%	11.65%	6.10%	14.80%	10.39%	7.61%	13.29%	9.33%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	6	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
		0.05%	0.00%	1.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	10	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	2	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0					
		0.08%	0.86%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.11%	1.12%	0.00%	0.00%	0.00%	0.00%	0.36%	0.60%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	458	4	1	20	2	2	3	7	38	27	1	12	4	12	0	6	18	7	24	0	7	13	9	27	36	47	70	28	3	12	5	2	9	2					
		3.89%	3.45%	1.09%	5.35%	2.78%	1.98%	1.27%	2.92%	2.90%	3.08%	1.12%	4.90%	3.05%	4.21%	0.00%	2.14%	5.36%	4.24%	6.22%	0.00%	8.43%	6.47%	6.04%	3.91%	4.95%	5.79%	3.81%	9.06%	1.83%	2.14%	6.49%	1.09%	2.60%	2.67%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	260	1	1	6	0	2	6	3	23	28	0	4	4	6	1	2	1	6	12	0	1	3	2	15	20	23	58	6	2	11	2	0	11	0					
		2.21%	0.86%	1.09%	1.60%	0.00%	1.98%	2.54%	1.25%	1.75%	3.19%	0.00%	1.63%	3.05%	2.11%	1.04%	0.71%	0.30%	3.64%	3.11%	0.00%	1.20%	1.49%	1.34%	2.17%	2.75%	2.83%	3.16%	1.94%	1.22%	1.96%	2.60%	0.00%	3.18%	0.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	43	0	1	1	0	1	1	0	2	4	1	4	0	0	0	5	0	2	1	0	0	1	0	3	2	6	6	1	0	0	0	0	0	1					
		0.37%	0.00%	1.09%	0.27%	0.00%	0.99%	0.42%	0.00%	0.15%	0.46%	1.12%	1.63%	0.00%	0.00%	0.00%	1.79%	0.00%	1.21%	0.26%	0.00%	0.00%	0.50%	0.00%	0.43%	0.28%	0.74%	0.33%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	1.33%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	9500	99	80	290	61	92	180	209	1129	668	72	169	109	255	77	234	267	124	301	107	63	162	115	562	558	630	1523	225	147	432	61	168	266	65					
		80.75%	85.34%	86.96%	77.54%	84.72%	91.09%	76.27%	87.08%	86.05%	76.17%	80.90%	68.98%	83.21%	89.47%	80.21%	83.57%	79.46%	75.15%	77.98%	93.04%	75.90%	80.60%	77.18%	81.33%	76.75%	77.59%	82.86%	72.82%	89.63%	77.01%	79.22%	91.30%	76.88%	86.67%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	35	1	0	1	0	0	0	0	4	4	0	0	2	0	0	0	1	2	1	0	0	0	0	0	0	5	10	0	1	3	0	0	0	0					
		0.30%	0.86%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.30%	0.46%	0.00%	0.00%	1.53%	0.00%	0.00%	0.00%	0.30%	1.21%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.54%	0.00%	0.61%	0.53%	0.00%	0.00%	0.00%	0.00%					
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
