Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																				
Дата голосования: 02.12.2007																				
																				
Наименование Избирательной комиссии:    Ковдорская																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261					
1	"Число избирателей, внесенных в списки избирателей"	19819	2234	2217	2067	1833	302	2488	2100	2099	2135	139	313	1592	300					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	16910	1880	1900	1780	1570	260	2060	1810	1800	1850	120	270	1360	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	73	0	0	0	0	0	73	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9683	1033	1098	1059	874	178	1136	1003	943	1099	72	173	877	138					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	220	60	14	14	11	4	28	30	25	6	4	3	21	0					
6	Число погашенных избирательных бюллетеней	6934	787	788	707	685	78	823	777	832	745	44	94	462	112					
7	Число избирательных бюллетеней в переносных ящиках для голосования	293	60	14	14	11	4	101	30	25	6	4	3	21	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9673	1031	1098	1059	872	178	1134	1001	941	1099	72	173	877	138					
9	Число недействительных избирательных бюллетеней	86	9	10	7	3	1	12	14	11	9	0	2	7	1					
10	Число действительных избирательных бюллетеней	9880	1082	1102	1066	880	181	1223	1017	955	1096	76	174	891	137					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	682	82	70	70	60	10	70	70	70	70	20	20	50	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	81	10	9	10	7	0	8	10	7	4	4	1	10	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	34	4	1	2	2	2	5	4	5	3	2	1	0	3					
14	Число погашенных неиспользованных открепительных удостоверений	601	72	61	60	53	10	62	60	63	66	16	19	40	19					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	1	1	2	2	0	7	2	2	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	1.Политическая партия «Аграрная партия России»	254	17	36	30	26	1	28	16	29	41	0	5	16	9					
		2.55%	1.56%	3.24%	2.80%	2.94%	0.55%	2.27%	1.55%	3.00%	3.71%	0.00%	2.84%	1.78%	6.52%					
19	2.Всероссийская политическая партия «Гражданская Сила»	78	5	10	9	10	0	1	15	8	13	0	0	4	3					
		0.78%	0.46%	0.90%	0.84%	1.13%	0.00%	0.08%	1.45%	0.83%	1.18%	0.00%	0.00%	0.45%	2.17%					
20	3.Политическая партия «Демократическая партия России»	11	1	2	1	0	0	1	1	0	4	0	0	1	0					
		0.11%	0.09%	0.18%	0.09%	0.00%	0.00%	0.08%	0.10%	0.00%	0.36%	0.00%	0.00%	0.11%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1451	153	154	157	142	17	161	170	162	155	12	19	126	23					
		14.56%	14.02%	13.85%	14.63%	16.08%	9.34%	13.04%	16.49%	16.77%	14.03%	15.79%	10.80%	14.03%	16.67%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	60	7	7	5	4	0	20	9	1	4	0	0	3	0					
		0.60%	0.64%	0.63%	0.47%	0.45%	0.00%	1.62%	0.87%	0.10%	0.36%	0.00%	0.00%	0.33%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	25	3	3	6	1	2	3	0	4	1	0	0	2	0					
		0.25%	0.27%	0.27%	0.56%	0.11%	1.10%	0.24%	0.00%	0.41%	0.09%	0.00%	0.00%	0.22%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1207	133	137	151	120	19	149	107	116	130	3	23	100	19					
		12.11%	12.19%	12.32%	14.07%	13.59%	10.44%	12.06%	10.38%	12.01%	11.76%	3.95%	13.07%	11.14%	13.77%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1256	149	124	126	97	26	117	138	131	150	15	37	121	25					
		12.60%	13.66%	11.15%	11.74%	10.99%	14.29%	9.47%	13.39%	13.56%	13.57%	19.74%	21.02%	13.47%	18.12%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	59	2	3	9	8	0	11	9	7	5	1	0	3	1					
		0.59%	0.18%	0.27%	0.84%	0.91%	0.00%	0.89%	0.87%	0.72%	0.45%	1.32%	0.00%	0.33%	0.72%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	5347	598	606	553	454	114	713	541	490	584	44	90	503	57					
		53.65%	54.81%	54.50%	51.54%	51.42%	62.64%	57.73%	52.47%	50.72%	52.85%	57.89%	51.14%	56.01%	41.30%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	132	14	20	19	18	2	19	11	7	9	1	0	12	0					
		1.32%	1.28%	1.80%	1.77%	2.04%	1.10%	1.54%	1.07%	0.72%	0.81%	1.32%	0.00%	1.34%	0.00%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
