Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																				
Дата голосования: 18.09.2016																																																																																																				
																																																																																																				
Наименование Избирательной комиссии:    Белгородская районная																																																																																																				
																																																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																				
																																																																																																				
		Сумма	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №924									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	102099	2106	1020	157	1374	1091	426	411	1177	1129	254	312	280	419	1047	1184	491	742	312	261	1668	1718	1815	1915	797	700	897	108	989	1198	539	1424	566	1285	433	1996	1211	1592	613	1004	848	1497	1074	339	1573	1727	1561	1720	1548	1665	1188	823	2097	1949	1226	1755	1782	1378	1522	1898	655	308	734	1440	479	232	324	120	246	1253	1183	1559	1480	968	1516	1416	1804	1616	1571	2470	1192	1535	1556	676	1487	1588	2344	1766	1770	980									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	95413	1900	900	150	1260	1000	420	400	1100	1100	250	300	280	420	1000	1150	450	670	320	250	1470	1460	1800	1850	740	690	900	123	900	1150	520	1400	590	1150	420	1830	1110	1460	580	920	750	1350	1000	300	1400	1560	1450	1650	1370	1530	1110	770	1820	1750	1160	1530	1650	1250	1450	1750	600	310	720	1400	450	250	340	120	250	1150	1100	1450	1400	950	1450	1300	1700	1550	1500	2200	1150	1400	1500	660	1430	1550	2300	1700	1700	850									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	53418	800	370	101	600	591	297	129	636	629	168	251	215	331	550	459	301	509	187	130	1296	1202	1092	1431	417	487	640	84	588	783	355	741	305	597	194	886	606	709	353	619	310	819	531	178	663	1030	903	810	689	1036	505	250	1047	813	384	715	1163	792	815	986	385	245	499	884	386	150	231	76	143	388	502	932	480	478	637	588	836	760	816	966	437	654	679	293	1108	778	1375	1017	946	671									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	9673	518	183	13	91	175	36	74	138	152	62	32	15	64	183	260	85	43	39	68	164	169	182	197	41	145	113	3	38	43	153	454	216	85	80	117	62	27	38	18	185	11	136	75	197	136	146	81	201	102	227	217	219	227	220	91	67	73	20	42	81	29	117	126	63	43	58	26	70	154	140	89	205	136	154	175	60	111	9	152	170	34	64	8	38	19	28	21	34	10									
6	Число погашенных избирательных бюллетеней	32322	582	347	36	569	234	87	197	326	319	20	17	50	25	267	431	64	118	94	52	10	89	526	222	282	58	147	36	274	324	12	205	69	468	146	827	442	724	189	283	255	520	333	47	540	394	401	759	480	392	378	303	554	710	556	724	420	385	615	722	134	36	104	390	1	57	51	18	37	608	458	429	715	336	659	537	804	679	675	1082	543	712	757	359	284	753	897	662	720	169									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	9673	518	183	13	91	175	36	74	138	152	62	32	15	64	183	260	85	43	39	68	164	169	182	197	41	145	113	3	38	43	153	454	216	85	80	117	62	27	38	18	185	11	136	75	197	136	146	81	201	102	227	217	219	227	220	91	67	73	20	42	81	29	117	126	63	43	58	26	70	154	140	89	205	136	154	175	60	111	9	152	170	34	64	8	38	19	28	21	34	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	53412	799	370	101	600	591	297	129	636	629	168	251	215	331	550	459	301	509	187	130	1296	1202	1092	1431	417	487	640	84	588	783	355	741	305	597	194	886	605	709	353	619	310	819	531	178	663	1029	903	810	689	1036	505	250	1047	813	384	715	1163	789	815	986	385	245	499	884	386	150	231	76	143	388	502	932	480	478	637	588	836	760	816	966	437	654	679	293	1108	778	1375	1017	946	671									
9	Число недействительных избирательных бюллетеней	1466	321	11	2	10	20	6	3	20	14	2	0	8	8	8	15	6	11	4	5	15	20	37	13	7	14	10	2	11	18	2	11	5	17	7	26	13	10	18	15	8	27	14	5	12	21	24	17	17	16	20	7	17	13	10	23	15	16	9	13	11	5	5	17	0	7	3	1	0	11	15	34	11	9	21	18	16	19	17	14	9	6	6	15	39	12	29	36	18	13									
10	Число действительных избирательных бюллетеней	61619	996	542	112	681	746	327	200	754	767	228	283	222	387	725	704	380	541	222	193	1445	1351	1237	1615	451	618	743	85	615	808	506	1184	516	665	267	977	654	726	373	622	487	803	653	248	848	1144	1025	874	873	1122	712	460	1249	1027	594	783	1215	846	826	1015	455	269	611	993	449	186	286	101	213	531	627	987	674	605	770	745	880	852	808	1104	598	682	737	286	1107	785	1374	1002	962	668									
