Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																												
Дата голосования: 07.12.2003 0:00:00																																																																												
																																																																												
Наименование Избирательной комиссии:    Канашская																																																																												
																																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																												
																																																																												
		Сумма	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295					
1	"Число избирателей, внесенных в списки"	31105	755	884	623	134	270	321	514	223	162	248	459	297	125	601	399	293	2191	387	192	723	575	113	168	801	208	187	470	205	438	90	428	246	264	232	283	228	651	272	268	217	261	919	1029	207	1161	482	340	1287	356	429	197	705	495	833	354	295	382	278	572	267	779	249	559	272	424	398	519	219	692					
2	"Число бюллетеней, полученных участковыми комиссиями"	29316	715	805	559	132	252	293	485	209	164	239	429	278	124	551	365	283	1961	366	193	697	549	114	166	763	197	189	450	199	413	91	408	241	249	222	270	217	592	248	255	199	245	865	984	200	1109	446	319	1231	326	399	183	665	460	795	331	273	365	258	559	253	752	239	529	258	408	383	494	196	659					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	17329	445	463	316	88	173	178	269	144	108	133	260	208	93	318	239	184	1311	224	115	360	318	69	104	405	123	106	232	115	224	58	236	130	149	139	161	167	354	162	157	147	111	493	407	114	607	256	168	614	210	276	114	393	277	522	216	159	243	187	289	149	419	135	322	133	259	208	362	121	380					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	906	24	20	10	3	8	0	7	2	0	9	8	7	0	4	0	6	94	13	0	23	12	0	0	35	8	11	2	0	3	5	15	13	29	12	9	10	12	7	12	15	45	14	35	6	7	34	11	20	19	16	10	8	2	32	33	6	24	0	9	8	17	10	14	11	6	13	22	14	12					
6	Число погашенных бюллетеней	11081	246	322	233	41	71	115	209	63	56	97	161	63	31	229	126	93	556	129	78	314	219	45	62	323	66	72	216	84	186	28	157	98	71	71	100	40	226	79	86	37	89	358	542	80	495	156	140	597	97	107	59	264	181	241	82	108	98	71	261	96	316	94	193	114	143	162	110	61	267					
7	Число бюллетеней в переносных ящиках для голосования	906	24	20	10	3	8	0	7	2	0	9	8	7	0	4	0	6	94	13	0	23	12	0	0	35	8	11	2	0	3	5	15	13	29	12	9	10	12	7	12	15	45	14	35	6	7	34	11	20	19	16	10	8	2	32	33	6	24	0	9	8	17	10	14	11	6	13	22	14	12					
8	Число бюллетеней в стационарных ящиках для голосования	17328	445	463	316	88	173	178	269	144	108	133	260	208	93	318	239	184	1311	224	114	360	318	69	104	405	123	106	232	115	224	58	236	130	149	139	161	167	354	162	157	147	111	493	407	114	607	256	168	614	210	276	114	393	277	522	216	159	243	187	289	149	419	135	322	133	259	208	362	121	380					
9	Число недействительных бюллетеней	919	26	48	32	12	2	19	20	13	10	15	22	9	0	10	14	2	65	22	11	6	20	2	7	26	8	18	26	2	9	8	13	3	0	11	6	12	4	10	16	8	7	2	11	11	17	11	1	5	23	31	11	31	17	42	10	9	4	18	19	8	23	1	5	7	5	4	12	3	4					
10	Число действительных бюллетеней	17315	443	435	294	79	179	159	256	133	98	127	246	206	93	312	225	188	1340	215	103	377	310	67	97	414	123	99	208	113	218	55	238	140	178	140	164	165	362	159	153	154	149	505	431	109	597	279	178	629	206	261	113	370	262	512	239	156	263	169	279	149	413	144	331	137	260	217	372	132	388					
