Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Таловская																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №3601	УИК №3602	УИК №3603	УИК №3604	УИК №3605	УИК №3606	УИК №3607	УИК №3608	УИК №3609	УИК №3610	УИК №3611	УИК №3612	УИК №3613	УИК №3614	УИК №3615	УИК №3616	УИК №3617	УИК №3618	УИК №3619	УИК №3620	УИК №3621	УИК №3622	УИК №3623	УИК №3624	УИК №3625	УИК №3626	УИК №3627	УИК №3628	УИК №3629	УИК №3630	УИК №3631	УИК №3632	УИК №3633	УИК №3634	УИК №3635	УИК №3636	УИК №3637	УИК №3638	УИК №3639	УИК №3640	УИК №3641	УИК №3642	УИК №3643	УИК №3644									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	31498	1152	1019	1086	985	1481	265	338	724	989	958	316	373	506	369	777	922	711	831	726	423	996	724	432	244	517	615	264	216	433	658	639	1254	1130	600	1172	355	805	357	224	568	1082	1123	1156	983									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30200	1100	1000	1000	950	1400	250	325	700	950	950	300	350	500	350	750	900	700	800	700	400	950	700	400	225	500	600	250	210	415	650	600	1200	1100	600	1100	350	750	350	225	550	1050	1050	1050	950									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18246	684	664	678	338	1042	150	211	353	658	572	169	197	385	170	197	394	344	501	417	340	610	496	320	212	347	372	157	137	351	519	274	545	317	366	915	202	444	216	101	224	771	875	663	348									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	7645	410	208	92	212	270	93	107	278	275	111	129	153	46	103	339	269	279	271	238	54	328	172	80	9	149	140	90	66	53	89	306	184	209	191	102	98	181	99	105	130	220	119	99	489									
6	Число погашенных избирательных бюллетеней	4309	6	128	230	400	88	7	7	69	17	267	2	0	69	77	214	237	77	28	45	6	12	32	0	4	4	88	3	7	11	42	20	471	574	43	83	50	125	35	19	196	59	56	288	113									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	7645	410	208	92	212	270	93	107	278	275	111	129	153	46	103	339	269	279	271	238	54	328	172	80	9	149	140	90	66	53	89	306	184	209	191	102	98	181	99	105	130	220	119	99	489									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18246	684	664	678	338	1042	150	211	353	658	572	169	197	385	170	197	394	344	501	417	340	610	496	320	212	347	372	157	137	351	519	274	545	317	366	915	202	444	216	101	224	771	875	663	348									
9	Число недействительных избирательных бюллетеней	156	5	9	9	8	2	1	1	1	0	16	0	0	1	0	5	1	5	4	0	0	4	4	0	1	1	1	0	0	4	7	1	9	18	4	1	7	0	2	0	5	3	8	2	6									
10	Число действительных избирательных бюллетеней	25735	1089	863	761	542	1310	242	317	630	933	667	298	350	430	273	531	662	618	768	655	394	934	664	400	220	495	511	247	203	400	601	579	720	508	553	1016	293	625	313	206	349	988	986	760	831									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	802	30	30	30	30	30	5	10	15	25	25	10	10	10	10	10	10	15	15	15	10	40	40	5	3	5	15	5	5	15	40	40	25	25	10	30	10	5	4	5	10	30	30	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	444	5	30	2	30	30	5	10	3	0	25	0	0	3	1	2	7	3	15	0	1	40	40	1	0	1	15	5	4	9	6	0	25	25	0	3	3	5	4	0	10	30	30	14	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	81	6	1	2	0	5	0	1	3	0	3	0	1	0	2	5	8	3	0	0	1	1	0	2	0	1	3	1	0	1	0	3	4	2	1	0	3	3	0	1	3	3	3	2	3									
14	Число погашенных неиспользованных открепительных удостоверений	358	25	0	28	0	0	0	0	12	25	0	10	10	7	9	8	3	12	0	15	9	0	0	4	3	4	0	0	1	6	34	40	0	0	10	27	7	0	0	5	0	0	0	16	28									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	64	2	4	3	1	4	0	0	0	0	2	0	0	3	0	0	1	1	3	1	1	1	1	2	2	3	2	1	1	1	3	0	1	0	2	2	0	1	0	1	0	1	6	4	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	144	0	4	5	12	0	0	3	8	0	10	0	2	5	2	1	3	4	0	0	0	7	3	2	1	1	6	0	3	4	3	3	8	1	7	6	1	4	1	0	2	0	13	4	5									
		0.56%	0.00%	0.46%	0.65%	2.18%	0.00%	0.00%	0.94%	1.27%	0.00%	1.46%	0.00%	0.57%	1.16%	0.73%	0.19%	0.45%	0.64%	0.00%	0.00%	0.00%	0.75%	0.45%	0.50%	0.45%	0.20%	1.17%	0.00%	1.48%	0.99%	0.49%	0.52%	1.10%	0.19%	1.26%	0.59%	0.33%	0.64%	0.32%	0.00%	0.56%	0.00%	1.31%	0.52%	0.60%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	374	0	21	19	26	9	1	7	10	0	22	2	4	7	0	20	8	8	0	0	0	32	3	3	6	8	8	0	4	3	7	5	13	21	4	5	8	21	2	0	13	4	15	21	4									
		1.44%	0.00%	2.41%	2.47%	4.73%	0.69%	0.41%	2.20%	1.58%	0.00%	3.22%	0.67%	1.14%	1.62%	0.00%	3.73%	1.21%	1.28%	0.00%	0.00%	0.00%	3.41%	0.45%	0.75%	2.71%	1.61%	1.56%	0.00%	1.97%	0.74%	1.15%	0.86%	1.78%	3.99%	0.72%	0.49%	2.67%	3.36%	0.63%	0.00%	3.67%	0.40%	1.51%	2.76%	0.48%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	191	0	3	10	0	0	2	2	9	0	15	4	9	3	3	7	5	2	0	3	0	11	8	2	5	0	4	0	2	9	5	4	10	8	2	1	3	8	1	4	3	3	9	0	12									
		0.74%	0.00%	0.34%	1.30%	0.00%	0.00%	0.82%	0.63%	1.43%	0.00%	2.20%	1.34%	2.57%	0.70%	1.10%	1.31%	0.75%	0.32%	0.00%	0.46%	0.00%	1.17%	1.20%	0.50%	2.26%	0.00%	0.78%	0.00%	0.99%	2.23%	0.82%	0.69%	1.37%	1.52%	0.36%	0.10%	1.00%	1.28%	0.32%	1.94%	0.85%	0.30%	0.91%	0.00%	1.43%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	19455	915	658	454	297	1111	195	244	497	804	263	247	301	332	180	318	452	543	705	563	340	756	537	339	157	398	361	188	166	298	512	458	453	299	438	882	192	452	246	176	147	862	713	458	548									
		75.14%	83.64%	75.46%	58.96%	54.00%	84.68%	80.25%	76.73%	78.76%	86.17%	38.51%	82.89%	86.00%	77.03%	65.93%	59.33%	68.17%	87.16%	91.32%	85.95%	86.29%	80.60%	80.39%	84.75%	71.04%	80.24%	70.51%	76.11%	81.77%	73.76%	84.21%	78.97%	62.14%	56.84%	78.64%	86.73%	64.00%	72.32%	78.10%	85.44%	41.53%	86.98%	71.73%	60.10%	65.47%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	56	0	1	3	0	0	0	0	4	0	12	1	0	1	0	0	3	0	0	0	0	3	1	0	3	1	1	0	1	2	2	1	3	1	0	0	2	2	0	0	4	0	2	0	2									
		0.22%	0.00%	0.11%	0.39%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	1.76%	0.34%	0.00%	0.23%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.32%	0.15%	0.00%	1.36%	0.20%	0.20%	0.00%	0.49%	0.50%	0.33%	0.17%	0.41%	0.19%	0.00%	0.00%	0.67%	0.32%	0.00%	0.00%	1.13%	0.00%	0.20%	0.00%	0.24%									
24	"6. Политическая партия ""Гражданская Платформа"""	20	0	0	1	0	0	0	0	0	0	3	1	2	1	1	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	2									
		0.08%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.34%	0.57%	0.23%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.36%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1607	0	35	99	81	31	16	30	31	15	77	11	5	24	23	64	35	12	0	10	13	23	26	12	11	21	54	26	9	16	8	25	116	83	16	26	46	44	26	7	126	20	80	102	72									
		6.21%	0.00%	4.01%	12.86%	14.73%	2.36%	6.58%	9.43%	4.91%	1.61%	11.27%	3.69%	1.43%	5.57%	8.42%	11.94%	5.28%	1.93%	0.00%	1.53%	3.30%	2.45%	3.89%	3.00%	4.98%	4.23%	10.55%	10.53%	4.43%	3.96%	1.32%	4.31%	15.91%	15.78%	2.87%	2.56%	15.33%	7.04%	8.25%	3.40%	35.59%	2.02%	8.05%	13.39%	8.60%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	36	0	1	0	0	0	0	0	0	0	9	0	0	3	0	7	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	6	0	0	0	0	1	0	2									
		0.14%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.32%	0.00%	0.00%	0.70%	0.00%	1.31%	0.15%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.67%	0.96%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.24%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	42	0	2	0	4	0	1	1	2	0	2	0	0	1	1	4	1	0	0	0	0	3	0	0	0	4	1	0	0	0	1	0	1	0	2	0	0	0	1	1	2	0	2	0	5									
		0.16%	0.00%	0.23%	0.00%	0.73%	0.00%	0.41%	0.31%	0.32%	0.00%	0.29%	0.00%	0.00%	0.23%	0.37%	0.75%	0.15%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.81%	0.20%	0.00%	0.00%	0.00%	0.16%	0.00%	0.14%	0.00%	0.36%	0.00%	0.00%	0.00%	0.32%	0.49%	0.56%	0.00%	0.20%	0.00%	0.60%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	22	0	3	0	10	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2									
		0.08%	0.00%	0.34%	0.00%	1.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.23%	0.37%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	56	0	3	4	0	0	2	0	0	0	6	0	1	0	0	2	4	0	0	0	0	0	2	0	1	0	0	0	0	0	0	4	3	0	0	0	1	0	0	0	3	0	7	6	7									
		0.22%	0.00%	0.34%	0.52%	0.00%	0.00%	0.82%	0.00%	0.00%	0.00%	0.88%	0.00%	0.29%	0.00%	0.00%	0.37%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.41%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.85%	0.00%	0.70%	0.79%	0.84%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2192	65	85	87	88	53	7	10	38	58	228	10	4	24	46	92	111	15	23	40	17	31	31	17	18	35	46	19	7	32	14	32	91	82	41	17	35	61	20	3	45	40	115	104	155									
		8.47%	5.94%	9.75%	11.30%	16.00%	4.04%	2.88%	3.14%	6.02%	6.22%	33.38%	3.36%	1.14%	5.57%	16.85%	17.16%	16.74%	2.41%	2.98%	6.11%	4.31%	3.30%	4.64%	4.25%	8.14%	7.06%	8.98%	7.69%	3.45%	7.92%	2.30%	5.52%	12.48%	15.59%	7.36%	1.67%	11.67%	9.76%	6.35%	1.46%	12.71%	4.04%	11.57%	13.65%	18.52%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	90	0	4	4	8	1	1	0	2	0	6	1	0	0	1	2	3	0	0	0	2	0	1	1	2	0	1	0	0	1	9	3	11	4	2	0	1	0	1	0	1	0	9	4	4									
		0.35%	0.00%	0.46%	0.52%	1.45%	0.08%	0.41%	0.00%	0.32%	0.00%	0.88%	0.34%	0.00%	0.00%	0.37%	0.37%	0.45%	0.00%	0.00%	0.00%	0.51%	0.00%	0.15%	0.25%	0.90%	0.00%	0.20%	0.00%	0.00%	0.25%	1.48%	0.52%	1.51%	0.76%	0.36%	0.00%	0.33%	0.00%	0.32%	0.00%	0.28%	0.00%	0.91%	0.52%	0.48%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1450	109	43	75	16	105	17	20	29	56	13	21	22	28	15	14	35	34	40	39	21	68	51	24	16	26	24	14	11	35	40	43	11	6	39	78	2	26	15	15	3	59	20	61	11									
		5.60%	9.96%	4.93%	9.74%	2.91%	8.00%	6.99%	6.29%	4.60%	6.00%	1.90%	7.05%	6.29%	6.50%	5.49%	2.61%	5.28%	5.46%	5.18%	5.95%	5.33%	7.25%	7.63%	6.00%	7.24%	5.24%	4.69%	5.67%	5.42%	8.66%	6.58%	7.41%	1.51%	1.14%	7.00%	7.67%	0.67%	4.16%	4.76%	7.28%	0.85%	5.95%	2.01%	8.01%	1.31%									
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
