Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																									
Дата голосования: 02.12.2007																																																									
																																																									
Наименование Избирательной комиссии:    Кисловодская городская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587					
1	"Число избирателей, внесенных в списки избирателей"	77642	2610	2862	2790	1442	1849	2742	1731	1648	2527	2362	1433	2305	453	2599	1655	1687	1672	1576	1001	1947	2027	1329	2615	2189	1343	1755	1988	2508	2516	750	1958	2685	1418	1891	1663	1761	1650	1735	2383	1085	250	27	321	86	243	56	143	50	196	130					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	69135	2300	2500	2500	1300	1700	2500	1800	1400	2300	2100	1300	2100	400	2300	1400	1600	1500	1300	800	1700	1800	1100	2300	1900	1200	1500	1700	2200	2300	650	1900	2400	1200	1900	1400	1500	1300	1600	2000	900	250	30	380	88	250	58	143	50	196	140					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	33133	1256	1005	1212	659	779	1044	838	643	1168	902	626	956	175	1033	722	824	778	737	472	846	917	573	1103	827	527	704	813	1222	989	325	757	1010	582	703	790	639	608	754	875	332	250	27	320	86	242	56	143	50	195	39					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3192	22	92	43	43	43	103	60	51	69	166	78	63	24	69	58	91	69	37	34	78	53	63	110	123	56	31	289	80	134	51	87	65	136	103	48	82	39	46	42	167	0	0	1	0	1	0	0	0	1	91					
6	Число погашенных избирательных бюллетеней	32810	1022	1403	1245	598	878	1353	902	706	1063	1032	596	1081	201	1198	620	685	653	526	294	776	830	464	1087	950	617	765	598	898	1177	274	1056	1325	482	1094	562	779	653	800	1083	401	0	3	59	2	7	2	0	0	0	10					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3192	22	92	43	43	43	103	60	51	69	166	78	63	24	69	58	91	69	37	34	78	53	63	110	123	56	31	289	80	134	51	87	65	136	103	48	82	39	46	42	167	0	0	1	0	1	0	0	0	1	91					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	33130	1256	1005	1212	659	779	1044	838	643	1168	902	626	956	175	1033	722	824	778	737	472	846	917	573	1103	827	527	704	813	1222	989	325	755	1010	582	703	790	639	608	754	875	332	250	27	320	86	242	56	143	50	194	39					
9	Число недействительных избирательных бюллетеней	313	12	4	6	7	0	5	2	3	14	5	6	15	0	14	10	4	7	12	5	10	13	7	14	11	7	11	11	12	12	3	5	5	6	6	6	3	5	9	13	1	4	0	2	0	1	0	1	0	2	2					
10	Число действительных избирательных бюллетеней	36009	1266	1093	1249	695	822	1142	896	691	1223	1063	698	1004	199	1088	770	911	840	762	501	914	957	629	1199	939	576	724	1091	1290	1111	373	837	1070	712	800	832	718	642	791	904	498	246	27	319	86	242	56	142	50	193	128					
