Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																										
Дата голосования: 07.12.2003 0:00:00																																																										
																																																										
Наименование Избирательной комиссии:    Каменская																																																										
																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																										
																																																										
		Сумма	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №2442	УИК №2443					
1	"Число избирателей, внесенных в списки"	40723	664	480	2744	168	203	445	763	184	615	78	276	1557	1769	1303	801	2334	2184	885	447	353	597	557	255	510	192	1043	122	1871	590	488	1550	1488	572	625	433	437	283	1249	178	677	1977	2378	2005	548	315	85	424	70	276	386	289					
2	"Число бюллетеней, полученных участковыми комиссиями"	40886	664	479	2821	175	195	452	756	183	643	80	277	1541	1771	1272	797	2434	2211	867	453	511	601	560	254	509	191	986	119	1868	590	492	1547	1493	575	625	427	430	283	1256	179	675	1955	2346	1996	523	304	85	422	72	277	385	279					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	26520	380	362	1735	92	127	278	421	156	510	59	170	946	1235	905	469	1462	1319	506	272	322	456	371	150	279	80	696	71	1252	309	254	873	992	278	357	231	310	154	873	146	416	1200	1968	1416	467	139	68	286	63	236	178	225					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2866	40	0	93	34	9	30	76	13	48	0	5	205	65	72	52	196	109	124	28	31	34	21	36	26	68	120	15	78	35	28	69	140	144	117	42	0	52	209	10	52	30	31	81	21	73	11	26	4	0	60	3					
6	Число погашенных бюллетеней	11500	244	117	993	49	59	144	259	14	85	21	102	390	471	295	276	776	783	237	153	158	111	168	68	204	43	170	33	538	246	210	605	361	153	151	154	120	77	174	23	207	725	347	499	35	92	6	110	5	41	147	51					
7	Число бюллетеней в переносных ящиках для голосования	2866	40	0	93	34	9	30	76	13	48	0	5	205	65	72	52	196	109	124	28	31	34	21	36	26	68	120	15	78	35	28	69	140	144	117	42	0	52	209	10	52	30	31	81	21	73	11	26	4	0	60	3					
8	Число бюллетеней в стационарных ящиках для голосования	26520	380	361	1735	92	127	278	421	156	510	59	170	946	1235	905	469	1462	1319	506	272	322	456	371	150	279	80	696	72	1252	309	254	873	992	278	357	231	310	154	873	146	416	1200	1968	1416	467	139	68	286	63	236	178	225					
9	Число недействительных бюллетеней	341	3	39	17	1	0	5	2	0	0	0	0	8	6	0	1	8	0	4	2	0	35	4	2	2	0	11	1	11	2	2	57	4	7	4	3	2	6	8	0	32	19	10	9	5	0	0	0	0	1	5	3					
10	Число действительных бюллетеней	29045	417	322	1811	125	136	303	495	169	558	59	175	1143	1294	977	520	1650	1428	626	298	353	455	388	184	303	148	805	86	1319	342	280	885	1128	415	470	270	308	200	1074	156	436	1211	1989	1488	483	212	79	312	67	235	233	225					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	970	18	10	40	5	5	10	25	5	58	4	8	40	40	25	25	40	40	25	10	15	15	15	8	15	8	25	5	40	15	10	40	25	18	18	10	10	8	25	5	18	40	40	40	15	10	4	10	4	8	10	8					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	238	1	5	18	0	0	0	1	0	21	0	1	4	32	2	3	35	5	1	1	4	3	4	0	0	1	14	2	4	0	1	2	6	7	1	0	0	1	6	0	1	16	18	7	6	2	0	1	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	142	2	3	18	1	6	6	2	0	0	0	0	2	5	2	2	4	7	1	0	3	1	1	1	0	0	26	3	3	1	0	6	1	4	4	2	0	2	0	1	1	6	0	4	5	1	2	0	0	0	1	2					
14	Число погашенных открепительных удостоверений	732	17	5	22	5	5	10	24	5	37	4	7	36	8	23	22	5	35	24	9	11	12	11	8	15	7	11	3	36	15	9	38	19	11	17	10	10	7	19	5	17	24	22	33	9	8	4	9	4	8	10	7					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																										
18	"1. ""ЕДИНЕНИЕ"""	319	10	4	27	2	0	8	1	2	13	3	4	9	14	5	7	14	12	6	5	6	6	6	6	6	5	6	3	7	8	2	8	8	5	11	5	8	2	9	2	9	11	11	4	5	1	1	3	0	4	3	2					
		1.08%	2.38%	1.10%	1.47%	1.58%	0.0%	2.59%	0.20%	1.18%	2.32%	5.08%	2.28%	0.78%	1.07%	0.51%	1.34%	0.84%	0.84%	0.95%	1.66%	1.69%	1.22%	1.53%	3.22%	1.96%	3.37%	0.73%	3.44%	0.52%	2.32%	0.70%	0.84%	0.70%	1.18%	2.32%	1.83%	2.58%	0.97%	0.83%	1.28%	1.92%	0.89%	0.55%	0.26%	1.02%	0.47%	1.26%	0.96%	0.0%	1.69%	1.26%	0.87%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	150	0	1	5	1	0	2	1	0	20	0	1	1	4	8	3	6	6	8	2	0	0	5	2	0	2	0	1	10	2	6	3	0	4	5	2	0	1	3	0	3	11	7	7	2	1	1	0	0	0	1	2					
		0.51%	0.0%	0.27%	0.27%	0.79%	0.0%	0.64%	0.20%	0.0%	3.58%	0.0%	0.57%	0.08%	0.30%	0.81%	0.57%	0.36%	0.42%	1.26%	0.66%	0.0%	0.0%	1.27%	1.07%	0.0%	1.35%	0.0%	1.14%	0.75%	0.58%	2.12%	0.31%	0.0%	0.94%	1.05%	0.73%	0.0%	0.48%	0.27%	0.0%	0.64%	0.89%	0.35%	0.46%	0.40%	0.47%	1.26%	0.0%	0.0%	0.0%	0.42%	0.87%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	585	8	5	51	4	2	14	7	3	6	2	1	18	35	13	16	28	31	5	6	6	4	5	3	2	3	13	0	31	13	11	21	14	5	9	5	7	5	11	1	3	41	37	48	8	8	2	3	0	1	6	4					
