Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Плавская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19940	718	710	699	720	716	877	768	756	729	696	804	795	740	776	805	884	803	148	447	349	650	364	178	998	261	291	159	274	299	149	155	670	480	426	190	190	266									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16980	600	600	600	600	600	700	650	650	600	600	700	650	600	700	700	750	700	150	400	300	550	300	150	850	250	250	150	250	250	130	150	550	400	350	150	150	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8996	263	290	256	312	293	312	271	332	304	306	264	280	232	196	261	400	567	89	340	252	371	224	101	400	159	172	93	149	197	77	86	409	247	190	66	114	121									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1782	19	17	21	4	17	61	53	32	21	12	25	97	135	84	30	120	83	37	60	46	135	54	37	114	7	22	10	34	47	50	31	70	59	38	25	33	42									
6	Число погашенных избирательных бюллетеней	6202	318	293	323	284	290	327	326	286	275	282	411	273	233	420	409	230	50	24	0	2	44	22	12	336	84	56	47	67	6	3	33	71	94	122	59	3	87									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1782	19	17	21	4	17	61	53	32	21	12	25	97	135	84	30	120	83	37	60	46	135	54	37	114	7	22	10	34	47	50	31	70	59	38	25	33	42									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8994	263	290	255	312	293	312	271	332	304	306	264	279	232	196	261	400	567	89	340	252	371	224	101	400	159	172	93	149	197	77	86	409	247	190	66	114	121									
9	Число недействительных избирательных бюллетеней	126	4	12	3	8	7	5	8	6	5	5	2	5	0	9	7	6	5	0	3	3	0	4	0	6	1	0	1	1	4	2	0	2	1	0	1	0	0									
10	Число действительных избирательных бюллетеней	10650	278	295	273	308	303	368	316	358	320	313	287	371	367	271	284	514	645	126	397	295	506	274	138	508	165	194	102	182	240	125	117	477	305	228	90	147	163									
