Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																								
Дата голосования: 18.09.2016																																																																																								
																																																																																								
"Наименование Избирательной комиссии:    Астрахань, Трусовская"																																																																																								
																																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																								
																																																																																								
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	81299	1419	2045	2450	2254	1398	2376	2068	1462	1240	1894	2238	1430	1490	1422	1365	1727	1899	1518	1303	2401	2526	2030	2399	2218	2371	1796	2581	1401	1413	1279	1389	2485	2417	1824	2271	2197	2147	2164	2201	2641	1750	1698	226	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	78083	1400	2100	2500	2200	1400	2200	2000	1400	1200	1800	2200	1400	1400	1400	1400	1500	1700	1300	1100	2200	2400	2000	2300	2200	2300	1600	2500	1200	1200	1200	1300	2500	2400	1800	2300	2200	2100	2100	2000	2600	1700	1600	273	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24783	279	630	672	525	297	955	735	451	426	540	592	475	511	548	349	485	574	431	297	536	643	446	806	756	841	650	587	346	263	330	419	1004	804	566	796	807	713	766	779	638	459	510	79	14	14	13	13	14	14	14	14	14	14	14	14	14	14	14	12	14	14	14	14	14	12	14	14	14	14	14	14	14	14	14	14	12	13									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1202	27	31	16	14	29	38	12	4	12	24	21	17	14	1	13	7	75	68	9	22	32	14	17	30	11	10	159	10	13	8	11	10	13	17	13	11	12	19	36	44	58	54	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	52098	1094	1439	1812	1661	1074	1207	1253	945	762	1236	1587	908	875	851	1038	1008	1051	801	794	1642	1725	1540	1477	1414	1448	940	1754	844	924	862	870	1486	1583	1217	1491	1382	1375	1315	1185	1918	1183	1036	48	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	3	2									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1202	27	31	16	14	29	38	12	4	12	24	21	17	14	1	13	7	75	68	9	22	32	14	17	30	11	10	159	10	13	8	11	10	13	17	13	11	12	19	36	44	58	54	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	24759	279	630	671	525	297	955	735	451	426	540	592	475	511	548	349	485	574	431	288	536	643	446	806	756	841	650	587	346	249	330	419	1004	804	566	796	807	713	766	779	638	459	510	79	14	14	13	13	14	14	14	14	14	14	14	14	14	14	14	12	14	14	14	14	14	12	14	14	14	14	14	14	14	14	14	14	12	13									
9	Число недействительных избирательных бюллетеней	593	4	12	40	21	14	30	41	9	13	27	19	10	19	6	11	0	11	15	2	11	10	17	15	26	6	24	25	7	0	6	11	5	27	4	30	19	0	0	17	10	1	8	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	25368	302	649	647	518	312	963	706	446	425	537	594	482	506	543	351	492	638	484	295	547	665	443	808	760	846	636	721	349	262	332	419	1009	790	579	779	799	725	785	798	672	516	556	217	13	14	13	13	14	14	14	14	14	14	14	14	14	14	14	12	14	14	14	14	14	12	14	14	14	14	14	14	13	14	14	14	12	13									
