Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Уваровская																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК  572	УИК  573	УИК  574	УИК  575	УИК  576	УИК  577	УИК  578	УИК  579	УИК  580	УИК  581	УИК  582	УИК  583	УИК  584	УИК  585	УИК  586	УИК  587	УИК  588	УИК  589	УИК  590	УИК  591	УИК  592	УИК  593	УИК  594	УИК  595	УИК  1040					
1	"Число избирателей, внесенных в списки"	9835	600	655	261	302	389	535	118	382	327	213	184	565	476	388	214	504	134	646	382	263	444	170	589	546	548					
2	"Число бюллетеней, полученных участковыми комиссиями"	9743	591	654	250	299	382	521	121	377	328	208	176	566	472	390	214	498	135	642	374	274	427	163	576	556	549					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4825	265	258	137	140	197	236	69	222	155	116	109	293	297	217	122	264	67	380	195	132	176	74	278	213	213					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1482	98	94	25	40	37	45	12	28	53	48	28	96	40	21	33	82	20	89	69	41	116	51	119	99	98					
6	Число погашенных бюллетеней	3436	228	302	88	119	148	240	40	127	120	44	39	177	135	152	59	152	48	173	110	101	135	38	179	244	238					
7	Число бюллетеней в переносных ящиках для голосования	1482	98	94	25	40	37	45	12	28	53	48	28	96	40	21	33	82	20	89	69	41	116	51	119	99	98					
8	Число бюллетеней в стационарных ящиках для голосования	4826	265	258	137	140	197	236	69	222	155	116	109	293	297	217	122	264	67	380	195	132	177	74	278	213	213					
9	Число недействительных бюллетеней	217	15	12	1	10	10	15	8	6	6	1	1	5	4	18	5	13	2	29	5	2	10	8	14	5	12					
10	Число действительных бюллетеней	6091	348	340	161	170	224	266	73	244	202	163	136	384	333	220	150	333	85	440	259	171	283	117	383	307	299					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	8	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	2	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	31	2	0	1	3	4	1	0	4	0	0	6	0	0	0	1	0	0	2	1	0	3	0	1	0	2					
14	Число погашенных открепительных удостоверений	92	2	4	4	4	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	4	3	2	4	4	3					
