Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																						
Дата голосования: 07.12.2003 0:00:00																						
																						
Наименование Избирательной комиссии:    Спас-Деменская																						
																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																						
																						
		Сумма	УИК  601	УИК  602	УИК  603	УИК  604	УИК  605	УИК  606	УИК  607	УИК  608	УИК  609	УИК  610	УИК  611	УИК  612	УИК  613	УИК  614	УИК  615					
1	"Число избирателей, внесенных в списки"	8063	2300	2174	328	195	235	252	480	141	137	154	318	300	229	139	681					
2	"Число бюллетеней, полученных участковыми комиссиями"	7511	2114	2008	317	177	218	240	449	131	132	143	303	281	226	136	636					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3936	1122	1073	177	106	171	121	258	91	78	69	149	41	121	96	263					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	890	31	22	73	29	33	55	121	16	48	57	77	159	61	7	101					
6	Число погашенных бюллетеней	2685	961	913	67	42	14	64	70	24	6	17	77	81	44	33	272					
7	Число бюллетеней в переносных ящиках для голосования	890	31	22	73	29	33	55	121	16	48	57	77	159	61	7	101					
8	Число бюллетеней в стационарных ящиках для голосования	3936	1122	1073	177	106	171	121	258	91	78	69	149	41	121	96	263					
9	Число недействительных бюллетеней	87	17	15	6	0	1	11	14	2	1	2	5	3	2	3	5					
10	Число действительных бюллетеней	4739	1136	1080	244	135	203	165	365	105	125	124	221	197	180	100	359					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	92	12	12	4	5	5	5	8	4	4	5	5	5	5	5	8					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	18	1	5	3	0	0	1	0	0	0	0	0	0	5	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	18	2	4	1	0	4	0	0	1	1	2	1	1	0	0	1					
14	Число погашенных открепительных удостоверений	74	11	7	1	5	5	4	8	4	4	5	5	5	0	4	6					
15	Число открепительных удостоверений выданных ТИК	8	2	1	0	1	0	0	1	0	0	0	0	0	0	0	3					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
18	"1. ""ЕДИНЕНИЕ"""	84	10	15	8	3	4	4	15	2	3	3	1	3	5	3	5					
		1.74%	0.86%	1.36%	3.2%	2.22%	1.96%	2.27%	3.95%	1.86%	2.38%	2.38%	0.44%	1.5%	2.74%	2.91%	1.37%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	57	13	20	3	0	0	0	5	1	1	2	2	3	1	0	6					
		1.18%	1.12%	1.82%	1.2%	0.0%	0.0%	0.0%	1.31%	0.93%	0.79%	1.58%	0.88%	1.5%	0.54%	0.0%	1.64%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	93	24	25	7	2	0	2	7	3	1	1	2	7	2	2	8					
		1.92%	2.08%	2.28%	2.8%	1.48%	0.0%	1.13%	1.84%	2.80%	0.79%	0.79%	0.88%	3.5%	1.09%	1.94%	2.19%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	76	29	22	4	0	5	0	2	0	2	1	1	4	0	4	2					
		1.57%	2.51%	2.00%	1.6%	0.0%	2.45%	0.0%	0.52%	0.0%	1.58%	0.79%	0.44%	2.0%	0.0%	3.88%	0.54%					
22	"5. ""За Русь Святую"""	23	2	6	0	2	1	0	1	1	0	2	4	0	0	1	3					
		0.47%	0.17%	0.54%	0.0%	1.48%	0.49%	0.0%	0.26%	0.93%	0.0%	1.58%	1.76%	0.0%	0.0%	0.97%	0.82%					
23	"6. ""Объединенная Российская партия ""Русь"""	13	2	2	1	0	2	0	3	0	0	0	0	0	0	0	3					
		0.26%	0.17%	0.18%	0.4%	0.0%	0.98%	0.0%	0.79%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.82%					
24	"7. ""Новый курс - Автомобильная Россия"""	17	7	0	3	0	1	0	2	0	0	0	1	0	0	0	3					
		0.35%	0.60%	0.0%	1.2%	0.0%	0.49%	0.0%	0.52%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.82%					
25	"8. ""Народно-республиканская партия России"""	3	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0					
		0.06%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.79%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	6	0	3	2	0	0	0	1	0	0	0	0	0	0	0	0					
		0.12%	0.0%	0.27%	0.8%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	225	56	42	22	14	7	17	13	13	4	1	7	7	7	2	13					
		4.66%	4.85%	3.83%	8.8%	10.37%	3.43%	9.65%	3.43%	12.14%	3.17%	0.79%	3.09%	3.5%	3.84%	1.94%	3.57%					
28	"11. ""Истинные патриоты России"""	4	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0					
		0.08%	0.08%	0.0%	0.4%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.79%	0.0%	0.0%	0.0%	0.97%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	28	5	1	4	0	0	2	4	1	1	0	3	0	2	0	5					
		0.58%	0.43%	0.09%	1.6%	0.0%	0.0%	1.13%	1.05%	0.93%	0.79%	0.0%	1.32%	0.0%	1.09%	0.0%	1.37%					
30	"13. ""Демократическая партия России"""	10	1	2	0	0	0	0	2	2	0	0	2	0	0	0	1					
		0.20%	0.08%	0.18%	0.0%	0.0%	0.0%	0.0%	0.52%	1.86%	0.0%	0.0%	0.88%	0.0%	0.0%	0.0%	0.27%					
31	"14. ""Великая Россия - Евразийский Союз"""	7	1	2	1	0	1	0	0	0	0	1	1	0	0	0	0					
		0.14%	0.08%	0.18%	0.4%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.79%	0.44%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	7	3	0	0	0	0	2	0	0	0	0	0	0	0	1	1					
		0.14%	0.26%	0.0%	0.0%	0.0%	0.0%	1.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.97%	0.27%					
33	"16. ""Родина"" (народно-патриотический союз)"""	335	127	104	14	6	1	8	18	5	3	6	3	12	3	5	20					
		6.94%	11.01%	9.49%	5.6%	4.44%	0.49%	4.54%	4.74%	4.67%	2.38%	4.76%	1.32%	6.0%	1.64%	4.85%	5.49%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	14	1	1	4	0	1	0	2	0	1	0	0	1	1	0	2					
		0.29%	0.08%	0.09%	1.6%	0.0%	0.49%	0.0%	0.52%	0.0%	0.79%	0.0%	0.0%	0.5%	0.54%	0.0%	0.54%					
35	"18. ""ЛДПР"""	370	128	83	22	5	6	10	17	8	1	8	12	15	4	3	48					
		7.66%	11.10%	7.57%	8.8%	3.70%	2.94%	5.68%	4.48%	7.47%	0.79%	6.34%	5.30%	7.5%	2.19%	2.91%	13.18%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	113	36	38	6	1	4	2	3	4	0	2	5	7	1	0	4					
