Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва														
Дата голосования: 18.09.2016														
														
Наименование Избирательной комиссии:    Мамоновская														
														
Сводная таблица итогов голосования по федеральному избирательному округу														
														
		Сумма	УИК №28	УИК №29	УИК №30									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6404	2262	1954	2188									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6000	2100	1800	2100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4140	1021	1279	1840									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	55	15	20	20									
6	Число погашенных избирательных бюллетеней	1805	1064	501	240									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	55	15	20	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4140	1021	1279	1840									
9	Число недействительных избирательных бюллетеней	93	40	23	30									
10	Число действительных избирательных бюллетеней	4102	996	1276	1830									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	88	30	28	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	32	19	8	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	30	9	19	2									
14	Число погашенных неиспользованных открепительных удостоверений	56	11	20	25									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	1	8	3									
16	Число утраченных открепительных удостоверений	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0									
														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	51	17	18	16									
		1.22%	1.64%	1.39%	0.86%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	66	20	21	25									
		1.57%	1.93%	1.62%	1.34%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	37	17	11	9									
		0.88%	1.64%	0.85%	0.48%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2633	445	839	1349									
		62.77%	42.95%	64.59%	72.53%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	17	6	4	7									
		0.41%	0.58%	0.31%	0.38%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	3	2	2									
		0.17%	0.29%	0.15%	0.11%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	536	191	160	185									
		12.78%	18.44%	12.32%	9.95%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	23	9	6	8									
		0.55%	0.87%	0.46%	0.43%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	104	45	30	29									
		2.48%	4.34%	2.31%	1.56%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	2	1	1	0									
		0.05%	0.10%	0.08%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	29	15	7	7									
		0.69%	1.45%	0.54%	0.38%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	431	155	117	159									
		10.27%	14.96%	9.01%	8.55%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	45	14	21	10									
		1.07%	1.35%	1.62%	0.54%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	121	58	39	24									
		2.88%	5.60%	3.00%	1.29%									
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
