Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Кизлярская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	44309	2299	376	1514	257	1399	1554	418	1174	199	1223	258	293	1431	936	354	688	492	290	1586	1271	1257	218	245	607	1536	1270	744	1060	635	1368	182	953	1120	619	535	1162	877	600	340	458	506	344	602	1721	123	383	451	2273	418	1377	297	505	999	512									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	43300	2259	376	1394	257	1297	1554	418	1142	199	1127	258	293	1431	936	339	688	492	290	1472	1211	1185	218	245	607	1428	1270	744	1060	635	1368	182	953	1120	619	535	1162	877	600	340	458	506	344	602	1625	123	383	451	2119	418	1377	297	505	999	512									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	37698	2238	376	1242	229	921	1400	404	942	131	1112	230	275	1401	838	212	600	388	269	1326	216	1024	185	123	478	1259	1156	677	1032	600	1151	143	929	1097	572	386	1143	790	487	310	382	450	335	576	1200	111	383	283	2050	339	1111	228	495	963	500									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	272	0	0	0	0	0	0	0	150	0	0	0	0	30	0	0	0	0	0	29	14	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	33	0	0	0	0									
6	Число погашенных избирательных бюллетеней	5330	21	0	152	28	376	154	14	50	68	15	28	18	0	98	127	88	104	21	117	981	161	33	122	129	167	114	67	28	35	217	39	24	23	47	149	19	87	113	30	62	56	9	26	425	12	0	168	69	79	233	69	10	36	12									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	272	0	0	0	0	0	0	0	150	0	0	0	0	30	0	0	0	0	0	29	14	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	33	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	37684	2238	376	1242	229	921	1400	404	942	131	1112	230	275	1401	838	212	600	388	269	1326	216	1024	185	123	478	1259	1156	677	1032	600	1151	143	929	1097	572	386	1143	790	487	310	368	450	335	576	1200	111	383	283	2050	339	1111	228	495	963	500									
9	Число недействительных избирательных бюллетеней	336	0	0	0	2	0	2	0	0	1	0	0	7	46	13	5	1	2	0	4	15	6	0	8	0	0	11	4	0	0	6	0	41	0	0	12	0	8	11	0	0	4	0	0	14	1	8	0	9	5	12	1	6	0	71									
10	Число действительных избирательных бюллетеней	37620	2238	376	1242	227	921	1398	404	1092	130	1112	230	268	1385	825	207	599	386	269	1351	215	1018	185	115	478	1261	1145	673	1032	600	1145	143	888	1097	572	374	1143	782	476	310	382	446	335	576	1186	110	375	283	2041	334	1132	227	489	963	429									
