Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																								
Дата голосования: 04.12.2011																								
																								
Наименование Избирательной комиссии:    Килемарская районная																								
																								
Сводная таблица результатов выборов																								
																								
		Сумма	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305					
1	"Число избирателей, внесенных в список избирателей"	9898	1851	1589	285	836	328	391	289	1539	283	325	488	200	316	194	401	188	395					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10520	1920	1670	315	890	350	430	320	1580	295	345	530	240	360	200	410	205	460					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6906	1317	1071	199	609	220	307	130	1253	219	280	198	130	195	122	227	157	272					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1568	203	251	45	78	64	30	130	127	33	22	201	51	61	43	126	14	89					
6	Число погашенных избирательных бюллетеней	2046	400	348	71	203	66	93	60	200	43	43	131	59	104	35	57	34	99					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1568	203	251	45	78	64	30	130	127	33	22	201	51	61	43	126	14	89					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6906	1317	1071	199	609	220	307	130	1253	219	280	198	130	195	122	227	157	272					
9	Число недействительных избирательных бюллетеней	53	18	14	0	4	4	2	1	0	3	1	1	2	0	2	0	1	0					
10	Число действительных избирательных бюллетеней	8421	1502	1308	244	683	280	335	259	1380	249	301	398	179	256	163	353	170	361					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	834	90	110	30	70	30	50	45	90	20	25	54	40	50	20	30	20	60					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	748	90	110	30	70	30	50	45	56	20	14	54	40	37	11	14	17	60					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	211	37	20	9	17	13	14	5	22	8	6	21	4	5	4	14	7	5					
14	Число погашенных неиспользованных открепительных удостоверений	86	0	0	0	0	0	0	0	34	0	11	0	0	13	9	16	3	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	7	3	0	0	1	0	0	1	0	3	0	0	0	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	261	66	43	5	27	7	8	16	26	6	12	8	3	7	3	5	5	14					
		3.08%	4.34%	3.25%	2.05%	3.93%	2.46%	2.37%	6.15%	1.88%	2.38%	3.97%	2.01%	1.66%	2.73%	1.82%	1.42%	2.92%	3.88%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	383	114	58	8	17	16	20	16	26	9	19	12	10	5	11	16	3	23					
		4.52%	7.50%	4.39%	3.28%	2.47%	5.63%	5.93%	6.15%	1.88%	3.57%	6.29%	3.01%	5.52%	1.95%	6.67%	4.53%	1.75%	6.37%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	48	8	14	2	4	2	1	2	4	1	2	2	0	2	1	1	1	1					
		0.57%	0.53%	1.06%	0.82%	0.58%	0.70%	0.30%	0.77%	0.29%	0.40%	0.66%	0.50%	0.00%	0.78%	0.61%	0.28%	0.58%	0.28%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	392	85	40	12	39	21	17	18	53	8	12	14	3	11	8	16	6	29					
		4.63%	5.59%	3.03%	4.92%	5.68%	7.39%	5.04%	6.92%	3.84%	3.17%	3.97%	3.51%	1.66%	4.30%	4.85%	4.53%	3.51%	8.03%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	46	9	12	0	3	2	2	2	9	2	1	0	1	2	0	1	0	0					
		0.54%	0.59%	0.91%	0.00%	0.44%	0.70%	0.59%	0.77%	0.65%	0.79%	0.33%	0.00%	0.55%	0.78%	0.00%	0.28%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7268	1220	1134	217	589	230	287	204	1258	223	254	360	162	228	140	313	155	294					
		85.77%	80.26%	85.78%	88.93%	85.74%	80.99%	85.16%	78.46%	91.16%	88.49%	84.11%	90.23%	89.50%	89.06%	84.85%	88.67%	90.64%	81.44%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	23	0	7	0	4	2	0	1	4	0	1	2	0	1	0	1	0	0					
		0.27%	0.00%	0.53%	0.00%	0.58%	0.70%	0.00%	0.38%	0.29%	0.00%	0.33%	0.50%	0.00%	0.39%	0.00%	0.28%	0.00%	0.00%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
