Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																											
Дата голосования: 02.12.2007																											
																											
Наименование Избирательной комиссии:    Килемарская районная																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294					
1	"Число избирателей, внесенных в списки избирателей"	9350	647	810	1203	653	265	749	313	370	331	1408	239	289	220	282	186	309	186	338	175	377					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	9170	610	750	1250	650	250	700	300	350	330	1350	230	300	210	270	200	300	180	340	200	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	6885	280	656	935	559	202	612	213	280	141	1156	177	237	129	177	154	199	133	245	128	272					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1684	323	77	89	47	39	67	80	42	165	179	44	25	72	78	24	87	40	84	33	89					
6	Число погашенных избирательных бюллетеней	601	7	17	226	44	9	21	7	28	24	15	9	38	9	15	22	14	7	11	39	39					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1684	323	77	89	47	39	67	80	42	165	179	44	25	72	78	24	87	40	84	33	89					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6885	280	656	935	559	202	612	213	280	141	1156	177	237	129	177	154	199	133	245	128	272					
9	Число недействительных избирательных бюллетеней	67	12	4	6	3	2	2	0	5	2	19	1	2	0	0	0	4	1	3	1	0					
10	Число действительных избирательных бюллетеней	8502	591	729	1018	603	239	677	293	317	304	1316	220	260	201	255	178	282	172	326	160	361					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	586	22	48	60	31	15	42	10	9	19	83	16	22	25	15	29	45	9	22	18	46					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	566	22	46	59	30	9	41	9	7	19	83	15	22	25	15	29	44	8	22	15	46					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	229	10	36	38	9	6	16	4	7	5	22	8	9	5	6	6	7	3	15	5	12					
14	Число погашенных неиспользованных открепительных удостоверений	20	0	2	1	1	6	1	1	2	0	0	1	0	0	0	0	1	1	0	3	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	1	3	3	1	1	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
18	1.Политическая партия «Аграрная партия России»	274	20	17	51	26	8	33	15	11	14	8	5	6	2	13	3	15	2	8	7	10					
		3.20%	3.32%	2.32%	4.98%	4.29%	3.32%	4.86%	5.12%	3.42%	4.58%	0.60%	2.26%	2.29%	0.99%	5.10%	1.69%	5.24%	1.16%	2.43%	4.35%	2.77%					
19	2.Всероссийская политическая партия «Гражданская Сила»	25	2	4	4	5	0	2	2	0	0	0	1	1	0	1	0	0	1	1	1	0					
		0.29%	0.33%	0.55%	0.39%	0.83%	0.00%	0.29%	0.68%	0.00%	0.00%	0.00%	0.45%	0.38%	0.00%	0.39%	0.00%	0.00%	0.58%	0.30%	0.62%	0.00%					
20	3.Политическая партия «Демократическая партия России»	5	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1					
		0.06%	0.00%	0.14%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	366	21	28	43	26	17	40	21	26	4	29	6	10	6	8	8	14	6	15	10	28					
		4.27%	3.48%	3.82%	4.20%	4.29%	7.05%	5.89%	7.17%	8.07%	1.31%	2.17%	2.71%	3.82%	2.99%	3.14%	4.49%	4.90%	3.47%	4.56%	6.21%	7.76%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	13	0	4	0	4	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1					
		0.15%	0.00%	0.55%	0.00%	0.66%	0.41%	0.00%	0.34%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.28%					
23	6.Политическая партия «Партия социальной справедливости»	9	0	3	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.11%	0.00%	0.41%	0.20%	0.50%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	501	35	75	86	47	12	22	19	23	7	36	20	20	8	7	13	15	8	23	4	21					
		5.85%	5.80%	10.23%	8.40%	7.76%	4.98%	3.24%	6.48%	7.14%	2.29%	2.70%	9.05%	7.63%	3.98%	2.75%	7.30%	5.24%	4.62%	6.99%	2.48%	5.82%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	407	33	46	81	41	8	34	13	13	5	32	14	10	10	9	7	14	1	19	8	9					
		4.75%	5.47%	6.28%	7.91%	6.77%	3.32%	5.01%	4.44%	4.04%	1.63%	2.40%	6.33%	3.82%	4.98%	3.53%	3.93%	4.90%	0.58%	5.78%	4.97%	2.49%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	29	2	3	5	3	0	4	0	2	0	2	3	0	1	1	1	1	0	1	0	0					
		0.34%	0.33%	0.41%	0.49%	0.50%	0.00%	0.59%	0.00%	0.62%	0.00%	0.15%	1.36%	0.00%	0.50%	0.39%	0.56%	0.35%	0.00%	0.30%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	6844	472	543	738	445	191	540	222	240	274	1209	170	212	173	216	146	222	153	257	130	291					
		79.87%	78.28%	74.08%	72.07%	73.43%	79.25%	79.53%	75.77%	74.53%	89.54%	90.56%	76.92%	80.92%	86.07%	84.71%	82.02%	77.62%	88.44%	78.12%	80.75%	80.61%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	29	6	5	8	3	1	1	0	1	0	0	0	1	0	0	0	1	1	1	0	0					
		0.34%	0.99%	0.68%	0.78%	0.50%	0.41%	0.15%	0.00%	0.31%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.35%	0.58%	0.30%	0.00%	0.00%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
