Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																	
Дата голосования: 07.12.2003 0:00:00																	
																	
Наименование Избирательной комиссии:    Горная																	
																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																	
																	
		Сумма	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174					
1	"Число избирателей, внесенных в списки"	6028	349	303	348	267	329	292	348	465	1752	1575					
2	"Число бюллетеней, полученных участковыми комиссиями"	6396	350	350	350	300	400	306	350	500	1850	1640					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	82	15	1	5	13	10	3	0	29	6	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4222	288	267	283	212	293	217	254	385	1025	998					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	417	16	13	25	23	23	14	45	17	110	131					
6	Число погашенных бюллетеней	1674	31	69	37	52	74	72	51	68	709	511					
7	Число бюллетеней в переносных ящиках для голосования	499	31	14	30	36	33	17	45	46	116	131					
8	Число бюллетеней в стационарных ящиках для голосования	4222	288	267	283	212	293	217	254	385	1025	998					
9	Число недействительных бюллетеней	72	1	17	4	5	3	4	3	6	16	13					
10	Число действительных бюллетеней	4649	318	264	309	243	323	230	296	425	1125	1116					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	250	17	17	17	17	25	17	15	25	50	50					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	98	7	8	8	0	18	14	3	14	18	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	56	5	2	4	1	4	1	2	7	22	8					
14	Число погашенных открепительных удостоверений	152	10	9	9	17	7	3	12	11	32	42					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	1	0	0	0	0	0	0	0	1	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
																	
18	"1. ""ЕДИНЕНИЕ"""	173	9	4	7	11	29	5	19	26	35	28					
		3.66%	2.82%	1.42%	2.23%	4.43%	8.89%	2.13%	6.35%	6.03%	3.06%	2.48%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1067	67	47	63	67	73	43	71	64	310	262					
		22.60%	21.00%	16.72%	20.12%	27.01%	22.39%	18.37%	23.74%	14.84%	27.16%	23.20%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	98	9	4	6	5	5	8	3	11	21	26					
		2.07%	2.82%	1.42%	1.91%	2.01%	1.53%	3.41%	1.00%	2.55%	1.84%	2.30%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	20	2	0	0	0	2	1	2	3	7	3					
		0.42%	0.62%	0.0%	0.0%	0.0%	0.61%	0.42%	0.66%	0.69%	0.61%	0.26%					
22	"5. ""За Русь Святую"""	8	2	0	0	0	0	0	1	3	2	0					
		0.16%	0.62%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.69%	0.17%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	9	1	0	0	0	1	2	0	0	2	3					
		0.19%	0.31%	0.0%	0.0%	0.0%	0.30%	0.85%	0.0%	0.0%	0.17%	0.26%					
24	"7. ""Новый курс - Автомобильная Россия"""	11	2	0	0	0	0	1	1	2	3	2					
		0.23%	0.62%	0.0%	0.0%	0.0%	0.0%	0.42%	0.33%	0.46%	0.26%	0.17%					
25	"8. ""Народно-республиканская партия России"""	6	1	0	0	0	1	1	1	1	0	1					
		0.12%	0.31%	0.0%	0.0%	0.0%	0.30%	0.42%	0.33%	0.23%	0.0%	0.08%					
26	"9. ""Российская экологическая партия ""Зеленые"""	8	1	0	0	0	1	2	0	3	1	0					
		0.16%	0.31%	0.0%	0.0%	0.0%	0.30%	0.85%	0.0%	0.69%	0.08%	0.0%					
27	"10. ""Аграрная партия России"""	130	15	12	27	4	7	6	5	19	9	26					
		2.75%	4.70%	4.27%	8.62%	1.61%	2.14%	2.56%	1.67%	4.40%	0.78%	2.30%					
28	"11. ""Истинные патриоты России"""	4	0	1	2	0	1	0	0	0	0	0					
		0.08%	0.0%	0.35%	0.63%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	16	2	2	1	2	1	1	1	0	1	5					
		0.33%	0.62%	0.71%	0.31%	0.80%	0.30%	0.42%	0.33%	0.0%	0.08%	0.44%					
30	"13. ""Демократическая партия России"""	20	0	0	0	4	3	2	0	2	5	4					
		0.42%	0.0%	0.0%	0.0%	1.61%	0.92%	0.85%	0.0%	0.46%	0.43%	0.35%					
31	"14. ""Великая Россия - Евразийский Союз"""	40	2	2	7	4	5	2	0	5	7	6					
		0.84%	0.62%	0.71%	2.23%	1.61%	1.53%	0.85%	0.0%	1.16%	0.61%	0.53%					
32	"15. ""Партия СЛОН"""	5	0	0	0	0	0	1	0	1	2	1					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.23%	0.17%	0.08%					
33	"16. ""Родина"" (народно-патриотический союз)"""	669	43	27	36	14	71	33	61	50	149	185					
		14.17%	13.47%	9.60%	11.50%	5.64%	21.77%	14.10%	20.40%	11.60%	13.05%	16.38%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	17	1	1	1	0	1	1	2	2	4	4					
		0.36%	0.31%	0.35%	0.31%	0.0%	0.30%	0.42%	0.66%	0.46%	0.35%	0.35%					
35	"18. ""ЛДПР"""	101	3	4	6	9	6	13	6	7	27	20					
		2.13%	0.94%	1.42%	1.91%	3.62%	1.84%	5.55%	2.00%	1.62%	2.36%	1.77%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	139	9	7	17	11	6	11	9	16	23	30					
		2.94%	2.82%	2.49%	5.43%	4.43%	1.84%	4.70%	3.01%	3.71%	2.01%	2.65%					
37	"20. ""Политическая партия ""Единая Россия"""	1627	127	117	87	88	84	82	95	161	387	399					
		34.46%	39.81%	41.63%	27.79%	35.48%	25.76%	35.04%	31.77%	37.35%	33.91%	35.34%					
38	"21. ""Российская Конституционно-демократическая партия"""	9	2	1	0	0	1	0	1	1	2	1					
		0.19%	0.62%	0.35%	0.0%	0.0%	0.30%	0.0%	0.33%	0.23%	0.17%	0.08%					
39	"22. ""Развитие предпринимательства"""	15	0	0	0	1	1	1	3	2	3	4					
		0.31%	0.0%	0.0%	0.0%	0.40%	0.30%	0.42%	1.00%	0.46%	0.26%	0.35%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	373	18	29	45	15	24	10	9	36	99	88					
		7.90%	5.64%	10.32%	14.37%	6.04%	7.36%	4.27%	3.01%	8.35%	8.67%	7.79%					
																	
41	Против всех	84	2	6	4	8	0	4	6	10	26	18					
		1.77%	0.62%	2.13%	1.27%	3.22%	0.0%	1.70%	2.00%	2.32%	2.27%	1.59%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
