Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																					
Дата голосования: 02.12.2007																					
																					
Наименование Избирательной комиссии:    Фировская																					
																					
Сводная таблица результатов выборов																					
																					
		Сумма	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337					
1	"Число избирателей, внесенных в списки избирателей"	8805	2188	2243	651	574	224	199	267	902	481	222	251	159	290	154					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	7300	1600	1600	600	550	200	200	250	800	450	250	250	150	250	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4167	1002	1104	349	285	99	117	139	387	284	99	128	52	69	53					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1064	107	131	85	117	47	35	38	158	38	22	33	57	140	56					
6	Число погашенных избирательных бюллетеней	2069	491	365	166	148	54	48	73	255	128	129	89	41	41	41					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1064	107	131	85	117	47	35	38	158	38	22	33	57	140	56					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4165	1000	1104	349	285	99	117	139	387	284	99	128	52	69	53					
9	Число недействительных избирательных бюллетеней	44	7	14	7	1	1	2	2	4	0	3	2	0	0	1					
10	Число действительных избирательных бюллетеней	5185	1100	1221	427	401	145	150	175	541	322	118	159	109	209	108					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	265	25	40	20	20	15	10	20	20	30	10	15	10	10	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	122	12	33	2	14	11	4	1	2	25	2	6	0	2	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	59	10	14	5	2	3	3	1	8	3	2	3	2	2	1					
14	Число погашенных неиспользованных открепительных удостоверений	143	13	7	18	6	4	6	19	18	5	8	9	10	8	12					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	2	4	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	1.Политическая партия «Аграрная партия России»	163	50	33	9	13	14	6	5	12	4	3	3	2	6	3					
		3.12%	4.52%	2.67%	2.07%	3.23%	9.59%	3.95%	2.82%	2.20%	1.24%	2.48%	1.86%	1.83%	2.87%	2.75%					
19	2.Всероссийская политическая партия «Гражданская Сила»	31	10	7	1	1	2	0	1	2	3	0	1	3	0	0					
		0.59%	0.90%	0.57%	0.23%	0.25%	1.37%	0.00%	0.56%	0.37%	0.93%	0.00%	0.62%	2.75%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	8	2	3	0	0	0	0	0	0	1	1	0	0	1	0					
		0.15%	0.18%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.83%	0.00%	0.00%	0.48%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	413	99	101	18	27	20	8	12	32	38	22	15	11	8	2					
		7.90%	8.94%	8.18%	4.15%	6.72%	13.70%	5.26%	6.78%	5.87%	11.80%	18.18%	9.32%	10.09%	3.83%	1.83%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	12	1	3	1	0	0	0	0	5	1	0	1	0	0	0					
		0.23%	0.09%	0.24%	0.23%	0.00%	0.00%	0.00%	0.00%	0.92%	0.31%	0.00%	0.62%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	11	0	4	0	0	1	0	1	2	2	0	1	0	0	0					
		0.21%	0.00%	0.32%	0.00%	0.00%	0.68%	0.00%	0.56%	0.37%	0.62%	0.00%	0.62%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	537	111	152	38	26	14	26	26	61	28	5	21	10	13	6					
		10.27%	10.03%	12.31%	8.76%	6.47%	9.59%	17.11%	14.69%	11.19%	8.70%	4.13%	13.04%	9.17%	6.22%	5.50%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	345	72	86	24	10	15	9	6	46	35	6	8	11	4	13					
		6.60%	6.50%	6.96%	5.53%	2.49%	10.27%	5.92%	3.39%	8.44%	10.87%	4.96%	4.97%	10.09%	1.91%	11.93%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	28	7	9	2	1	1	0	0	3	1	0	0	1	1	2					
		0.54%	0.63%	0.73%	0.46%	0.25%	0.68%	0.00%	0.00%	0.55%	0.31%	0.00%	0.00%	0.92%	0.48%	1.83%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3615	744	815	330	322	77	100	124	378	207	81	108	71	176	82					
		69.13%	67.21%	65.99%	76.04%	80.10%	52.74%	65.79%	70.06%	69.36%	64.29%	66.94%	67.08%	65.14%	84.21%	75.23%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	22	4	8	4	1	1	1	0	0	2	0	1	0	0	0					
		0.42%	0.36%	0.65%	0.92%	0.25%	0.68%	0.66%	0.00%	0.00%	0.62%	0.00%	0.62%	0.00%	0.00%	0.00%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
